id	name	shape	layout	storage_bytes	arena_offset	first_op	last_op
0	images_QuantizeLinear_Output	1x3x640x640	NCHWc8_SPATIAL_INNER_V1	3276800	0	0	1
1	/model.0/conv/Conv_output_0_QuantizeLinear_Output	1x16x320x320	NCHWc8_SPATIAL_INNER_V1	1638400	3276800	1	2
2	/model.0/act/Mul_output_0_QuantizeLinear_Output	1x16x320x320	NCHWc8_SPATIAL_INNER_V1	1638400	0	2	3
3	/model.1/conv/Conv_output_0_QuantizeLinear_Output	1x32x160x160	NCHWc8_SPATIAL_INNER_V1	819200	1638400	3	4
4	/model.1/act/Mul_output_0_QuantizeLinear_Output	1x32x160x160	NCHWc8_SPATIAL_INNER_V1	819200	2457600	4	5
5	/model.2/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x32x160x160	NCHWc8_SPATIAL_INNER_V1	819200	1638400	5	11
6	/model.2/Split_output_1_QuantizeLinear_Output	1x16x160x160	NCHWc8_SPATIAL_INNER_V1	409600	2457600	6	11
7	/model.2/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x8x160x160	NCHWc8_SPATIAL_INNER_V1	204800	2867200	7	8
8	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	1x8x160x160	NCHWc8_SPATIAL_INNER_V1	204800	3072000	8	9
9	/model.2/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x16x160x160	NCHWc8_SPATIAL_INNER_V1	409600	0	9	10
10	/model.2/Concat_output_0_QuantizeLinear_Output	1x48x160x160	NCHWc8_SPATIAL_INNER_V1	1228800	3276800	11	12
11	/model.2/cv2/conv/Conv_output_0_QuantizeLinear_Output	1x64x160x160	NCHWc8_SPATIAL_INNER_V1	1638400	4915200	12	13
12	/model.2/cv2/act/Mul_output_0_QuantizeLinear_Output	1x64x160x160	NCHWc8_SPATIAL_INNER_V1	1638400	6553600	13	14
13	/model.3/conv/Conv_output_0_QuantizeLinear_Output	1x64x80x80	NCHWc8_SPATIAL_INNER_V1	409600	0	14	15
14	/model.3/act/Mul_output_0_QuantizeLinear_Output	1x64x80x80	NCHWc8_SPATIAL_INNER_V1	409600	409600	15	16
15	/model.4/cv1/conv/Conv_output_0_QuantizeLinear_Output	1x64x80x80	NCHWc8_SPATIAL_INNER_V1	409600	0	16	22
16	/model.4/Split_output_1_QuantizeLinear_Output	1x32x80x80	NCHWc8_SPATIAL_INNER_V1	204800	2867200	17	22
