tensor_name	producer_op	consumer_ops	dtype	signedness	scale_name	scale_value_or_summary	zero_point_name	zero_point_value_or_summary	per_tensor_or_per_channel	axis	can_feed_smt_vmadot_directly	correction_required	requant_required	recommended_path	caveat
images_QuantizeLinear_Output	QuantizeLinear:images_QuantizeLinear	DequantizeLinear:images_DequantizeLinear	u8	u8	images_scale	0.003921568859368563	images_zero_point	0	per_tensor		no	dtype_or_layout_check	yes	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.0.conv.bias	DequantizeLinear:model.0.conv.bias_DequantizeLinear	Conv:/model.0/conv/Conv	INT32	INT32	model.0.conv.bias_quantized_scale	shape=[16] min=0.00012583972420543432 max=0.0007287898915819824 first=[0.0003334662178531289, 0.00015922322927508503, 0.0003676500346045941, 0.0007287898915819824]	model.0.conv.bias_quantized_zero_point	shape=[16] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.0.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.0.conv.weight_DequantizeLinear	Conv:/model.0/conv/Conv	s8	s8	model.0.conv.weight_scale	shape=[16] min=0.03208912909030914 max=0.1858414113521576 first=[0.08503387868404388, 0.04060192033648491, 0.09375075250864029, 0.1858414113521576]	model.0.conv.weight_zero_point	shape=[16] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.1.conv.bias	DequantizeLinear:model.1.conv.bias_DequantizeLinear	Conv:/model.1/conv/Conv	INT32	INT32	model.1.conv.bias_quantized_scale	shape=[32] min=0.0007229709881357849 max=0.004131552297621965 first=[0.0017577136168256402, 0.0036381653044372797, 0.003349768463522196, 0.0012321011163294315]	model.1.conv.bias_quantized_zero_point	shape=[32] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.1.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.1.conv.weight_DequantizeLinear	Conv:/model.1/conv/Conv	s8	s8	model.1.conv.weight_scale	shape=[32] min=0.002323448657989502 max=0.013277779333293438 first=[0.005648853722959757, 0.01169215701520443, 0.010765321552753448, 0.003959666006267071]	model.1.conv.weight_zero_point	shape=[32] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.10.cv1.conv.bias	DequantizeLinear:model.10.cv1.conv.bias_DequantizeLinear	Conv:/model.10/cv1/conv/Conv	INT32	INT32	model.10.cv1.conv.bias_quantized_scale	shape=[256] min=7.79926631366834e-05 max=0.0006077488651499152 first=[0.00023070204770192504, 0.00022348406491801143, 0.0001923169766087085, 0.00024061405565589666]	model.10.cv1.conv.bias_quantized_zero_point	shape=[256] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.10.cv1.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.10.cv1.conv.weight_DequantizeLinear	Conv:/model.10/cv1/conv/Conv	s8	s8	model.10.cv1.conv.weight_scale	shape=[256] min=0.0014352297876030207 max=0.011183862574398518 first=[0.004245405085384846, 0.004112578928470612, 0.0035390385892242193, 0.004427806939929724]	model.10.cv1.conv.weight_zero_point	shape=[256] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.10.cv2.conv.bias	DequantizeLinear:model.10.cv2.conv.bias_DequantizeLinear	Conv:/model.10/cv2/conv/Conv	INT32	INT32	model.10.cv2.conv.bias_quantized_scale	shape=[256] min=3.684449620777741e-05 max=0.00040971842827275395 first=[9.96337112155743e-05, 8.490374602843076e-05, 7.08096195012331e-05, 0.0001549510780023411]	model.10.cv2.conv.bias_quantized_zero_point	shape=[256] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.10.cv2.conv.weight_DequantizeLinear_Output	DequantizeLinear:model.10.cv2.conv.weight_DequantizeLinear	Conv:/model.10/cv2/conv/Conv	s8	s8	model.10.cv2.conv.weight_scale	shape=[256] min=0.0004735848924610764 max=0.005266362335532904 first=[0.0012806531740352511, 0.0010913199512287974, 0.000910159491468221, 0.0019916812889277935]	model.10.cv2.conv.weight_zero_point	shape=[256] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	yes	none	after_accumulator_if_consumed_by_int8_op	direct_s8_candidate	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
model.10.m.0.attn.pe.conv.bias	DequantizeLinear:model.10.m.0.attn.pe.conv.bias_DequantizeLinear	Conv:/model.10/m/m.0/attn/pe/conv/Conv	INT32	INT32	model.10.m.0.attn.pe.conv.bias_quantized_scale	shape=[128] min=0.00011219477892154828 max=0.0022320025600492954 first=[0.0005123243317939341, 0.0005762612563557923, 0.0006121859769336879, 0.0006541004404425621]	model.10.m.0.attn.pe.conv.bias_quantized_zero_point	shape=[128] min=0 max=0 first=[0, 0, 0, 0]	per_channel_or_vector	0	no	dtype_or_layout_check	after_accumulator_if_consumed_by_int8_op	subtract_zero_point_or_future_symmetric_requant	Stage0 raw audit from chosen model; refine producer tensor semantics in Stage1 converter.
