name	path	sha256	dtype	shape	min_value	max_value	sum_value
images	.deps/custom_int8_engine/stage40_full_model_skeleton/synthetic_seeded/block_cuts_custom/tensors/images.npy	46908132cf9e04ee14d1702ce99f583255b3a0de0a9b3e74d0f277ab9d8e09b7	float32	1x3x640x640	3.34806429692e-07	1	614647.568282
output0	.deps/custom_int8_engine/stage40_full_model_skeleton/synthetic_seeded/block_cuts_custom/tensors/output0.npy	d07f34ed645101cf735dd82ea10b9488f8abdc847d431d108ec78154eb238fe7	float32	1x300x6	-5.69319152832	646.2890625	344127.372526
/model.4/cv1/conv/Conv_output_0_QuantizeLinear_Output	.deps/custom_int8_engine/stage40_full_model_skeleton/synthetic_seeded/block_cuts_custom/tensors/model.4__cv1__conv__Conv_output_0_QuantizeLinear_Output.npy	a2f9fa064d0e828efd6cd6f389cf69b9aa40b1461ead61188dffce2399734262	uint8	1x64x80x80	79	215	69773862
/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	.deps/custom_int8_engine/stage40_full_model_skeleton/synthetic_seeded/block_cuts_custom/tensors/model.4__cv2__conv__Conv_output_0_QuantizeLinear_Output.npy	64b4be0579c5a2f57b5c3027bb3ce94ae4ebf73fcb3f5b3f5e7e4417cfdc9ef9	uint8	1x128x80x80	58	184	106624945
prefix__/model.4/cv1/conv/Conv_output_0_QuantizeLinear_Output	.deps/custom_int8_engine/stage40_full_model_skeleton/synthetic_seeded/block_cuts_custom/tensors/prefix____model.4__cv1__conv__Conv_output_0_QuantizeLinear_Output.npy	a2f9fa064d0e828efd6cd6f389cf69b9aa40b1461ead61188dffce2399734262	uint8	1x64x80x80	79	215	69773862
all_ort_model4__/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	.deps/custom_int8_engine/stage40_full_model_skeleton/synthetic_seeded/block_cuts_custom/tensors/all_ort_model4____model.4__cv2__conv__Conv_output_0_QuantizeLinear_Output.npy	64b4be0579c5a2f57b5c3027bb3ce94ae4ebf73fcb3f5b3f5e7e4417cfdc9ef9	uint8	1x128x80x80	58	184	106624945
all_ort_skeleton__output0	.deps/custom_int8_engine/stage40_full_model_skeleton/synthetic_seeded/block_cuts_custom/tensors/all_ort_skeleton__output0.npy	d07f34ed645101cf735dd82ea10b9488f8abdc847d431d108ec78154eb238fe7	float32	1x300x6	-5.69319152832	646.2890625	344127.372526
/model.4/cv1/conv/Conv_output_0_QuantizeLinear_Output	.deps/custom_int8_engine/stage40_full_model_skeleton/synthetic_seeded/block_cuts_custom/tensors/model4_cv1_conv_q_u8_nhwc.bin	94dcc2e954f7b9b112bc3f11cfe4a147dfe91c52b37f94058e2dd09b4e08b1b8	uint8	1x80x80x64	79	215	69773862
/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	.deps/custom_int8_engine/stage40_full_model_skeleton/synthetic_seeded/block_cuts_custom/tensors/model4_cv2_conv_q_u8_expected_nhwc.bin	517db620fca8465888ec387673f888d5e7c43c86d613c88cbf4bb5ffcbe4cd91	uint8	1x80x80x128	58	184	106624945
custom_model4__/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	.deps/custom_int8_engine/stage40_full_model_skeleton/synthetic_seeded/block_cuts_custom/tensors/custom_model4____model.4__cv2__conv__Conv_output_0_QuantizeLinear_Output.npy	64b4be0579c5a2f57b5c3027bb3ce94ae4ebf73fcb3f5b3f5e7e4417cfdc9ef9	uint8	1x128x80x80	58	184	106624945
custom_model4_skeleton__output0	.deps/custom_int8_engine/stage40_full_model_skeleton/synthetic_seeded/block_cuts_custom/tensors/custom_model4_skeleton__output0.npy	d07f34ed645101cf735dd82ea10b9488f8abdc847d431d108ec78154eb238fe7	float32	1x300x6	-5.69319152832	646.2890625	344127.372526
