block_id	input_boundary	input_dtype	input_shape	output_boundary	output_shape	output_is_quantized	cut_status
model.5	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	uint8	1x128x80x80	/model.5/act/Mul_output_0_DequantizeLinear_Output	1x128x40x40	0	pass
model.6	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	uint8	1x128x80x80	/model.6/cv2/act/Mul_output_0_DequantizeLinear_Output	1x128x40x40	0	pass
model.7	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	uint8	1x128x80x80	/model.7/act/Mul_output_0_DequantizeLinear_Output	1x256x20x20	0	pass
model.8	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	uint8	1x128x80x80	/model.8/cv2/act/Mul_output_0_DequantizeLinear_Output	1x256x20x20	0	pass
model.9	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	uint8	1x128x80x80	/model.9/Add_output_0_DequantizeLinear_Output	1x256x20x20	0	pass
model.10	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	uint8	1x128x80x80	/model.10/cv2/act/Mul_output_0	1x256x20x20	0	pass
model.11	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	uint8	1x128x80x80	/model.11/Resize_output_0	1x256x40x40	0	pass
model.12	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	uint8	1x128x80x80	/model.12/Concat_output_0_DequantizeLinear_Output	1x384x40x40	0	pass
model.13	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	uint8	1x128x80x80	/model.13/cv2/act/Mul_output_0	1x128x40x40	0	pass
model.14	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	uint8	1x128x80x80	/model.14/Resize_output_0	1x128x80x80	0	pass
model.15	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	uint8	1x128x80x80	/model.15/Concat_output_0_DequantizeLinear_Output	1x256x80x80	0	pass
model.16	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	uint8	1x128x80x80	/model.16/cv2/act/Mul_output_0_DequantizeLinear_Output	1x64x80x80	0	pass
model.17	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	uint8	1x128x80x80	/model.17/act/Mul_output_0	1x64x40x40	0	pass
model.18	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	uint8	1x128x80x80	/model.18/Concat_output_0_DequantizeLinear_Output	1x192x40x40	0	pass
model.19	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	uint8	1x128x80x80	/model.19/cv2/act/Mul_output_0_DequantizeLinear_Output	1x128x40x40	0	pass
model.20	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	uint8	1x128x80x80	/model.20/act/Mul_output_0	1x128x20x20	0	pass
model.21	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	uint8	1x128x80x80	/model.21/Concat_output_0_DequantizeLinear_Output	1x384x20x20	0	pass
model.22	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	uint8	1x128x80x80	/model.22/cv2/act/Mul_output_0_DequantizeLinear_Output	1x256x20x20	0	pass
model.23	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	uint8	1x128x80x80	output0	1x300x6	0	pass
