block_id	cumulative_mean_us	incremental_delta_us	stddev_us	min_us	max_us	cv_pct	profiling_source
model.5	14345.387	14345.387	3930.190	11566.323	17124.452	27.397	host_cpp_inprocess_exact_scaffold
model.6	24505.945	10160.558	5019.322	20956.748	28055.142	20.482	host_cpp_inprocess_exact_scaffold
model.7	27470.792	2964.847	3583.119	24937.145	30004.440	13.043	host_cpp_inprocess_exact_scaffold
model.8	33709.187	6238.395	3035.064	31563.072	35855.301	9.004	host_cpp_inprocess_exact_scaffold
model.9	36486.001	2776.814	3306.428	34148.003	38823.999	9.062	host_cpp_inprocess_exact_scaffold
model.10	43526.095	7040.094	2663.999	41642.363	45409.826	6.120	host_cpp_inprocess_exact_scaffold
model.11	47405.525	3879.430	6747.490	42634.329	52176.721	14.234	host_cpp_inprocess_exact_scaffold
model.12	47349.358	-56.167	5219.622	43658.528	51040.188	11.024	host_cpp_inprocess_exact_scaffold
model.13	56598.399	9249.042	5045.839	53030.453	60166.346	8.915	host_cpp_inprocess_exact_scaffold
model.14	61130.229	4531.829	8162.008	55358.817	66901.640	13.352	host_cpp_inprocess_exact_scaffold
model.15	63497.344	2367.115	4632.441	60221.713	66772.974	7.295	host_cpp_inprocess_exact_scaffold
model.16	79904.329	16406.986	5887.696	75741.100	84067.559	7.368	host_cpp_inprocess_exact_scaffold
model.17	78781.630	-1122.699	5051.896	75209.400	82353.860	6.413	host_cpp_inprocess_exact_scaffold
model.18	82507.510	3725.880	4646.560	79221.896	85793.124	5.632	host_cpp_inprocess_exact_scaffold
model.19	89805.437	7297.927	5085.342	86209.557	93401.317	5.663	host_cpp_inprocess_exact_scaffold
model.20	92871.834	3066.397	5059.038	89294.554	96449.114	5.447	host_cpp_inprocess_exact_scaffold
model.21	91256.235	-1615.599	4472.941	88093.388	94419.083	4.902	host_cpp_inprocess_exact_scaffold
model.22	101365.793	10109.558	3173.045	99122.112	103609.475	3.130	host_cpp_inprocess_exact_scaffold
model.23	130774.717	29408.924	826.654	130190.184	131359.250	0.632	host_cpp_inprocess_exact_scaffold
