measurement	repeat	prefix_us	layout_in_us	custom_model4_us	layout_out_us	suffix_us	total_or_mean_us	protocol
custom_pipeline	0	230071.400690	5310.462910	25234.233570	11885.753810	554735.287130	827250.432360	warmup10-runs100
custom_pipeline	1	229381.435710	5278.499050	25076.332040	11804.579570	553200.079200	824754.582680	warmup10-runs100
custom_pipeline	2	229622.171730	5277.414260	25009.943800	11853.500660	554299.622170	826075.843880	warmup10-runs100
custom_pipeline	3	229895.520390	5321.363520	25224.462780	11831.693720	554610.571030	826897.082060	warmup10-runs100
custom_pipeline	4	229340.906690	5278.264850	25200.520290	11816.996020	553414.951300	825064.973150	warmup10-runs100
full_board_ort	0	NA	NA	NA	NA	NA	798029.875900	warmup10-runs100
full_board_ort	1	NA	NA	NA	NA	NA	796520.115090	warmup10-runs100
full_board_ort	2	NA	NA	NA	NA	NA	796664.785110	warmup10-runs100
full_board_ort	3	NA	NA	NA	NA	NA	796515.638370	warmup10-runs100
full_board_ort	4	NA	NA	NA	NA	NA	796601.540380	warmup10-runs100
board_ort_model4_same_input	0	NA	NA	NA	NA	NA	37089.629390	warmup10-runs100
board_ort_model4_same_input	1	NA	NA	NA	NA	NA	37027.395960	warmup10-runs100
board_ort_model4_same_input	2	NA	NA	NA	NA	NA	37092.499330	warmup10-runs100
board_ort_model4_same_input	3	NA	NA	NA	NA	NA	37089.852750	warmup10-runs100
board_ort_model4_same_input	4	NA	NA	NA	NA	NA	37064.445230	warmup10-runs100
board_custom_ime_same_input	0	NA	4916.373350	26704.721810	10935.224210	NA	26704.721810	warmup10-runs100
board_custom_ime_same_input	1	NA	4914.954440	26769.519080	11021.915020	NA	26769.519080	warmup10-runs100
board_custom_ime_same_input	2	NA	4917.511440	26907.394940	10930.808780	NA	26907.394940	warmup10-runs100
board_custom_ime_same_input	3	NA	4910.064840	26979.150680	11007.324890	NA	26979.150680	warmup10-runs100
board_custom_ime_same_input	4	NA	4921.700750	26717.347480	11021.387740	NA	26717.347480	warmup10-runs100
board_custom_scalar_same_input	0	NA	4890.780760	378196.557300	10963.938800	NA	378196.557300	warmup10-runs100
board_custom_scalar_same_input	1	NA	4888.825720	378204.273970	11161.475020	NA	378204.273970	warmup10-runs100
board_custom_scalar_same_input	2	NA	4888.355370	378204.177260	11093.581240	NA	378204.177260	warmup10-runs100
board_custom_scalar_same_input	3	NA	4899.961590	378486.476030	10794.592900	NA	378486.476030	warmup10-runs100
board_custom_scalar_same_input	4	NA	4898.944400	378519.890410	10936.089320	NA	378519.890410	warmup10-runs100
