block	repeat	mean_us	input_wrap_us	ort_run_us	output_copy_us	warmup	runs	affinity	optimization
model5	0	17825.941020	10.171550	17688.194580	104.201820	10	100	CPU0-3	ORT_ENABLE_ALL
model5	1	17807.281680	10.406550	17668.176450	105.594300	10	100	CPU0-3	ORT_ENABLE_ALL
model5	2	17806.429430	10.463120	17669.874760	103.671820	10	100	CPU0-3	ORT_ENABLE_ALL
model5	3	17807.719340	10.497380	17668.994940	104.510210	10	100	CPU0-3	ORT_ENABLE_ALL
model5	4	17825.136760	10.477310	17686.310780	104.822680	10	100	CPU0-3	ORT_ENABLE_ALL
model6	0	29546.152500	9.955270	29395.265330	116.433790	10	100	CPU0-3	ORT_ENABLE_ALL
model6	1	29595.853150	10.231080	29443.488510	118.093040	10	100	CPU0-3	ORT_ENABLE_ALL
model6	2	29554.931530	10.203620	29403.933950	117.478800	10	100	CPU0-3	ORT_ENABLE_ALL
model6	3	29592.791890	10.258950	29443.881100	115.459980	10	100	CPU0-3	ORT_ENABLE_ALL
model6	4	29565.549790	10.188250	29416.815560	115.436220	10	100	CPU0-3	ORT_ENABLE_ALL
model7	0	7571.388710	8.986020	7480.638100	60.654870	10	100	CPU0-3	ORT_ENABLE_ALL
model7	1	7521.729020	9.746080	7432.209280	59.347730	10	100	CPU0-3	ORT_ENABLE_ALL
model7	2	7542.239460	9.120290	7452.038890	60.803130	10	100	CPU0-3	ORT_ENABLE_ALL
model7	3	7559.628140	9.141070	7468.580460	61.292750	10	100	CPU0-3	ORT_ENABLE_ALL
model7	4	7532.434470	9.095310	7442.050920	59.619440	10	100	CPU0-3	ORT_ENABLE_ALL
model8	0	17367.241520	10.157760	17256.509970	78.550280	10	100	CPU0-3	ORT_ENABLE_ALL
model8	1	17325.270410	10.355320	17220.667320	73.153930	10	100	CPU0-3	ORT_ENABLE_ALL
model8	2	17390.329480	10.324000	17282.095980	74.691430	10	100	CPU0-3	ORT_ENABLE_ALL
model8	3	17356.014440	9.743630	17250.438910	73.805970	10	100	CPU0-3	ORT_ENABLE_ALL
model8	4	17364.630860	11.589430	17255.438980	75.901920	10	100	CPU0-3	ORT_ENABLE_ALL
