block	initializer	dtype	shape	element_count	bytes	raw_sha256
model5	model.5.conv.bias_quantized	int32	128	128	512	63d8afbf988eaa60310e791542ac86724f4973e124beed0ca653b270bbce4b5d
model5	model.5.conv.bias_quantized_scale	float32	128	128	512	3267b8636c5bc053d52e8baa5f0e24bdaa5f8badb8bda4a1d9cf80f04fc9d9f1
model5	model.5.conv.bias_quantized_zero_point	int32	128	128	512	076a27c79e5ace2a3d47f9dd2e83e4ff6ea8872b3c2218f66c92b89b55f36560
model5	model.5.conv.weight_quantized	int8	128x128x3x3	147456	147456	4a4afc7329080004473eae18ebbfb15fa464075fcd8d6b356885689cf552a491
model5	model.5.conv.weight_scale	float32	128	128	512	6c528a7ef3521fbd910e35aeb2a1efe38f7bcb365a9496761dd7bf7e09ef3a33
model5	model.5.conv.weight_zero_point	int8	128	128	128	38723a2e5e8a17aa7950dc008209944e898f69a7bd10a23c839d341e935fd5ca
model6	model.6.cv1.conv.bias_quantized	int32	128	128	512	b6668a7b303cb7c8a318f5325733140bed8bd4b309505fdf8b40ffd6120dbb67
model6	model.6.cv1.conv.bias_quantized_scale	float32	128	128	512	dd91c98c6b0925416114dbdfb5cf709539a7041137069623af8cf72ca4155165
model6	model.6.cv1.conv.bias_quantized_zero_point	int32	128	128	512	076a27c79e5ace2a3d47f9dd2e83e4ff6ea8872b3c2218f66c92b89b55f36560
model6	model.6.cv1.conv.weight_quantized	int8	128x128x1x1	16384	16384	7f374cf82e5761ad72e5fc30e6b29024377be1ebe1c1934e8ea8b046838dcfc5
model6	model.6.cv1.conv.weight_scale	float32	128	128	512	ace99eee1b1cc2ed1e0399de01e2760a40310a2c5171317fb53a871c913b3695
model6	model.6.cv1.conv.weight_zero_point	int8	128	128	128	38723a2e5e8a17aa7950dc008209944e898f69a7bd10a23c839d341e935fd5ca
model6	model.6.cv2.conv.bias_quantized	int32	128	128	512	3d9cbb12743eb112336f9ff453f45496a1f5fa43f9078de56ec158500a7ee3fe
model6	model.6.cv2.conv.bias_quantized_scale	float32	128	128	512	cf98e45389f259125b08e8b27596717d2c1317f4d442b6d89a4fd410b39c62f1
model6	model.6.cv2.conv.bias_quantized_zero_point	int32	128	128	512	076a27c79e5ace2a3d47f9dd2e83e4ff6ea8872b3c2218f66c92b89b55f36560
model6	model.6.cv2.conv.weight_quantized	int8	128x192x1x1	24576	24576	df0205e2dab6c1f19577e7e43b95979f892bcb4c22f5da84c9740fec35c8b9fe
model6	model.6.cv2.conv.weight_scale	float32	128	128	512	de54e9564fc0f4952ab31836e7f0ebc609c4c7a4d3eb7cc92fbe7e1a340e97cd
model6	model.6.cv2.conv.weight_zero_point	int8	128	128	128	38723a2e5e8a17aa7950dc008209944e898f69a7bd10a23c839d341e935fd5ca
model6	model.6.m.0.cv1.conv.bias_quantized	int32	32	32	128	10dfe138a8c24d08f341d2a9a7dbd4c4f49b962d9f51173b10104838d218e169
model6	model.6.m.0.cv1.conv.bias_quantized_scale	float32	32	32	128	939c8a9aceab40f8db5576793ca87e8b72d91e857e00bf8daf0f07b91de6324e
model6	model.6.m.0.cv1.conv.bias_quantized_zero_point	int32	32	32	128	38723a2e5e8a17aa7950dc008209944e898f69a7bd10a23c839d341e935fd5ca
model6	model.6.m.0.cv1.conv.weight_quantized	int8	32x64x1x1	2048	2048	d2bd0c6e68ca558c08e687a1f367909f62f2364d3bb195fa78b4eef35719c6d5
model6	model.6.m.0.cv1.conv.weight_scale	float32	32	32	128	abdea5f3fffe38f506255fb844f72359b4b32cfa0ecded9a8bbad304692220bf
model6	model.6.m.0.cv1.conv.weight_zero_point	int8	32	32	32	66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925
model6	model.6.m.0.cv2.conv.bias_quantized	int32	32	32	128	d059e44d7afff05c941249c5cfa373676689109ff6e014a6e70d2eb55508bf85
model6	model.6.m.0.cv2.conv.bias_quantized_scale	float32	32	32	128	9b2a93cced602637c185ba43976e0cd82f16a3a9e9a3158e23778dbd24eefb3e
model6	model.6.m.0.cv2.conv.bias_quantized_zero_point	int32	32	32	128	38723a2e5e8a17aa7950dc008209944e898f69a7bd10a23c839d341e935fd5ca
model6	model.6.m.0.cv2.conv.weight_quantized	int8	32x64x1x1	2048	2048	684c4bee93fab8b64da1980acb5c8dd016d60f050d28d09b73cd1b068607df16
model6	model.6.m.0.cv2.conv.weight_scale	float32	32	32	128	976f97047bb1dfae418e0c4be65c18065daa0864422cd90503f741bddbc5495b
model6	model.6.m.0.cv2.conv.weight_zero_point	int8	32	32	32	66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925
model6	model.6.m.0.cv3.conv.bias_quantized	int32	64	64	256	8c6db37903de526c464514ace1686b0d487b06f86ea7cc4f966e58c21af37b48
model6	model.6.m.0.cv3.conv.bias_quantized_scale	float32	64	64	256	7e63f1c9a82fadf241ec2658aae583e38118494f07e917c810382fe93d48f0c4
model6	model.6.m.0.cv3.conv.bias_quantized_zero_point	int32	64	64	256	5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1
model6	model.6.m.0.cv3.conv.weight_quantized	int8	64x64x1x1	4096	4096	94398295a0d16deb9862a1b65e02c6fef062976ec9745c51b9bf127de327d32d
model6	model.6.m.0.cv3.conv.weight_scale	float32	64	64	256	be53bfd34ed3210b3bb85ed158d0acd9f9b13d608cb6e84aee574ecf8a396d5a
model6	model.6.m.0.cv3.conv.weight_zero_point	int8	64	64	64	f5a5fd42d16a20302798ef6ed309979b43003d2320d9f0e8ea9831a92759fb4b
model6	model.6.m.0.m.0.cv1.conv.bias_quantized	int32	32	32	128	2d383efe9746880ea666a92693542529d07eb6d368ae7c8447adde4b7e278639
model6	model.6.m.0.m.0.cv1.conv.bias_quantized_scale	float32	32	32	128	2e71a7213a9e45341dc27d9e8a30298595d3d130bd2a850f75896c5ed6253378
model6	model.6.m.0.m.0.cv1.conv.bias_quantized_zero_point	int32	32	32	128	38723a2e5e8a17aa7950dc008209944e898f69a7bd10a23c839d341e935fd5ca
model6	model.6.m.0.m.0.cv1.conv.weight_quantized	int8	32x32x3x3	9216	9216	07d2c931798def451ecf2645ab3e0be9828d8f9fda3b48ad5ffaf32146ee2b27
model6	model.6.m.0.m.0.cv1.conv.weight_scale	float32	32	32	128	a287f3adc994cab8875ade5545a16b3f39ba3af7cfc27857129293da64e25487
