mode	repeat	wall_us	model4_postact_us	conv_us	pack_us	worker_compute_us	correction_us	thread_overhead_us	model5_postact_us	internal_total_us
R0	0	23629.1	2656.93	15836.4	4630.13	15507.4	146.220	182.377	5126.42	23624.0
R0	1	23652.7	2660.22	15861.1	4646.85	15533.0	147.190	180.545	5122.87	23648.5
R0	2	23625.5	2662.35	15821.9	4628.27	15494.5	145.581	181.503	5132.48	23621.2
R0	3	23650.8	2661.71	15849.1	4634.65	15520.2	146.794	181.104	5129.96	23646.5
R0	4	23657.9	2661.57	15856.8	4634.98	15527.6	147.903	181.004	5130.78	23653.5
R2a	0	24842.8	2660.32	17046.5	4048.48	16735.4	134.824	175.931	5126.66	24838.1
R2a	1	24822.5	2656.43	17029.4	4038.37	16717.3	135.210	176.644	5127.58	24818.1
R2a	2	24797.0	2650.88	17011.1	4070.92	16700.0	134.325	176.532	5126.05	24792.6
R2a	3	24806.9	2651.19	17023.2	4040.01	16709.7	134.662	178.561	5123.57	24802.6
R2a	4	24792.9	2657.33	16995.0	4065.12	16682.2	136.185	176.422	5131.56	24788.7
