index	block	name	op_type	inputs	outputs	output_shapes	output_dtypes	output_bytes	macs	flops_2_per_mac	mac_status
255	model.0	/model.0/conv/Conv	Conv	images_DequantizeLinear_Output;model.0.conv.weight_DequantizeLinear_Output;model.0.conv.bias	/model.0/conv/Conv_output_0	1x16x320x320	FLOAT	6553600	44236800	88473600	static
262	model.1	/model.1/conv/Conv	Conv	/model.0/act/Mul_output_0_DequantizeLinear_Output;model.1.conv.weight_DequantizeLinear_Output;model.1.conv.bias	/model.1/conv/Conv_output_0	1x32x160x160	FLOAT	3276800	117964800	235929600	static
269	model.2	/model.2/cv1/conv/Conv	Conv	/model.1/act/Mul_output_0_DequantizeLinear_Output;model.2.cv1.conv.weight_DequantizeLinear_Output;model.2.cv1.conv.bias	/model.2/cv1/conv/Conv_output_0	1x32x160x160	FLOAT	3276800	26214400	52428800	static
277	model.2	/model.2/m.0/cv1/conv/Conv	Conv	/model.2/Split_output_1_DequantizeLinear_Output;model.2.m.0.cv1.conv.weight_DequantizeLinear_Output;model.2.m.0.cv1.conv.bias	/model.2/m.0/cv1/conv/Conv_output_0	1x8x160x160	FLOAT	819200	29491200	58982400	static
284	model.2	/model.2/m.0/cv2/conv/Conv	Conv	/model.2/m.0/cv1/act/Mul_output_0_DequantizeLinear_Output;model.2.m.0.cv2.conv.weight_DequantizeLinear_Output;model.2.m.0.cv2.conv.bias	/model.2/m.0/cv2/conv/Conv_output_0	1x16x160x160	FLOAT	1638400	29491200	58982400	static
293	model.2	/model.2/cv2/conv/Conv	Conv	/model.2/Concat_output_0_DequantizeLinear_Output;model.2.cv2.conv.weight_DequantizeLinear_Output;model.2.cv2.conv.bias	/model.2/cv2/conv/Conv_output_0	1x64x160x160	FLOAT	6553600	78643200	157286400	static
300	model.3	/model.3/conv/Conv	Conv	/model.2/cv2/act/Mul_output_0_DequantizeLinear_Output;model.3.conv.weight_DequantizeLinear_Output;model.3.conv.bias	/model.3/conv/Conv_output_0	1x64x80x80	FLOAT	1638400	235929600	471859200	static
307	model.4	/model.4/cv1/conv/Conv	Conv	/model.3/act/Mul_output_0_DequantizeLinear_Output;model.4.cv1.conv.weight_DequantizeLinear_Output;model.4.cv1.conv.bias	/model.4/cv1/conv/Conv_output_0	1x64x80x80	FLOAT	1638400	26214400	52428800	static
315	model.4	/model.4/m.0/cv1/conv/Conv	Conv	/model.4/Split_output_1_DequantizeLinear_Output;model.4.m.0.cv1.conv.weight_DequantizeLinear_Output;model.4.m.0.cv1.conv.bias	/model.4/m.0/cv1/conv/Conv_output_0	1x16x80x80	FLOAT	409600	29491200	58982400	static
322	model.4	/model.4/m.0/cv2/conv/Conv	Conv	/model.4/m.0/cv1/act/Mul_output_0_DequantizeLinear_Output;model.4.m.0.cv2.conv.weight_DequantizeLinear_Output;model.4.m.0.cv2.conv.bias	/model.4/m.0/cv2/conv/Conv_output_0	1x32x80x80	FLOAT	819200	29491200	58982400	static
331	model.4	/model.4/cv2/conv/Conv	Conv	/model.4/Concat_output_0_DequantizeLinear_Output;model.4.cv2.conv.weight_DequantizeLinear_Output;model.4.cv2.conv.bias	/model.4/cv2/conv/Conv_output_0	1x128x80x80	FLOAT	3276800	78643200	157286400	static
338	model.5	/model.5/conv/Conv	Conv	/model.4/cv2/act/Mul_output_0_DequantizeLinear_Output;model.5.conv.weight_DequantizeLinear_Output;model.5.conv.bias	/model.5/conv/Conv_output_0	1x128x40x40	FLOAT	819200	235929600	471859200	static
345	model.6	/model.6/cv1/conv/Conv	Conv	/model.5/act/Mul_output_0_DequantizeLinear_Output;model.6.cv1.conv.weight_DequantizeLinear_Output;model.6.cv1.conv.bias	/model.6/cv1/conv/Conv_output_0	1x128x40x40	FLOAT	819200	26214400	52428800	static
353	model.6	/model.6/m.0/cv1/conv/Conv	Conv	/model.6/Split_output_1_DequantizeLinear_Output;model.6.m.0.cv1.conv.weight_DequantizeLinear_Output;model.6.m.0.cv1.conv.bias	/model.6/m.0/cv1/conv/Conv_output_0	1x32x40x40	FLOAT	204800	3276800	6553600	static
354	model.6	/model.6/m.0/cv2/conv/Conv	Conv	/model.6/Split_output_1_DequantizeLinear_Output;model.6.m.0.cv2.conv.weight_DequantizeLinear_Output;model.6.m.0.cv2.conv.bias	/model.6/m.0/cv2/conv/Conv_output_0	1x32x40x40	FLOAT	204800	3276800	6553600	static
