block	op_type	provider	events	total_us	mean_us	median_us	p95_us
graph	QuantizeLinear	CPUExecutionProvider	4	8347.0	2086.75	2089.0	2225.3
graph	Transpose	CPUExecutionProvider	60	37419.0	623.65	237.5	4624.599999999999
model.0	DequantizeLinear	CPUExecutionProvider	8	40967.0	5120.875	2905.0	9877.45
model.0	Mul	CPUExecutionProvider	4	26331.0	6582.75	6452.5	7059.15
model.0	QLinearConv	CPUExecutionProvider	4	50727.0	12681.75	11260.5	16614.35
model.0	QuantizeLinear	CPUExecutionProvider	4	9021.0	2255.25	2274.5	2335.55
model.0	Sigmoid	CPUExecutionProvider	4	18281.0	4570.25	4531.5	4690.1
model.1	DequantizeLinear	CPUExecutionProvider	8	12648.0	1581.0	1580.0	1628.25
model.1	Mul	CPUExecutionProvider	4	9796.0	2449.0	2452.5	2575.35
model.1	QLinearConv	CPUExecutionProvider	4	31145.0	7786.25	7565.5	8857.1
model.1	QuantizeLinear	CPUExecutionProvider	4	5157.0	1289.25	1266.5	1421.0
model.1	Sigmoid	CPUExecutionProvider	4	10609.0	2652.25	2515.5	3112.7999999999997
model.10	Add	CPUExecutionProvider	4	1306.0	326.5	325.0	352.7
model.10	Concat	CPUExecutionProvider	4	1691.0	422.75	396.5	506.09999999999997
model.10	DequantizeLinear	CPUExecutionProvider	44	17526.0	398.3181818181818	302.0	814.45
model.10	Mul	CPUExecutionProvider	16	11864.0	741.5	645.5	1435.5
model.10	QLinearAdd	CPUExecutionProvider	8	30206.0	3775.75	3775.5	3806.2
model.10	QLinearConv	CPUExecutionProvider	28	22505.0	803.75	746.0	1167.0
model.10	QLinearMatMul	CPUExecutionProvider	8	13252.0	1656.5	1645.0	2085.2
model.10	QuantizeLinear	CPUExecutionProvider	28	10285.0	367.32142857142856	340.0	796.8
model.10	Reshape	CPUExecutionProvider	12	1681.0	140.08333333333334	111.0	200.95
model.10	Sigmoid	CPUExecutionProvider	12	5157.0	429.75	419.0	475.9
model.10	Softmax	CPUExecutionProvider	4	3567.0	891.75	880.0	944.1999999999999
model.10	Split	CPUExecutionProvider	8	3340.0	417.5	312.5	781.1999999999999
model.10	Transpose	CPUExecutionProvider	8	5477.0	684.625	581.0	1431.95
model.11	Resize	CPUExecutionProvider	4	14409.0	3602.25	3569.0	4532.85
model.12	Concat	CPUExecutionProvider	4	7586.0	1896.5	1893.5	2420.8
model.12	QuantizeLinear	CPUExecutionProvider	4	3939.0	984.75	997.5	1012.5
model.13	Add	CPUExecutionProvider	8	3037.0	379.625	369.5	449.65
model.13	Concat	CPUExecutionProvider	8	5546.0	693.25	706.5	924.65
model.13	DequantizeLinear	CPUExecutionProvider	88	27135.0	308.35227272727275	275.5	579.1499999999999
model.13	Mul	CPUExecutionProvider	36	20554.0	570.9444444444445	392.0	1265.5
model.13	QLinearConv	CPUExecutionProvider	36	33196.0	922.1111111111111	892.5	1831.75
model.13	QuantizeLinear	CPUExecutionProvider	28	10777.0	384.89285714285717	317.5	654.05
model.13	Sigmoid	CPUExecutionProvider	36	22668.0	629.6666666666666	620.5	761.5
model.13	Split	CPUExecutionProvider	4	1616.0	404.0	395.0	449.55
model.14	Resize	CPUExecutionProvider	4	19646.0	4911.5	4885.0	5034.0
model.15	Concat	CPUExecutionProvider	4	14046.0	3511.5	3477.5	4137.05
model.15	QuantizeLinear	CPUExecutionProvider	4	8685.0	2171.25	2157.5	2229.7
model.16	Add	CPUExecutionProvider	8	4696.0	587.0	582.5	623.55
model.16	Concat	CPUExecutionProvider	8	8529.0	1066.125	1061.0	1445.75
model.16	DequantizeLinear	CPUExecutionProvider	88	43730.0	496.9318181818182	427.0	961.1999999999999
model.16	Mul	CPUExecutionProvider	36	30424.0	845.1111111111111	665.5	1397.0
model.16	QLinearConv	CPUExecutionProvider	36	52267.0	1451.861111111111	1608.5	2229.25
model.16	QuantizeLinear	CPUExecutionProvider	32	19548.0	610.875	527.0	996.65
model.16	Sigmoid	CPUExecutionProvider	36	23974.0	665.9444444444445	427.0	1349.0
model.16	Split	CPUExecutionProvider	4	2255.0	563.75	572.0	598.55
model.17	DequantizeLinear	CPUExecutionProvider	8	2864.0	358.0	355.5	411.5
model.17	Mul	CPUExecutionProvider	4	2553.0	638.25	634.0	670.3
model.17	QLinearConv	CPUExecutionProvider	4	7580.0	1895.0	1895.0	1926.85
model.17	Sigmoid	CPUExecutionProvider	4	1821.0	455.25	457.0	487.55
model.18	Concat	CPUExecutionProvider	4	3413.0	853.25	845.0	886.0
model.18	QuantizeLinear	CPUExecutionProvider	4	2571.0	642.75	646.0	650.4
model.19	Add	CPUExecutionProvider	8	2956.0	369.5	354.5	437.84999999999997
model.19	Concat	CPUExecutionProvider	8	5035.0	629.375	608.5	889.35
model.19	DequantizeLinear	CPUExecutionProvider	88	26947.0	306.21590909090907	271.5	606.8
model.19	Mul	CPUExecutionProvider	36	20287.0	563.5277777777778	384.5	1252.0
model.19	QLinearConv	CPUExecutionProvider	36	30736.0	853.7777777777778	884.5	1261.0
model.19	QuantizeLinear	CPUExecutionProvider	32	12911.0	403.46875	319.0	686.95
model.19	Sigmoid	CPUExecutionProvider	36	22595.0	627.6388888888889	614.0	720.75
model.19	Split	CPUExecutionProvider	4	1901.0	475.25	427.0	602.3
model.2	Add	CPUExecutionProvider	4	5838.0	1459.5	1446.5	1552.75
model.2	Concat	CPUExecutionProvider	4	9280.0	2320.0	2314.5	2377.25
model.2	DequantizeLinear	CPUExecutionProvider	44	59486.0	1351.9545454545455	986.5	2912.25
model.2	Mul	CPUExecutionProvider	16	44444.0	2777.75	1985.5	6164.75
model.2	QLinearConv	CPUExecutionProvider	16	63888.0	3993.0	4141.0	5140.75
model.2	QuantizeLinear	CPUExecutionProvider	16	23090.0	1443.125	1454.0	2187.25
model.2	Sigmoid	CPUExecutionProvider	16	39181.0	2448.8125	1889.5	5313.5
model.2	Split	CPUExecutionProvider	4	4492.0	1123.0	1146.0	1169.15
model.20	DequantizeLinear	CPUExecutionProvider	8	1993.0	249.125	246.0	330.09999999999997
model.20	Mul	CPUExecutionProvider	4	1364.0	341.0	332.5	393.34999999999997
model.20	QLinearConv	CPUExecutionProvider	4	6022.0	1505.5	1506.5	1581.0
model.20	Sigmoid	CPUExecutionProvider	4	2592.0	648.0	646.5	683.35
model.21	Concat	CPUExecutionProvider	4	2224.0	556.0	559.0	579.9
model.21	QuantizeLinear	CPUExecutionProvider	4	1929.0	482.25	471.0	546.15
model.22	Add	CPUExecutionProvider	8	2611.0	326.375	323.5	369.9
model.22	Concat	CPUExecutionProvider	4	2462.0	615.5	623.5	646.1
model.22	DequantizeLinear	CPUExecutionProvider	68	20165.0	296.54411764705884	261.5	614.1999999999996
model.22	Mul	CPUExecutionProvider	24	12005.0	500.2083333333333	564.5	783.8
model.22	QLinearAdd	CPUExecutionProvider	8	30097.0	3762.125	3750.0	3831.2
model.22	QLinearConv	CPUExecutionProvider	36	31679.0	879.9722222222222	933.0	1176.25
model.22	QLinearMatMul	CPUExecutionProvider	8	12242.0	1530.25	1530.0	1697.85
model.22	QuantizeLinear	CPUExecutionProvider	40	14168.0	354.2	339.5	766.9999999999999
model.22	Reshape	CPUExecutionProvider	12	1805.0	150.41666666666666	117.5	232.45
model.22	Sigmoid	CPUExecutionProvider	20	8949.0	447.45	415.0	614.0
model.22	Softmax	CPUExecutionProvider	4	3457.0	864.25	862.0	896.05
model.22	Split	CPUExecutionProvider	8	2664.0	333.0	346.0	425.45
model.22	Transpose	CPUExecutionProvider	8	4505.0	563.125	563.0	994.65
model.23	Add	CPUExecutionProvider	4	714.0	178.5	166.0	214.04999999999998
model.23	Cast	CPUExecutionProvider	4	366.0	91.5	77.0	129.84999999999997
model.23	Concat	CPUExecutionProvider	20	13300.0	665.0	200.0	1458.3
model.23	DequantizeLinear	CPUExecutionProvider	168	74247.0	441.94642857142856	302.0	1170.5500000000002
model.23	Div	CPUExecutionProvider	4	570.0	142.5	145.5	168.0
model.23	Flatten	CPUExecutionProvider	8	946.0	118.25	115.5	167.9
model.23	Gather	CPUExecutionProvider	4	487.0	121.75	107.0	165.39999999999998
model.23	GatherElements	CPUExecutionProvider	8	2041.0	255.125	240.5	420.8
model.23	Mod	CPUExecutionProvider	4	359.0	89.75	89.0	93.25
model.23	Mul	CPUExecutionProvider	76	53596.0	705.2105263157895	645.0	1686.75
model.23	QLinearConv	CPUExecutionProvider	96	187385.0	1951.9270833333333	1032.5	8030.5
model.23	QuantizeLinear	CPUExecutionProvider	72	31358.0	435.52777777777777	415.0	930.45
model.23	ReduceMax	CPUExecutionProvider	4	5358.0	1339.5	1326.0	1378.75
model.23	Reshape	CPUExecutionProvider	32	3593.0	112.28125	87.0	215.54999999999998
model.23	Sigmoid	CPUExecutionProvider	76	56065.0	737.6973684210526	453.0	1768.75
model.23	Split	CPUExecutionProvider	8	8144.0	1018.0	993.0	1883.5
model.23	Sub	CPUExecutionProvider	4	711.0	177.75	173.0	212.54999999999998
model.23	Tile	CPUExecutionProvider	8	3592.0	449.0	432.0	798.2
model.23	TopK	CPUExecutionProvider	8	4672.0	584.0	582.0	672.4
model.23	Transpose	CPUExecutionProvider	4	46049.0	11512.25	11499.0	11610.75
model.23	Unsqueeze	CPUExecutionProvider	12	979.0	81.58333333333333	78.5	95.35
model.3	DequantizeLinear	CPUExecutionProvider	8	7081.0	885.125	907.5	920.5
model.3	Mul	CPUExecutionProvider	4	5718.0	1429.5	1392.5	1546.8999999999999
model.3	QLinearConv	CPUExecutionProvider	4	25385.0	6346.25	6313.0	6650.599999999999
model.3	QuantizeLinear	CPUExecutionProvider	4	3257.0	814.25	816.5	842.8
model.3	Sigmoid	CPUExecutionProvider	4	5278.0	1319.5	1317.5	1357.45
model.4	Add	CPUExecutionProvider	4	3935.0	983.75	972.5	1029.8
model.4	Concat	CPUExecutionProvider	4	5813.0	1453.25	1477.0	1531.0
model.4	DequantizeLinear	CPUExecutionProvider	48	41630.0	867.2916666666666	567.0	1808.4999999999998
model.4	Mul	CPUExecutionProvider	16	23333.0	1458.3125	1324.0	2598.25
model.4	QLinearConv	CPUExecutionProvider	16	34199.0	2137.4375	2082.5	2801.0
model.4	QuantizeLinear	CPUExecutionProvider	16	13903.0	868.9375	888.5	1269.0
model.4	Sigmoid	CPUExecutionProvider	16	19482.0	1217.625	1023.0	2379.75
model.4	Split	CPUExecutionProvider	4	2552.0	638.0	623.5	728.0
model.5	DequantizeLinear	CPUExecutionProvider	8	4102.0	512.75	522.5	582.9
model.5	Mul	CPUExecutionProvider	4	4615.0	1153.75	1168.0	1224.15
model.5	QLinearConv	CPUExecutionProvider	4	19366.0	4841.5	4875.5	4963.1
model.5	QuantizeLinear	CPUExecutionProvider	4	2427.0	606.75	582.0	689.65
model.5	Sigmoid	CPUExecutionProvider	4	2964.0	741.0	743.0	779.9
model.6	Add	CPUExecutionProvider	8	2965.0	370.625	365.0	407.7
model.6	Concat	CPUExecutionProvider	8	7204.0	900.5	856.0	1547.55
model.6	DequantizeLinear	CPUExecutionProvider	92	30819.0	334.9891304347826	294.0	641.85
model.6	Mul	CPUExecutionProvider	36	21634.0	600.9444444444445	394.0	1201.75
model.6	QLinearConv	CPUExecutionProvider	36	31620.0	878.3333333333334	867.0	1337.5
model.6	QuantizeLinear	CPUExecutionProvider	32	15465.0	483.28125	351.0	718.7499999999999
model.6	Sigmoid	CPUExecutionProvider	36	22519.0	625.5277777777778	613.0	715.25
model.6	Split	CPUExecutionProvider	4	1636.0	409.0	415.0	422.65
model.7	DequantizeLinear	CPUExecutionProvider	8	3837.0	479.625	428.5	843.25
model.7	Mul	CPUExecutionProvider	4	2839.0	709.75	713.5	818.75
model.7	QLinearConv	CPUExecutionProvider	4	10787.0	2696.75	2697.5	2801.4
model.7	QuantizeLinear	CPUExecutionProvider	4	1685.0	421.25	413.0	477.7
model.7	Sigmoid	CPUExecutionProvider	4	1727.0	431.75	423.5	454.9
model.8	Add	CPUExecutionProvider	8	1492.0	186.5	178.5	229.44999999999996
model.8	Concat	CPUExecutionProvider	8	5059.0	632.375	536.5	1340.8
model.8	DequantizeLinear	CPUExecutionProvider	92	21214.0	230.58695652173913	221.5	407.00000000000006
model.8	Mul	CPUExecutionProvider	36	11798.0	327.72222222222223	240.5	606.5
model.8	QLinearConv	CPUExecutionProvider	36	25380.0	705.0	671.0	1194.5
model.8	QuantizeLinear	CPUExecutionProvider	32	9016.0	281.75	214.5	505.59999999999997
model.8	Sigmoid	CPUExecutionProvider	36	14889.0	413.5833333333333	371.0	628.25
model.8	Split	CPUExecutionProvider	4	1297.0	324.25	295.0	438.3999999999999
model.9	Add	CPUExecutionProvider	4	2288.0	572.0	568.0	597.95
model.9	DequantizeLinear	CPUExecutionProvider	8	2577.0	322.125	306.5	402.0
model.9	Mul	CPUExecutionProvider	4	2654.0	663.5	621.5	805.7499999999999
model.9	NhwcMaxPool	CPUExecutionProvider	12	62779.0	5231.583333333333	5208.5	5310.05
model.9	QLinearConcat	CPUExecutionProvider	4	1422.0	355.5	294.5	509.6499999999999
model.9	QLinearConv	CPUExecutionProvider	8	7539.0	942.375	940.0	1320.4499999999998
model.9	QuantizeLinear	CPUExecutionProvider	4	1509.0	377.25	379.0	381.7
model.9	Sigmoid	CPUExecutionProvider	4	1731.0	432.75	411.5	486.95
