category	name	working_set	mean_us	stddev_us	gops_or_gmacs	contract_gb_per_s
memory	sequential_read	32768	36.096865	0.074641	0.907780	0.907780
memory	sequential_write	32768	2.137243	0.250963	15.331902	15.331902
memory	memcpy	32768	3.281438	0.014600	9.985865	19.971730
memory	sequential_read	524288	594.105679	0.286928	0.882483	0.882483
memory	sequential_write	524288	63.031999	5.079898	8.317807	8.317807
memory	memcpy	524288	163.839014	0.636124	3.200019	6.400039
memory	sequential_read	8388608	9736.487867	264.384546	0.861564	0.861564
memory	sequential_write	8388608	1129.347329	4.578409	7.427837	7.427837
memory	memcpy	8388608	3321.761184	8.679608	2.525350	5.050699
memory	sequential_read	33554432	38702.380800	530.693405	0.866986	0.866986
memory	sequential_write	33554432	4570.396778	15.788430	7.341689	7.341689
memory	memcpy	33554432	13300.168029	35.835694	2.522858	5.045716
layout	nchw_to_nhwc_u8	1x128x80x80	9326.987378	7.587456	0.087831	0.175662
activation	uint8_lut	819200_codes	4684.663278	69.555823	0.174868	0.349737
requant	exact_fixed_rne_u8	40x40x128	5454.582693	6.766312	0.037546	0.187732
packing	stride2_small_panel_reuse	80x80x128_to_40x40	12139.443143	9.294811	0.151836	0.303671
vmadot_microkernel	m4n16	model5_geometry:M1600N128K1152	9533.804644	96.392963	24.746637	7.819250
vmadot_microkernel	m4n24	model5_geometry:M1600N120K1152	8620.915320	9.231930	25.656672	7.572282
vmadot_microkernel	m8n16	model5_geometry:M1600N128K1152	5436.762213	8.478558	43.395240	8.287285
vmadot_microkernel	m12n16	model5_geometry:M1596N128K1152	4329.271337	2.911699	54.360135	8.116270
