case	working_set	delivery	value	unit	status
stage35_dependent	register_only	one_accumulator	3.751440	ns_per_vmadot	exact,no_sigill
stage35_independent4	register_only	four_accumulators	0.938110	ns_per_vmadot	exact,no_sigill
stage35_independent6	register_only	six_accumulators	0.625309	ns_per_vmadot	exact,no_sigill
m4n16	l1_resident:M24N48K256	packed_A_B_delivery	51.403584	GMAC/s	scalar_oracle_exact,no_sigill
m4n16	l2_resident:M120N96K512	packed_A_B_delivery	24.858630	GMAC/s	scalar_oracle_exact,no_sigill
m4n16	streaming:M600N96K1024	packed_A_B_delivery	24.783483	GMAC/s	scalar_oracle_exact,no_sigill
m4n16	model5_geometry:M1600N128K1152	packed_A_B_delivery	24.746637	GMAC/s	scalar_oracle_exact,no_sigill
m4n24	l1_resident:M24N48K256	packed_A_B_delivery	56.603737	GMAC/s	scalar_oracle_exact,no_sigill
m4n24	l2_resident:M120N96K512	packed_A_B_delivery	25.227775	GMAC/s	scalar_oracle_exact,no_sigill
m4n24	streaming:M600N96K1024	packed_A_B_delivery	26.082355	GMAC/s	scalar_oracle_exact,no_sigill
m4n24	model5_geometry:M1600N120K1152	packed_A_B_delivery	25.656672	GMAC/s	scalar_oracle_exact,no_sigill
m8n16	l1_resident:M24N48K256	packed_A_B_delivery	77.268837	GMAC/s	scalar_oracle_exact,no_sigill
m8n16	l2_resident:M120N96K512	packed_A_B_delivery	43.642658	GMAC/s	scalar_oracle_exact,no_sigill
m8n16	streaming:M600N96K1024	packed_A_B_delivery	43.889697	GMAC/s	scalar_oracle_exact,no_sigill
m8n16	model5_geometry:M1600N128K1152	packed_A_B_delivery	43.395240	GMAC/s	scalar_oracle_exact,no_sigill
m12n16	l1_resident:M24N48K256	packed_A_B_delivery	86.826544	GMAC/s	scalar_oracle_exact,no_sigill
m12n16	l2_resident:M120N96K512	packed_A_B_delivery	57.176944	GMAC/s	scalar_oracle_exact,no_sigill
m12n16	streaming:M600N96K1024	packed_A_B_delivery	56.312937	GMAC/s	scalar_oracle_exact,no_sigill
m12n16	model5_geometry:M1596N128K1152	packed_A_B_delivery	54.360135	GMAC/s	scalar_oracle_exact,no_sigill
