surface	category_id	name	instance_count	ap50_95
host_fp32_disable	1	person	11004	0.527087651897488
host_fp32_disable	2	bicycle	316	0.27493728261663036
host_fp32_disable	3	car	1932	0.3700525510784993
host_fp32_disable	4	motorcycle	371	0.42209391662733026
host_fp32_disable	5	airplane	143	0.705784023278245
host_fp32_disable	6	bus	285	0.6489296248070072
host_fp32_disable	7	train	190	0.6989975469070783
host_fp32_disable	8	truck	415	0.32754075580421343
host_fp32_disable	9	boat	430	0.2293858926655797
host_fp32_disable	10	traffic light	637	0.22396702720310874
host_fp32_disable	11	fire hydrant	101	0.6320196420156263
host_fp32_disable	13	stop sign	75	0.6319222010981558
host_fp32_disable	14	parking meter	60	0.46728447491699526
host_fp32_disable	15	bench	413	0.21964848479778712
host_fp32_disable	16	bird	440	0.3092443848085471
host_fp32_disable	17	cat	202	0.7163044202952499
host_fp32_disable	18	dog	218	0.6459259771982905
host_fp32_disable	19	horse	273	0.5726626678319139
host_fp32_disable	20	sheep	361	0.5035507355914616
host_fp32_disable	21	cow	380	0.5413488499393362
host_fp32_disable	22	elephant	255	0.672529017381567
host_fp32_disable	23	bear	71	0.7467291324028191
host_fp32_disable	24	zebra	268	0.6757211190029329
host_fp32_disable	25	giraffe	232	0.695577471050472
host_fp32_disable	27	backpack	371	0.103070794694327
host_fp32_disable	28	umbrella	413	0.38341216131194417
host_fp32_disable	31	handbag	540	0.09845299216930022
host_fp32_disable	32	tie	254	0.297540658977555
host_fp32_disable	33	suitcase	303	0.41399221902277517
host_fp32_disable	34	frisbee	115	0.5945352948410886
host_fp32_disable	35	skis	241	0.19903496928655162
host_fp32_disable	36	snowboard	69	0.3202254679007841
host_fp32_disable	37	sports ball	263	0.37531130918771993
host_fp32_disable	38	kite	336	0.4457283328494387
host_fp32_disable	39	baseball bat	146	0.2625770233878697
host_fp32_disable	40	baseball glove	148	0.333725452043822
host_fp32_disable	41	skateboard	179	0.4832471889191456
host_fp32_disable	42	surfboard	269	0.3429791499533619
host_fp32_disable	43	tennis racket	225	0.4374676641257502
host_fp32_disable	44	bottle	1025	0.31951708521248534
host_fp32_disable	46	wine glass	343	0.28690545923965616
host_fp32_disable	47	cup	899	0.36082094296248995
host_fp32_disable	48	fork	215	0.27848354192840574
host_fp32_disable	49	knife	326	0.13667779884341671
host_fp32_disable	50	spoon	253	0.11888085108240708
host_fp32_disable	51	bowl	626	0.39524072457894965
host_fp32_disable	52	banana	379	0.2651020638539976
host_fp32_disable	53	apple	239	0.1661028631299821
host_fp32_disable	54	sandwich	177	0.3542590743411235
host_fp32_disable	55	orange	287	0.29822738304503044
host_fp32_disable	56	broccoli	316	0.2322243271717199
host_fp32_disable	57	carrot	371	0.20864217575364555
host_fp32_disable	58	hot dog	127	0.3725705190813403
host_fp32_disable	59	pizza	285	0.5153479430051952
host_fp32_disable	60	donut	338	0.4850710432128422
host_fp32_disable	61	cake	316	0.38602670072821066
host_fp32_disable	62	chair	1791	0.276270257432097
host_fp32_disable	63	couch	261	0.46294766856167213
host_fp32_disable	64	potted plant	343	0.24336982003843805
host_fp32_disable	65	bed	163	0.4642051127756228
host_fp32_disable	67	dining table	697	0.3226664587570731
host_fp32_disable	70	toilet	179	0.6763133016598356
host_fp32_disable	72	tv	288	0.5629462327025525
host_fp32_disable	73	laptop	231	0.6096665850968622
host_fp32_disable	74	mouse	106	0.5370387441431332
host_fp32_disable	75	remote	283	0.21256970052740307
host_fp32_disable	76	keyboard	153	0.5125922182685292
host_fp32_disable	77	cell phone	262	0.29606724085758
host_fp32_disable	78	microwave	55	0.5729719158990203
host_fp32_disable	79	oven	143	0.3520555683083816
host_fp32_disable	80	toaster	9	0.40537181668477407
host_fp32_disable	81	sink	225	0.35405668640366955
host_fp32_disable	82	refrigerator	126	0.6146415818651018
host_fp32_disable	84	book	1161	0.12214629739145103
host_fp32_disable	85	clock	267	0.479438130469217
host_fp32_disable	86	vase	277	0.34069894645682275
host_fp32_disable	87	scissors	36	0.29536194082330136
host_fp32_disable	88	teddy bear	191	0.474296867045278
host_fp32_disable	89	hair drier	11	0.002572575150253516
host_fp32_disable	90	toothbrush	57	0.1941967495438043
host_fp32_all	1	person	11004	0.5270873282185466
host_fp32_all	2	bicycle	316	0.274937272494774
host_fp32_all	3	car	1932	0.3700525853866483
host_fp32_all	4	motorcycle	371	0.4220942931923557
host_fp32_all	5	airplane	143	0.705784023278245
host_fp32_all	6	bus	285	0.6489296026582545
host_fp32_all	7	train	190	0.6989975050232687
host_fp32_all	8	truck	415	0.3275407821245679
host_fp32_all	9	boat	430	0.2293866555973203
host_fp32_all	10	traffic light	637	0.2239677408960839
host_fp32_all	11	fire hydrant	101	0.6320196420156263
host_fp32_all	13	stop sign	75	0.6319222010981558
host_fp32_all	14	parking meter	60	0.46728447491699526
host_fp32_all	15	bench	413	0.21964852073714436
host_fp32_all	16	bird	440	0.3092444079363617
host_fp32_all	17	cat	202	0.7163044202952499
host_fp32_all	18	dog	218	0.6459259771982905
host_fp32_all	19	horse	273	0.5726626678319139
host_fp32_all	20	sheep	361	0.5035507037327532
host_fp32_all	21	cow	380	0.5413488499393362
host_fp32_all	22	elephant	255	0.672529017381567
host_fp32_all	23	bear	71	0.7467291324028191
host_fp32_all	24	zebra	268	0.6757211190029329
host_fp32_all	25	giraffe	232	0.695577471050472
host_fp32_all	27	backpack	371	0.1030709837411111
host_fp32_all	28	umbrella	413	0.3834122846400198
host_fp32_all	31	handbag	540	0.09845299682828164
host_fp32_all	32	tie	254	0.2975407493781103
host_fp32_all	33	suitcase	303	0.41399221902277517
host_fp32_all	34	frisbee	115	0.5945353294838196
host_fp32_all	35	skis	241	0.19903495902270676
host_fp32_all	36	snowboard	69	0.3202254679007841
host_fp32_all	37	sports ball	263	0.37531130918771993
host_fp32_all	38	kite	336	0.4457283328494387
host_fp32_all	39	baseball bat	146	0.2625770446136265
host_fp32_all	40	baseball glove	148	0.333725452043822
host_fp32_all	41	skateboard	179	0.4832471556145015
host_fp32_all	42	surfboard	269	0.3429791499533619
host_fp32_all	43	tennis racket	225	0.43746640097373496
host_fp32_all	44	bottle	1025	0.31951770087470993
host_fp32_all	46	wine glass	343	0.2869055107864626
host_fp32_all	47	cup	899	0.36082099090734543
host_fp32_all	48	fork	215	0.2784835470369192
host_fp32_all	49	knife	326	0.13667780093431722
host_fp32_all	50	spoon	253	0.11888084806477721
host_fp32_all	51	bowl	626	0.39524067137953667
host_fp32_all	52	banana	379	0.2651020638539976
host_fp32_all	53	apple	239	0.1661028631299821
host_fp32_all	54	sandwich	177	0.3542590743411235
host_fp32_all	55	orange	287	0.2982263108959857
host_fp32_all	56	broccoli	316	0.23222382437855668
host_fp32_all	57	carrot	371	0.2086413470091239
host_fp32_all	58	hot dog	127	0.3725705190813403
host_fp32_all	59	pizza	285	0.5153478983069032
host_fp32_all	60	donut	338	0.485071626907736
host_fp32_all	61	cake	316	0.38602548678494303
host_fp32_all	62	chair	1791	0.27627029720509944
host_fp32_all	63	couch	261	0.4629477122387759
host_fp32_all	64	potted plant	343	0.2433698916012202
host_fp32_all	65	bed	163	0.4642051127756228
host_fp32_all	67	dining table	697	0.3226664519950748
host_fp32_all	70	toilet	179	0.6763133016598356
host_fp32_all	72	tv	288	0.5629462755863671
host_fp32_all	73	laptop	231	0.6096665850968622
host_fp32_all	74	mouse	106	0.5370387441431332
host_fp32_all	75	remote	283	0.21256970052740307
host_fp32_all	76	keyboard	153	0.5125922402943163
host_fp32_all	77	cell phone	262	0.2960670966021525
host_fp32_all	78	microwave	55	0.5729719158990203
host_fp32_all	79	oven	143	0.3520555683083816
host_fp32_all	80	toaster	9	0.40537181668477407
host_fp32_all	81	sink	225	0.35405706753046723
host_fp32_all	82	refrigerator	126	0.6146415818651018
host_fp32_all	84	book	1161	0.1221471518627318
host_fp32_all	85	clock	267	0.479438130469217
host_fp32_all	86	vase	277	0.34069894645682275
host_fp32_all	87	scissors	36	0.2953619644097589
host_fp32_all	88	teddy bear	191	0.4742962211860967
host_fp32_all	89	hair drier	11	0.002572575150253516
host_fp32_all	90	toothbrush	57	0.1941967495438043
host_int8_disable	1	person	11004	0.5012125508142747
host_int8_disable	2	bicycle	316	0.24504297856810153
host_int8_disable	3	car	1932	0.34223037413985435
host_int8_disable	4	motorcycle	371	0.401808235991207
host_int8_disable	5	airplane	143	0.6581777235278021
host_int8_disable	6	bus	285	0.6215632682639249
host_int8_disable	7	train	190	0.6674776998438345
host_int8_disable	8	truck	415	0.2878898566990843
host_int8_disable	9	boat	430	0.20600145887348845
host_int8_disable	10	traffic light	637	0.2060348716387706
host_int8_disable	11	fire hydrant	101	0.6199928821510853
host_int8_disable	13	stop sign	75	0.6088097271282294
host_int8_disable	14	parking meter	60	0.44185898168461263
host_int8_disable	15	bench	413	0.19195145948624825
host_int8_disable	16	bird	440	0.2834613343764765
host_int8_disable	17	cat	202	0.6725766342457162
host_int8_disable	18	dog	218	0.6192197590600583
host_int8_disable	19	horse	273	0.551143730729179
host_int8_disable	20	sheep	361	0.46946637571115035
host_int8_disable	21	cow	380	0.49891064727904577
host_int8_disable	22	elephant	255	0.6145597746034753
host_int8_disable	23	bear	71	0.7404247575477239
host_int8_disable	24	zebra	268	0.6433636012061189
host_int8_disable	25	giraffe	232	0.673803775416735
host_int8_disable	27	backpack	371	0.09370029311739153
host_int8_disable	28	umbrella	413	0.35244375999236593
host_int8_disable	31	handbag	540	0.08796692769432682
host_int8_disable	32	tie	254	0.2836022659446092
host_int8_disable	33	suitcase	303	0.3898273201707735
host_int8_disable	34	frisbee	115	0.5842839168069336
host_int8_disable	35	skis	241	0.16691682852964057
host_int8_disable	36	snowboard	69	0.2696774907179561
host_int8_disable	37	sports ball	263	0.35567227553750785
host_int8_disable	38	kite	336	0.40782817599754173
host_int8_disable	39	baseball bat	146	0.24577036740321465
host_int8_disable	40	baseball glove	148	0.31481257846954286
host_int8_disable	41	skateboard	179	0.462680116197774
host_int8_disable	42	surfboard	269	0.3082972069815248
host_int8_disable	43	tennis racket	225	0.4041873672870138
host_int8_disable	44	bottle	1025	0.2950193933101005
host_int8_disable	46	wine glass	343	0.26925232627533235
host_int8_disable	47	cup	899	0.333060562317765
