logical_id	path	sha256	quantization	output	status
manual_e2e_rep_conv_matmul_qdq	.deps/models/yolo26/int8_rt204_forensics/manual_ort/manual_e2e_rep_conv_matmul_qdq.onnx	30a94e4738606673b5e0a73499cbc977167f046f8fa8637d6040ce744f429c0c	QDQ static	1x300x6	CPU-good primary
manual_e2e_small_conv_matmul_qdq	.deps/models/yolo26/int8_rt204_forensics/manual_ort/manual_e2e_small_conv_matmul_qdq.onnx	e11f63609f6112d4faad9e573af24b2d63f5f7135221d5c730d7bd745521d77d	QDQ static	1x300x6	CPU-good small calibration
manual_trad_rep_conv_matmul_qdq	.deps/models/yolo26/int8_rt204_forensics/manual_ort/manual_trad_rep_conv_matmul_qdq.onnx	c612fcbf5ce453198f75109d1907825a6d995a846bc0b5952f1b451323b14ca8	QDQ static	1x84x8400	CPU-good traditional
manual_trad_rep_conv_only_qdq	.deps/models/yolo26/int8_rt204_forensics/manual_ort/manual_trad_rep_conv_only_qdq.onnx	8ee866e0b0612ce8bf0d3fa18feea3fda06a7b73b0b3305238a929c54483e0af	QDQ static	1x84x8400	CPU-good traditional
manual_e2e_rep_conv_only_qdq	.deps/models/yolo26/int8_rt204_forensics/manual_ort/manual_e2e_rep_conv_only_qdq.onnx	535947b2ea4d03aa33af2a0f18759405bad9aaa6994bb729b23e715545f4cc8f	QDQ static	1x300x6	negative control: blank false positive
stripped_kernel_shape	/data/ncnn-logs/ort-logs/2026-06-30_06-12-26/models/e2e_qdq_rep_conv_matmul_strip_kernel_shape.onnx	4af28ee778979b2598994eabfaa52c1bbac68ceae64fbe0635c574d35c233848	QDQ diagnostic	1x300x6	bypasses first blocker only
e2e_qoperator_rep_conv_matmul	/data/ncnn-logs/ort-logs/2026-06-30_06-12-26/artifacts/board_stage/models/e2e_qoperator_rep_conv_matmul.onnx	aa657776ad24dae00834e8f457d6fb648934f2a97534979bf82ed33aef1f6f81	QOperator	1x300x6	diagnostic; RT205 EP SIGILL
trad_qoperator_rep_conv_matmul	/data/ncnn-logs/ort-logs/2026-06-30_06-12-26/artifacts/board_stage/models/trad_qoperator_rep_conv_matmul.onnx	a56147084e0fbdbedf9516734c02ebf958808b83d33bba072f92ee230c65288f	QOperator	1x84x8400	diagnostic only
e2e_rep_default	.deps/models/yolo26/int8_rt204_forensics/e2e_rep_default/e2e_rep_default.onnx	9367b4ba9c950b8d5100c1bc73914292e98af51651c5bf3d2d4458c9a742351e	exporter static	1x300x6	negative control: CPU-bad
traditional_rep_default	.deps/models/yolo26/int8_rt204_forensics/traditional_rep_default/traditional_rep_default.onnx	4ea9ef008ed1e9672b80545a588603dff8693928c240ec1e1864935a5cbd298c	exporter static	1x84x8400	negative control: CPU-bad
e2e_xslim_dynq	.deps/models/yolo26/xslim_gate/dynamic/e2e_xslim_dynq.onnx	ae220ace468dcae3555a4f60fa051ae2ea2d560780bd3f2dd959d4670225cb3c	weight-dequantized diagnostic	1x300x6	CPU-good; not static activation INT8
traditional_xslim_dynq	.deps/models/yolo26/xslim_gate/dynamic/traditional_xslim_dynq.onnx	fda140f340acc0ee1ee5517ca63e80410497f5e80e760f890b83642d4c7822ef	weight-dequantized diagnostic	1x84x8400	CPU-good; not static activation INT8
traditional_xslim_minmax_static	historical artifact not retained locally	d497215700ffa65e296731cc4e9cab2d624a4378ce344dece6dcae54bb367f04	QDQ static	1x84x8400	negative control: all class scores zero
traditional_xslim_percentile_static	historical artifact not retained locally	0fb95ea9811d9a4d449c4e114b80ab77541a6d1c58cd18d6fe511dd22822b9c9	QDQ static	1x84x8400	negative control: all class scores zero
