graph_index	node_name	block	shape_class	macs	mapping_case_id	mapping_rate_gmacs	central_us	conservative_us	evidence
255	/model.0/conv/Conv	model.0	3x3_stride2	44236800	0	0.794022	55712.310238	55781.981682	fullshape_integrated_m12n16_w4
262	/model.1/conv/Conv	model.1	3x3_stride2	117964800	1	4.791149	24621.400837	24655.312843	fullshape_integrated_m12n16_w4
269	/model.2/cv1/conv/Conv	model.2	1x1_high_resolution	26214400	2	2.966017	8838.250084	8845.791361	fullshape_integrated_m12n16_w4
277	/model.2/m.0/cv1/conv/Conv	model.2	small_n_head_conv	29491200	8	0.240191	122782.285764	126903.644352	fullshape_integrated_m12n16_w4
284	/model.2/m.0/cv2/conv/Conv	model.2	3x3_stride1	29491200	3	1.406489	20967.956379	21003.241746	fullshape_integrated_m12n16_w4
293	/model.2/cv2/conv/Conv	model.2	1x1_high_resolution	78643200	2	2.966017	26514.750253	26537.374082	fullshape_integrated_m12n16_w4
300	/model.3/conv/Conv	model.3	3x3_stride2	235929600	1	4.791149	49242.801675	49310.625686	fullshape_integrated_m12n16_w4
307	/model.4/cv1/conv/Conv	model.4	1x1_high_resolution	26214400	2	2.966017	8838.250084	8845.791361	fullshape_integrated_m12n16_w4
315	/model.4/m.0/cv1/conv/Conv	model.4	3x3_stride1	29491200	3	1.406489	20967.956379	21003.241746	fullshape_integrated_m12n16_w4
322	/model.4/m.0/cv2/conv/Conv	model.4	3x3_stride1	29491200	3	1.406489	20967.956379	21003.241746	fullshape_integrated_m12n16_w4
331	/model.4/cv2/conv/Conv	model.4	1x1_high_resolution	78643200	2	2.966017	26514.750253	26537.374082	fullshape_integrated_m12n16_w4
338	/model.5/conv/Conv	model.5	3x3_stride2	235929600	4	8.940790	26388.003745	26679.101458	fullshape_integrated_m12n16_w4
345	/model.6/cv1/conv/Conv	model.6	1x1_low_resolution	26214400	7	2.980455	8795.435596	9073.021288	fullshape_integrated_m12n16_w4
353	/model.6/m.0/cv1/conv/Conv	model.6	1x1_low_resolution	3276800	7	2.980455	1099.429450	1134.127661	fullshape_integrated_m12n16_w4
354	/model.6/m.0/cv2/conv/Conv	model.6	1x1_low_resolution	3276800	7	2.980455	1099.429450	1134.127661	fullshape_integrated_m12n16_w4
365	/model.6/m.0/m/m.0/cv1/conv/Conv	model.6	3x3_stride1	14745600	3	1.406489	10483.978190	10501.620873	fullshape_integrated_m12n16_w4
372	/model.6/m.0/m/m.0/cv2/conv/Conv	model.6	3x3_stride1	14745600	3	1.406489	10483.978190	10501.620873	fullshape_integrated_m12n16_w4
380	/model.6/m.0/m/m.1/cv1/conv/Conv	model.6	3x3_stride1	14745600	3	1.406489	10483.978190	10501.620873	fullshape_integrated_m12n16_w4
387	/model.6/m.0/m/m.1/cv2/conv/Conv	model.6	3x3_stride1	14745600	3	1.406489	10483.978190	10501.620873	fullshape_integrated_m12n16_w4
396	/model.6/m.0/cv3/conv/Conv	model.6	1x1_low_resolution	6553600	7	2.980455	2198.858899	2268.255322	fullshape_integrated_m12n16_w4
404	/model.6/cv2/conv/Conv	model.6	1x1_low_resolution	39321600	7	2.980455	13193.153394	13609.531932	fullshape_integrated_m12n16_w4
411	/model.7/conv/Conv	model.7	3x3_stride2	117964800	5	13.351728	8835.170998	8896.885732	fullshape_integrated_m12n16_w4
418	/model.8/cv1/conv/Conv	model.8	1x1_low_resolution	26214400	6	8.341684	3142.578885	3199.802463	fullshape_integrated_m12n16_w4
426	/model.8/m.0/cv1/conv/Conv	model.8	1x1_low_resolution	3276800	7	2.980455	1099.429450	1134.127661	fullshape_integrated_m12n16_w4
427	/model.8/m.0/cv2/conv/Conv	model.8	1x1_low_resolution	3276800	7	2.980455	1099.429450	1134.127661	fullshape_integrated_m12n16_w4
438	/model.8/m.0/m/m.0/cv1/conv/Conv	model.8	3x3_stride1	14745600	3	1.406489	10483.978190	10501.620873	fullshape_integrated_m12n16_w4
445	/model.8/m.0/m/m.0/cv2/conv/Conv	model.8	3x3_stride1	14745600	3	1.406489	10483.978190	10501.620873	fullshape_integrated_m12n16_w4
453	/model.8/m.0/m/m.1/cv1/conv/Conv	model.8	3x3_stride1	14745600	3	1.406489	10483.978190	10501.620873	fullshape_integrated_m12n16_w4
460	/model.8/m.0/m/m.1/cv2/conv/Conv	model.8	3x3_stride1	14745600	3	1.406489	10483.978190	10501.620873	fullshape_integrated_m12n16_w4
469	/model.8/m.0/cv3/conv/Conv	model.8	1x1_low_resolution	6553600	7	2.980455	2198.858899	2268.255322	fullshape_integrated_m12n16_w4
477	/model.8/cv2/conv/Conv	model.8	1x1_low_resolution	39321600	6	8.341684	4713.868327	4799.703694	fullshape_integrated_m12n16_w4
484	/model.9/cv1/conv/Conv	model.9	1x1_low_resolution	13107200	7	2.980455	4397.717798	4536.510644	fullshape_integrated_m12n16_w4
493	/model.9/cv2/conv/Conv	model.9	1x1_low_resolution	52428800	6	8.341684	6285.157769	6399.604925	fullshape_integrated_m12n16_w4
501	/model.10/cv1/conv/Conv	model.10	1x1_low_resolution	26214400	6	8.341684	3142.578885	3199.802463	fullshape_integrated_m12n16_w4
509	/model.10/m/m.0/attn/qkv/conv/Conv	model.10	1x1_low_resolution	13107200	7	2.980455	4397.717798	4536.510644	fullshape_integrated_m12n16_w4
522	/model.10/m/m.0/attn/MatMul	model.10	matmul_attention	10240000	-1	1.500000	6826.666667	10240.000000	conservative_unsupported_fallback
527	/model.10/m/m.0/attn/pe/conv/Conv	model.10	grouped_or_depthwise_conv	460800	-1	0.500000	921.600000	1382.400000	conservative_unsupported_fallback
535	/model.10/m/m.0/attn/MatMul_1	model.10	matmul_attention	20480000	-1	1.500000	13653.333333	20480.000000	conservative_unsupported_fallback
542	/model.10/m/m.0/attn/proj/conv/Conv	model.10	1x1_low_resolution	6553600	7	2.980455	2198.858899	2268.255322	fullshape_integrated_m12n16_w4
548	/model.10/m/m.0/ffn/ffn.0/conv/Conv	model.10	1x1_low_resolution	13107200	7	2.980455	4397.717798	4536.510644	fullshape_integrated_m12n16_w4
555	/model.10/m/m.0/ffn/ffn.1/conv/Conv	model.10	1x1_low_resolution	13107200	7	2.980455	4397.717798	4536.510644	fullshape_integrated_m12n16_w4
562	/model.10/cv2/conv/Conv	model.10	1x1_low_resolution	26214400	6	8.341684	3142.578885	3199.802463	fullshape_integrated_m12n16_w4
571	/model.13/cv1/conv/Conv	model.13	1x1_low_resolution	78643200	6	8.341684	9427.736654	9599.407388	fullshape_integrated_m12n16_w4
579	/model.13/m.0/cv1/conv/Conv	model.13	1x1_low_resolution	3276800	7	2.980455	1099.429450	1134.127661	fullshape_integrated_m12n16_w4
580	/model.13/m.0/cv2/conv/Conv	model.13	1x1_low_resolution	3276800	7	2.980455	1099.429450	1134.127661	fullshape_integrated_m12n16_w4
591	/model.13/m.0/m/m.0/cv1/conv/Conv	model.13	3x3_stride1	14745600	3	1.406489	10483.978190	10501.620873	fullshape_integrated_m12n16_w4
598	/model.13/m.0/m/m.0/cv2/conv/Conv	model.13	3x3_stride1	14745600	3	1.406489	10483.978190	10501.620873	fullshape_integrated_m12n16_w4
606	/model.13/m.0/m/m.1/cv1/conv/Conv	model.13	3x3_stride1	14745600	3	1.406489	10483.978190	10501.620873	fullshape_integrated_m12n16_w4
613	/model.13/m.0/m/m.1/cv2/conv/Conv	model.13	3x3_stride1	14745600	3	1.406489	10483.978190	10501.620873	fullshape_integrated_m12n16_w4
622	/model.13/m.0/cv3/conv/Conv	model.13	1x1_low_resolution	6553600	7	2.980455	2198.858899	2268.255322	fullshape_integrated_m12n16_w4
