attempt	accepted	case_id	node_name	kernel	partition	workers	repeat	mean_us
stable_sequential_matrix	1	4	/model.5/conv/Conv	m4n16	spatial	1	0	104688.925020
stable_sequential_matrix	1	4	/model.5/conv/Conv	m4n16	spatial	1	1	104690.519340
stable_sequential_matrix	1	4	/model.5/conv/Conv	m4n16	spatial	1	2	104762.131070
stable_sequential_matrix	1	4	/model.5/conv/Conv	m4n16	spatial	1	3	104710.774440
stable_sequential_matrix	1	4	/model.5/conv/Conv	m4n16	spatial	1	4	104761.366660
stable_sequential_matrix	1	4	/model.5/conv/Conv	m8n16	spatial	1	0	98255.626780
stable_sequential_matrix	1	4	/model.5/conv/Conv	m8n16	spatial	1	1	98191.610820
stable_sequential_matrix	1	4	/model.5/conv/Conv	m8n16	spatial	1	2	99776.309940
stable_sequential_matrix	1	4	/model.5/conv/Conv	m8n16	spatial	1	3	98256.965280
stable_sequential_matrix	1	4	/model.5/conv/Conv	m8n16	spatial	1	4	98258.664880
stable_sequential_matrix	1	4	/model.5/conv/Conv	m12n16	spatial	1	0	96000.095870
stable_sequential_matrix	1	4	/model.5/conv/Conv	m12n16	spatial	1	1	95925.572970
stable_sequential_matrix	1	4	/model.5/conv/Conv	m12n16	spatial	1	2	95934.030510
stable_sequential_matrix	1	4	/model.5/conv/Conv	m12n16	spatial	1	3	95936.413790
stable_sequential_matrix	1	4	/model.5/conv/Conv	m12n16	spatial	1	4	95920.552290
stable_sequential_matrix	1	4	/model.5/conv/Conv	m12n16	spatial	2	0	48959.776910
stable_sequential_matrix	1	4	/model.5/conv/Conv	m12n16	spatial	2	1	49014.150670
stable_sequential_matrix	1	4	/model.5/conv/Conv	m12n16	spatial	2	2	48771.684150
stable_sequential_matrix	1	4	/model.5/conv/Conv	m12n16	spatial	2	3	48861.946470
stable_sequential_matrix	1	4	/model.5/conv/Conv	m12n16	spatial	2	4	48785.357260
stable_sequential_matrix	1	4	/model.5/conv/Conv	m12n16	spatial	3	0	33958.048650
stable_sequential_matrix	1	4	/model.5/conv/Conv	m12n16	spatial	3	1	34022.458660
stable_sequential_matrix	1	4	/model.5/conv/Conv	m12n16	spatial	3	2	34146.302400
stable_sequential_matrix	1	4	/model.5/conv/Conv	m12n16	spatial	3	3	34244.244290
stable_sequential_matrix	1	4	/model.5/conv/Conv	m12n16	spatial	3	4	34143.096950
stable_sequential_matrix	1	4	/model.5/conv/Conv	m12n16	spatial	4	0	26763.594720
stable_sequential_matrix	1	4	/model.5/conv/Conv	m12n16	spatial	4	1	26341.128410
stable_sequential_matrix	1	4	/model.5/conv/Conv	m12n16	spatial	4	2	26272.373200
stable_sequential_matrix	1	4	/model.5/conv/Conv	m12n16	spatial	4	3	26242.021980
stable_sequential_matrix	1	4	/model.5/conv/Conv	m12n16	spatial	4	4	26320.906910
stable_selected_all_cases	1	0	/model.0/conv/Conv	m12n16	spatial	4	0	55700.073250
stable_selected_all_cases	1	0	/model.0/conv/Conv	m12n16	spatial	4	1	55694.493390
stable_selected_all_cases	1	0	/model.0/conv/Conv	m12n16	spatial	4	2	55683.967250
stable_selected_all_cases	1	0	/model.0/conv/Conv	m12n16	spatial	4	3	55680.604880
stable_selected_all_cases	1	0	/model.0/conv/Conv	m12n16	spatial	4	4	55802.458790
stable_selected_all_cases	1	1	/model.3/conv/Conv	m12n16	spatial	4	0	49328.843160
stable_selected_all_cases	1	1	/model.3/conv/Conv	m12n16	spatial	4	1	49237.755790
stable_selected_all_cases	1	1	/model.3/conv/Conv	m12n16	spatial	4	2	49229.209400
stable_selected_all_cases	1	1	/model.3/conv/Conv	m12n16	spatial	4	3	49219.357150
stable_selected_all_cases	1	1	/model.3/conv/Conv	m12n16	spatial	4	4	49198.833150
stable_selected_all_cases	1	2	/model.4/cv2/conv/Conv	m12n16	spatial	4	0	26509.730350
stable_selected_all_cases	1	2	/model.4/cv2/conv/Conv	m12n16	spatial	4	1	26520.768130
stable_selected_all_cases	1	2	/model.4/cv2/conv/Conv	m12n16	spatial	4	2	26504.145310
stable_selected_all_cases	1	2	/model.4/cv2/conv/Conv	m12n16	spatial	4	3	26497.594220
stable_selected_all_cases	1	2	/model.4/cv2/conv/Conv	m12n16	spatial	4	4	26541.525570
stable_selected_all_cases	1	3	/model.4/m.0/cv1/conv/Conv	m12n16	spatial	4	0	20970.579580
stable_selected_all_cases	1	3	/model.4/m.0/cv1/conv/Conv	m12n16	spatial	4	1	20917.067670
stable_selected_all_cases	1	3	/model.4/m.0/cv1/conv/Conv	m12n16	spatial	4	2	20988.956210
stable_selected_all_cases	1	3	/model.4/m.0/cv1/conv/Conv	m12n16	spatial	4	3	21006.813130
stable_selected_all_cases	1	3	/model.4/m.0/cv1/conv/Conv	m12n16	spatial	4	4	20956.364990
stable_selected_all_cases	1	5	/model.7/conv/Conv	m12n16	spatial	4	0	8827.637910
stable_selected_all_cases	1	5	/model.7/conv/Conv	m12n16	spatial	4	1	8770.527950
stable_selected_all_cases	1	5	/model.7/conv/Conv	m12n16	spatial	4	2	8798.079000
stable_selected_all_cases	1	5	/model.7/conv/Conv	m12n16	spatial	4	3	8878.004580
stable_selected_all_cases	1	5	/model.7/conv/Conv	m12n16	spatial	4	4	8901.606020
stable_selected_all_cases	1	6	/model.8/cv2/conv/Conv	m12n16	spatial	4	0	4731.481870
stable_selected_all_cases	1	6	/model.8/cv2/conv/Conv	m12n16	spatial	4	1	4676.560240
stable_selected_all_cases	1	6	/model.8/cv2/conv/Conv	m12n16	spatial	4	2	4641.095410
stable_selected_all_cases	1	6	/model.8/cv2/conv/Conv	m12n16	spatial	4	3	4816.759150
stable_selected_all_cases	1	6	/model.8/cv2/conv/Conv	m12n16	spatial	4	4	4703.443780
stable_selected_all_cases	1	7	/model.10/m/m.0/attn/proj/conv/Conv	m12n16	spatial	4	0	2177.256090
stable_selected_all_cases	1	7	/model.10/m/m.0/attn/proj/conv/Conv	m12n16	spatial	4	1	2101.635150
stable_selected_all_cases	1	7	/model.10/m/m.0/attn/proj/conv/Conv	m12n16	spatial	4	2	2197.525410
stable_selected_all_cases	1	7	/model.10/m/m.0/attn/proj/conv/Conv	m12n16	spatial	4	3	2243.412810
stable_selected_all_cases	1	7	/model.10/m/m.0/attn/proj/conv/Conv	m12n16	spatial	4	4	2274.465950
stable_selected_all_cases	1	8	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	m12n16	spatial	4	0	1627.661410
stable_selected_all_cases	1	8	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	m12n16	spatial	4	1	1667.009610
stable_selected_all_cases	1	8	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	m12n16	spatial	4	2	1769.276580
stable_selected_all_cases	1	8	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	m12n16	spatial	4	3	1726.966270
stable_selected_all_cases	1	8	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	m12n16	spatial	4	4	1735.646760
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m4n16	spatial	1	0	104821.679220
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m4n16	spatial	1	1	104768.381140
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m4n16	spatial	1	2	129734.491160
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m4n16	spatial	1	3	216865.937660
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m4n16	spatial	1	4	308052.025760
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m8n16	spatial	1	0	201601.309800
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m8n16	spatial	1	1	267319.155170
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m8n16	spatial	1	2	277250.301150
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m8n16	spatial	1	3	320165.779770
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m8n16	spatial	1	4	402644.325110
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m12n16	spatial	1	0	280539.235690
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m12n16	spatial	1	1	277827.652010
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m12n16	spatial	1	2	349151.046780
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m12n16	spatial	1	3	364231.212110
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m12n16	spatial	1	4	218069.828200
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m12n16	spatial	2	0	181133.896910
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m12n16	spatial	2	1	200419.741870
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m12n16	spatial	2	2	228662.683980
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m12n16	spatial	2	3	265790.167560
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m12n16	spatial	2	4	205572.959520
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m12n16	spatial	3	0	172968.509030
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m12n16	spatial	3	1	184685.896370
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m12n16	spatial	3	2	204483.084730
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m12n16	spatial	3	3	161418.299210
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m12n16	spatial	3	4	136746.064860
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m12n16	spatial	4	0	167487.672330
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m12n16	spatial	4	1	154955.221150
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m12n16	spatial	4	2	134746.034040
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m12n16	spatial	4	3	107195.574210
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m12n16	spatial	4	4	47536.566970
