attempt	accepted	case_id	node_name	kernel	partition	workers	warmup	runs	repeats	macs	mean_us	stddev_us	cv_pct	min_us	max_us	median_us	p90_us	p95_us	gmacs	output_hash64
stable_sequential_matrix	1	4	/model.5/conv/Conv	m4n16	spatial	1	10	100	5	235929600	104722.743306	36.634934	0.034983	104688.92502	104762.13107	104710.77444	104761.825306	104761.978188	2.252897	1703464279416315319
stable_sequential_matrix	1	4	/model.5/conv/Conv	m8n16	spatial	1	10	100	5	235929600	98547.83554	687.323894	0.697452	98191.61082	99776.30994	98256.96528	99169.251916	99472.780928	2.394062	1703464279416315319
stable_sequential_matrix	1	4	/model.5/conv/Conv	m12n16	spatial	1	10	100	5	235929600	95943.333086	32.368251	0.033737	95920.55229	96000.09587	95934.03051	95974.623038	95987.359454	2.459052	1703464279416315319
stable_sequential_matrix	1	4	/model.5/conv/Conv	m12n16	spatial	2	10	100	5	235929600	48878.583092	106.496738	0.21788	48771.68415	49014.15067	48861.94647	48992.401166	49003.275918	4.82685	1703464279416315319
stable_sequential_matrix	1	4	/model.5/conv/Conv	m12n16	spatial	3	10	100	5	235929600	34102.83019	112.8389	0.330878	33958.04865	34244.24429	34143.09695	34205.067534	34224.655912	6.918182	1703464279416315319
stable_sequential_matrix	1	4	/model.5/conv/Conv	m12n16	spatial	4	10	100	5	235929600	26388.005044	213.570223	0.809346	26242.02198	26763.59472	26320.90691	26594.608196	26679.101458	8.94079	1703464279416315319
stable_selected_all_cases	1	0	/model.0/conv/Conv	m12n16	spatial	4	10	100	5	44236800	55712.319512	50.996323	0.091535	55680.60488	55802.45879	55694.49339	55761.504574	55781.981682	0.794022	14060552444302092181
stable_selected_all_cases	1	1	/model.3/conv/Conv	m12n16	spatial	4	10	100	5	235929600	49242.79973	50.239986	0.102025	49198.83315	49328.84316	49229.2094	49292.408212	49310.625686	4.791149	14853414867085781526
stable_selected_all_cases	1	2	/model.4/cv2/conv/Conv	m12n16	spatial	4	10	100	5	78643200	26514.752716	17.21283	0.064918	26497.59422	26541.52557	26509.73035	26533.222594	26537.374082	2.966017	2981063448384576592
stable_selected_all_cases	1	3	/model.4/m.0/cv1/conv/Conv	m12n16	spatial	4	10	100	5	29491200	20967.956316	34.211629	0.163161	20917.06767	21006.81313	20970.57958	20999.670362	21003.241746	1.406489	11456988478603674294
stable_selected_all_cases	1	5	/model.7/conv/Conv	m12n16	spatial	4	10	100	5	117964800	8835.171092	54.45093	0.616297	8770.52795	8901.60602	8827.63791	8892.165444	8896.885732	13.351728	15349920797474686554
stable_selected_all_cases	1	6	/model.8/cv2/conv/Conv	m12n16	spatial	4	10	100	5	39321600	4713.86809	66.507932	1.410899	4641.09541	4816.75915	4703.44378	4782.648238	4799.703694	8.341684	6409009503362192772
stable_selected_all_cases	1	7	/model.10/m/m.0/attn/proj/conv/Conv	m12n16	spatial	4	10	100	5	6553600	2198.859082	66.374683	3.018596	2101.63515	2274.46595	2197.52541	2262.044694	2268.255322	2.980455	5201552735590620777
stable_selected_all_cases	1	8	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	m12n16	spatial	4	10	100	5	409600	1705.312126	56.958888	3.340086	1627.66141	1769.27658	1726.96627	1755.824652	1762.550616	0.240191	10844669985296200676
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m4n16	spatial	1	10	100	5	235929600	172848.502988	88513.977546	51.208993	104768.38114	308052.02576	129734.49116	271577.59052	289814.80814	1.36495	1703464279416315319
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m8n16	spatial	1	10	100	5	235929600	293796.1742	74192.262952	25.252971	201601.3098	402644.32511	277250.30115	369652.906974	386148.616042	0.803038	1703464279416315319
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m12n16	spatial	1	10	100	5	235929600	297963.794958	59379.354089	19.928379	218069.8282	364231.21211	280539.23569	358199.145978	361215.179044	0.791806	1703464279416315319
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m12n16	spatial	2	10	100	5	235929600	216315.889968	32426.910815	14.990536	181133.89691	265790.16756	205572.95952	250939.174128	258364.670844	1.090672	1703464279416315319
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m12n16	spatial	3	10	100	5	235929600	172060.37084	25356.532104	14.736997	136746.06486	204483.08473	172968.50903	196564.209386	200523.647058	1.371202	1703464279416315319
invalid_concurrent_batch	0	4	/model.5/conv/Conv	m12n16	spatial	4	10	100	5	235929600	122384.21374	47646.80498	38.932149	47536.56697	167487.67233	134746.03404	162474.691858	164981.182094	1.927778	1703464279416315319
