fixture	fixture_kind	tensor_id	tensor_name	status	mismatches	max_abs_diff	custom_hash64	affinity_ok	first_mismatch_index	first_actual	first_expected
F0	accepted_synthetic_seeded	1	/model.4/cv2/act/Mul_output_0_QuantizeLinear_Output	0	0	0	15695815927133978737	1	819200	-1	-1
F0	accepted_synthetic_seeded	2	/model.5/act/Mul_output_0_QuantizeLinear_Output	0	0	0	18011915501461242695	1	204800	-1	-1
F0	accepted_synthetic_seeded	4	/model.6/Split_output_1_QuantizeLinear_Output	0	0	0	16162582884974176156	1	102400	-1	-1
F0	accepted_synthetic_seeded	5	/model.6/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	0	0	6755185877937727431	1	51200	-1	-1
F0	accepted_synthetic_seeded	7	/model.6/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	0	0	6771266519830730024	1	51200	-1	-1
F0	accepted_synthetic_seeded	8	/model.6/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	0	0	14641968964871008947	1	51200	-1	-1
F0	accepted_synthetic_seeded	9	/model.6/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	0	0	0	10046712319865664454	1	51200	-1	-1
F0	accepted_synthetic_seeded	10	/model.6/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	0	0	0	430862946934390287	1	51200	-1	-1
F0	accepted_synthetic_seeded	11	/model.6/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	0	0	2131203738734352166	1	51200	-1	-1
F0	accepted_synthetic_seeded	13	/model.6/m.0/Concat_output_0_QuantizeLinear_Output	0	0	0	14402827673635037676	1	102400	-1	-1
F0	accepted_synthetic_seeded	15	/model.6/Concat_output_0_QuantizeLinear_Output	0	1	2	9372229681467480557	1	255904	19	21
F0	accepted_synthetic_seeded	16	/model.6/cv2/act/Mul_output_0_QuantizeLinear_Output	0	7	2	2826226217019490210	1	47904	7	6
F0	accepted_synthetic_seeded	17	/model.7/act/Mul_output_0_QuantizeLinear_Output	0	14	3	18283042044203640144	1	372	1	2
F0	accepted_synthetic_seeded	19	/model.8/Split_output_1_QuantizeLinear_Output	0	12	2	4519385963277361222	1	3192	7	8
F0	accepted_synthetic_seeded	20	/model.8/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	17	3	15436872068439672565	1	372	6	5
F0	accepted_synthetic_seeded	22	/model.8/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	67	2	13315361567719980976	1	1193	3	4
F0	accepted_synthetic_seeded	23	/model.8/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	259	2	3616025762798092064	1	331	119	120
F0	accepted_synthetic_seeded	24	/model.8/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	0	177	3	8434199682725976679	1	331	12	13
F0	accepted_synthetic_seeded	25	/model.8/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	0	222	2	5778234485228117832	1	312	3	4
F0	accepted_synthetic_seeded	26	/model.8/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	742	2	3907543707789042753	1	329	140	139
F0	accepted_synthetic_seeded	28	/model.8/m.0/Concat_output_0_QuantizeLinear_Output	0	728	3	12227941235375072531	1	329	19	18
F0	accepted_synthetic_seeded	30	/model.8/Concat_output_0_QuantizeLinear_Output	0	1257	3	18399046553906618031	1	392	21	22
F0	accepted_synthetic_seeded	31	/model.8/cv2/act/Mul_output_0_QuantizeLinear_Output	0	2271	5	11089103797845640191	1	311	38	40
F1	random_4301	1	/model.4/cv2/act/Mul_output_0_QuantizeLinear_Output	0	0	0	3517377908505741402	1	819200	-1	-1
F1	random_4301	2	/model.5/act/Mul_output_0_QuantizeLinear_Output	0	0	0	3641476703783611782	1	204800	-1	-1
F1	random_4301	4	/model.6/Split_output_1_QuantizeLinear_Output	0	0	0	16586237634372214591	1	102400	-1	-1
F1	random_4301	5	/model.6/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	0	0	11344696417507200858	1	51200	-1	-1
F1	random_4301	7	/model.6/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	0	0	41174609491126278	1	51200	-1	-1
F1	random_4301	8	/model.6/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	0	0	17860779504195501031	1	51200	-1	-1
F1	random_4301	9	/model.6/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	0	0	0	1774060945334710294	1	51200	-1	-1
F1	random_4301	10	/model.6/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	0	0	0	12385615047284124592	1	51200	-1	-1
F1	random_4301	11	/model.6/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	0	0	15322222651903175955	1	51200	-1	-1
F1	random_4301	13	/model.6/m.0/Concat_output_0_QuantizeLinear_Output	0	0	0	283024979663031946	1	102400	-1	-1
F1	random_4301	15	/model.6/Concat_output_0_QuantizeLinear_Output	0	2	2	6112776828709157742	1	42277	97	95
F1	random_4301	16	/model.6/cv2/act/Mul_output_0_QuantizeLinear_Output	0	8	3	16857075674986243783	1	4596	161	158
