kernel	partition	workers	runs	repeats	mean_us	stddev_us	sample_cv_pct	min_us	max_us	median_us	p90_us	p95_us	process_cpu_mean_us	gmacs	repeat_mean_stddev_us	repeat_mean_cv_pct	mismatches	affinity_ok	raw_per_run_path
m12n16	output_channel	1	100	5	22652.741430	1374.968088	6.069765	22103.814000	30281.109000	22184.607000	23883.524900	26547.978950	22639.878804	10.415057	529.152774	2.335933	0	1	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_output_channel_w1.tsv
m12n16	output_channel	2	100	5	14724.259658	378.891586	2.573247	13269.473000	16975.095000	14821.447500	14890.331300	14909.567450	29366.327392	16.023189	71.036214	0.482443	0	1	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_output_channel_w2.tsv
m12n16	output_channel	3	100	5	12056.084812	345.138858	2.862777	10654.696000	12299.422000	12151.128500	12199.029000	12210.059600	32362.624428	19.569338	32.840911	0.272401	0	1	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_output_channel_w3.tsv
m12n16	output_channel	4	100	5	10232.658102	1013.616425	9.905700	9267.014000	16438.507000	10025.898000	10710.751000	12267.646400	39140.088790	23.056531	240.499691	2.350315	0	1	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_output_channel_w4.tsv
m12n16	spatial	1	100	5	22129.659858	361.370110	1.632967	22006.520000	25581.056000	22080.145500	22150.290900	22187.123400	22131.439860	10.661239	12.466933	0.056336	0	1	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_spatial_w1.tsv
m12n16	spatial	2	100	5	11693.696748	345.814883	2.957276	11467.619000	16806.591000	11637.683500	11885.756700	11921.640350	23285.358034	20.175793	35.375052	0.302514	0	1	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_spatial_w2.tsv
m12n16	spatial	3	100	5	8209.332938	601.046683	7.321505	7905.707000	13880.311000	8116.772000	8204.214200	8248.775550	23920.517606	28.739193	53.671215	0.653783	0	1	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_spatial_w3.tsv
m12n16	spatial	4	100	5	6516.213018	776.408162	11.915021	6159.440000	11801.290000	6327.420000	6392.413100	8359.414750	24687.141666	36.206551	63.515674	0.974733	0	1	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m12n16_spatial_w4.tsv
m4n16	output_channel	1	100	5	31217.333792	407.005554	1.303781	31004.055000	34716.966000	31155.305000	31259.772800	31335.656700	31215.411124	7.557647	14.149316	0.045325	0	1	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_output_channel_w1.tsv
m4n16	output_channel	2	100	5	23206.670014	1211.986303	5.222577	18953.104000	26303.761000	23455.377500	23626.971900	24652.236050	46010.821036	10.166456	99.954294	0.430714	0	1	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_output_channel_w2.tsv
m4n16	output_channel	3	100	5	16898.088312	706.521003	4.181071	14271.726000	18847.480000	16993.586500	17118.683100	17250.283050	50305.267498	13.961911	70.540872	0.417449	0	1	/data/ncnn-logs/ai-team/2026-07-12/2026-07-12_14-26-44__contcodex__BANANA-YOLO26-CUSTOM-INT8-IME-ENGINE-STAGE48-EXACT-INTEGER-CONTRACT-AND-NCHWC8-DIRECT-A-TILE-PROOF-001__stage48-integer-contract-nchwc8/artifacts/board-model5-logs/model5_m4n16_output_channel_w3.tsv
