kind	requested_load	run	route	kernel	actual_load	partition	workers	status	mismatches	wall_total_us	direct_a_worker_sum_us	vmadot_worker_sum_us	scalar_epilogue_worker_sum_us	barrier_us	min_worker_us	max_worker_us	vector_groups	scalar_c8_groups	border_chunks	affinity_ok
case	u64	0	ime	m12n16	four_u64_c8	spatial	4	0	0	11417.457000	5703.565000	5512.621000	14911.000000	4414.048000	6237.776000	7003.409000	0	60928	3824	1
case	u64	1	ime	m12n16	four_u64_c8	spatial	4	0	0	7433.456000	5748.688000	6243.580000	15637.925000	119.043000	6742.072000	7314.413000	0	60928	3824	1
case	u64	2	ime	m12n16	four_u64_c8	spatial	4	0	0	9994.858000	5092.429000	5722.227000	15051.673000	3229.368000	6489.153000	6765.490000	0	60928	3824	1
case	u64	3	ime	m12n16	four_u64_c8	spatial	4	0	0	12093.672000	5180.351000	5396.036000	14870.531000	5239.139000	6117.775000	6854.533000	0	60928	3824	1
case	u64	4	ime	m12n16	four_u64_c8	spatial	4	0	0	12505.468000	5322.263000	5341.993000	14942.675000	5660.477000	6104.650000	6844.991000	0	60928	3824	1
case	u64	5	ime	m12n16	four_u64_c8	spatial	4	0	0	7693.458000	6317.658000	6526.738000	15267.739000	127.251000	6837.574000	7566.207000	0	60928	3824	1
case	u64	6	ime	m12n16	four_u64_c8	spatial	4	0	0	9760.147000	5210.384000	5715.058000	15164.517000	2925.156000	6475.361000	6834.991000	0	60928	3824	1
case	u64	7	ime	m12n16	four_u64_c8	spatial	4	0	0	12359.258000	5377.722000	5499.074000	14941.953000	5280.306000	6118.066000	7078.952000	0	60928	3824	1
case	u64	8	ime	m12n16	four_u64_c8	spatial	4	0	0	8856.013000	5532.726000	5515.357000	14854.767000	1973.189000	6378.110000	6882.824000	0	60928	3824	1
case	u64	9	ime	m12n16	four_u64_c8	spatial	4	0	0	8662.427000	8489.588000	6488.250000	15111.978000	136.793000	6772.574000	8525.634000	0	60928	3824	1
case	vlse64	0	ime	m12n16	rvv_vlse64_c8x4	spatial	4	0	0	6870.032000	5093.812000	5504.916000	15167.666000	124.167000	6352.319000	6745.865000	55216	5712	3824	1
case	vlse64	1	ime	m12n16	rvv_vlse64_c8x4	spatial	4	0	0	7220.703000	5613.643000	6037.784000	15102.586000	126.876000	6508.737000	7093.827000	55216	5712	3824	1
case	vlse64	2	ime	m12n16	rvv_vlse64_c8x4	spatial	4	0	0	7301.954000	5289.928000	6109.192000	15134.251000	148.752000	6549.196000	7153.202000	55216	5712	3824	1
case	vlse64	3	ime	m12n16	rvv_vlse64_c8x4	spatial	4	0	0	11838.586000	4121.708000	5351.717000	14956.453000	5337.141000	5880.230000	6501.445000	55216	5712	3824	1
case	vlse64	4	ime	m12n16	rvv_vlse64_c8x4	spatial	4	0	0	6951.200000	5104.809000	5852.383000	15193.467000	162.835000	6450.528000	6788.365000	55216	5712	3824	1
case	vlse64	5	ime	m12n16	rvv_vlse64_c8x4	spatial	4	0	0	8492.759000	5015.176000	5953.243000	16567.036000	483.006000	6356.610000	8009.753000	55216	5712	3824	1
case	vlse64	6	ime	m12n16	rvv_vlse64_c8x4	spatial	4	0	0	10801.200000	4343.218000	5403.466000	14912.082000	4235.129000	6037.065000	6566.071000	55216	5712	3824	1
case	vlse64	7	ime	m12n16	rvv_vlse64_c8x4	spatial	4	0	0	12402.301000	4321.679000	5292.375000	14905.793000	5775.188000	5904.647000	6627.113000	55216	5712	3824	1
case	vlse64	8	ime	m12n16	rvv_vlse64_c8x4	spatial	4	0	0	7602.041000	6065.071000	6509.224000	15659.374000	121.043000	6763.573000	7480.998000	55216	5712	3824	1
case	vlse64	9	ime	m12n16	rvv_vlse64_c8x4	spatial	4	0	0	10164.068000	5155.717000	5560.794000	15141.005000	3138.492000	6135.858000	7025.576000	55216	5712	3824	1
case	vlseg2e64	0	ime	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	11930.004000	4965.010000	5415.256000	15158.849000	4932.595000	5902.397000	6997.409000	53312	7616	3824	1
case	vlseg2e64	1	ime	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	12486.260000	4560.093000	5451.141000	15026.535000	5687.645000	5888.355000	6798.615000	53312	7616	3824	1
case	vlseg2e64	2	ime	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	12875.764000	4558.718000	5379.850000	14836.734000	6187.317000	5842.188000	6688.447000	53312	7616	3824	1
case	vlseg2e64	3	ime	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	9431.394000	5303.265000	5987.178000	15192.266000	2366.817000	6407.653000	7064.577000	53312	7616	3824	1
case	vlseg2e64	4	ime	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	7496.498000	6520.981000	6138.689000	15135.514000	134.960000	6544.487000	7361.538000	53312	7616	3824	1
case	vlseg2e64	5	ime	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	9620.354000	4170.587000	5527.440000	15060.670000	3146.867000	6085.899000	6473.487000	53312	7616	3824	1
case	vlseg2e64	6	ime	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	16256.384000	4561.543000	5510.469000	14905.963000	9489.478000	5905.980000	6766.906000	53312	7616	3824	1
case	vlseg2e64	7	ime	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	13952.484000	5524.515000	5919.599000	16104.210000	6278.818000	6680.739000	7673.666000	53312	7616	3824	1
case	vlseg2e64	8	ime	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	7311.996000	6173.486000	5981.051000	15037.287000	117.877000	6455.154000	7194.119000	53312	7616	3824	1
case	vlseg2e64	9	ime	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	10975.244000	4109.039000	5571.976000	15130.742000	4342.047000	6009.649000	6633.197000	53312	7616	3824	1
