fixture	route	kernel	load	partition	workers	run_status	mismatches	max_abs_diff	first_mismatch	actual_hash64	expected_hash64	affinity_ok	profile_total_us
F0	scalar	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	0	204800	10094906690607741993	10094906690607741993	1	197025.766000
F1	scalar	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	0	204800	11895014367726435010	11895014367726435010	1	196245.799000
F2	scalar	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	0	204800	3978534202814547136	3978534202814547136	1	197410.979000
F3	scalar	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	0	204800	1599161747833691097	1599161747833691097	1	196944.724000
F4	scalar	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	0	204800	6100227866392892799	6100227866392892799	1	197046.433000
F5	scalar	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	0	204800	1017643336174624847	1017643336174624847	1	198011.236000
F6	scalar	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	0	204800	16813360259489420486	16813360259489420486	1	196268.425000
F7	scalar	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	0	204800	10803159993611124125	10803159993611124125	1	198053.112000
F0	ime	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	0	204800	10094906690607741993	10094906690607741993	1	7201.455000
F1	ime	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	0	204800	11895014367726435010	11895014367726435010	1	6998.328000
F2	ime	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	0	204800	3978534202814547136	3978534202814547136	1	11472.878000
F3	ime	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	0	204800	1599161747833691097	1599161747833691097	1	9086.393000
F4	ime	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	0	204800	6100227866392892799	6100227866392892799	1	12843.934000
F5	ime	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	0	204800	1017643336174624847	1017643336174624847	1	7356.248000
F6	ime	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	0	204800	16813360259489420486	16813360259489420486	1	10880.704000
F7	ime	m12n16	rvv_vlseg2e64_c8x4	spatial	4	0	0	0	204800	10803159993611124125	10803159993611124125	1	12541.055000
