event	cpu	status	errno	error	count	time_enabled	time_running	scale
task_clock	0	available	0	ok	1977394034	1977394034	1977394034	1
task_clock	1	available	0	ok	1977397117	1977397117	1977397117	1
task_clock	2	available	0	ok	1977401492	1977401492	1977401492	1
task_clock	3	available	0	ok	1977404701	1977404701	1977404701	1
cycles	0	available	0	ok	189084842	1976877035	1976877035	1
cycles	1	available	0	ok	179383471	1976876243	1976876243	1
cycles	2	available	0	ok	176570951	1976877076	1976877076	1
cycles	3	available	0	ok	187073219	1976879284	1976879284	1
instructions	0	available	0	ok	126745249	1973738617	1973738617	1
instructions	1	available	0	ok	126376529	1973736951	1973736951	1
instructions	2	available	0	ok	122516091	1973739909	1973739909	1
instructions	3	available	0	ok	133860917	1973741201	1973741201	1
branches	0	available	0	ok	17806276	1976542909	1976542909	1
branches	1	available	0	ok	17894936	1976541743	1976541743	1
branches	2	available	0	ok	17138249	1976542617	1976542617	1
branches	3	available	0	ok	18808566	1976543825	1976543825	1
branch_misses	0	available	0	ok	997159	1979001659	1979001659	1
branch_misses	1	available	0	ok	1086526	1979000034	1979000034	1
branch_misses	2	available	0	ok	993965	1978998534	1978998534	1
branch_misses	3	available	0	ok	1098243	1979000450	1979000450	1
cache_references	0	available	0	ok	0	1975250867	0	0
cache_references	1	available	0	ok	0	1975239326	0	0
cache_references	2	available	0	ok	0	1975235451	0	0
cache_references	3	available	0	ok	0	1975229785	0	0
cache_misses	0	available	0	ok	0	1975921493	0	0
cache_misses	1	available	0	ok	0	1975911242	0	0
cache_misses	2	available	0	ok	0	1975908742	0	0
cache_misses	3	available	0	ok	0	1975906117	0	0
context_switches	0	available	0	ok	197	1976376909	1976376909	1
context_switches	1	available	0	ok	82	1976378326	1976378326	1
context_switches	2	available	0	ok	79	1976381159	1976381159	1
context_switches	3	available	0	ok	87	1976384034	1976384034	1
