index	kind	name	input0	input1	input2	output0	output1	weights_file	weight_scales_file	bias_file	weight_count	kernel_h	kernel_w	stride_h	stride_w	pad_h	pad_w	group	conv_output_scale	conv_output_zero_point	segment0_channel_begin	segment0_channel_count	segment0_activation	segment1_channel_begin	segment1_channel_count	segment1_activation	output_c	k	k_tiles	n_blocks	input_zero_point	accumulator_absolute_bound	packed_weights_file	weight_sums_file	requant_multiplier_file	requant_shift_file	segment0_begin	segment0_count	segment0_lut_file	segment1_begin	segment1_count	segment1_lut_file	lut_file	add_lut_file	concat0_lut_file	concat1_lut_file	concat2_lut_file	source_weight_name	weights_sha256	weight_scales_sha256	bias_sha256
0	lut	/model.4/cv2/final_silu	0	-1	-1	1	-1				0	0	0	0	0	0	0	1	0	0	0	0	silu	0	0	none	0	0	0	0	0	0	-	-	-	-	0	0	-	0	0	-	integer_assets/op_000/lut_s8.bin	-	-	-	-	NA	NA	NA	NA
1	conv	/model.5/conv/Conv	1	-1	-1	2	-1	assets/conv_000_model.5__conv__Conv.weights_ohwi_s8.bin	assets/conv_000_model.5__conv__Conv.weight_scales_f32.bin	assets/conv_000_model.5__conv__Conv.bias_i32.bin	147456	3	3	2	2	1	1	1	0.057099778205156326	136	0	128	silu	0	0	none	128	1152	144	8	9	36074272	integer_assets/op_001/weights_packed_n16k8_s8.bin	integer_assets/op_001/weight_sums_i32.bin	integer_assets/op_001/requant_multiplier_i64.bin	integer_assets/op_001/requant_right_shift_i32.bin	0	128	integer_assets/op_001/segment0_lut_s8.bin	0	0	-	-	-	-	-	-	model.5.conv.weight_quantized	1cd6817d9723bf2e4dcd97dbd83d5c407e1b84d03bfd15bbf4edbe1788585837	6c528a7ef3521fbd910e35aeb2a1efe38f7bcb365a9496761dd7bf7e09ef3a33	63d8afbf988eaa60310e791542ac86724f4973e124beed0ca653b270bbce4b5d
2	conv	/model.6/cv1/conv/Conv	2	-1	-1	3	4	assets/conv_001_model.6__cv1__conv__Conv.weights_ohwi_s8.bin	assets/conv_001_model.6__cv1__conv__Conv.weight_scales_f32.bin	assets/conv_001_model.6__cv1__conv__Conv.bias_i32.bin	16384	1	1	1	1	0	0	1	0.071361921727657318	130	0	64	silu	64	64	silu	128	128	16	8	10	4043080	integer_assets/op_002/weights_packed_n16k8_s8.bin	integer_assets/op_002/weight_sums_i32.bin	integer_assets/op_002/requant_multiplier_i64.bin	integer_assets/op_002/requant_right_shift_i32.bin	0	64	integer_assets/op_002/segment0_lut_s8.bin	64	64	integer_assets/op_002/segment1_lut_s8.bin	-	-	-	-	-	model.6.cv1.conv.weight_quantized	7f374cf82e5761ad72e5fc30e6b29024377be1ebe1c1934e8ea8b046838dcfc5	ace99eee1b1cc2ed1e0399de01e2760a40310a2c5171317fb53a871c913b3695	b6668a7b303cb7c8a318f5325733140bed8bd4b309505fdf8b40ffd6120dbb67
3	conv	/model.6/m.0/cv1/conv/Conv	4	-1	-1	5	-1	assets/conv_002_model.6__m.0__cv1__conv__Conv.weights_ohwi_s8.bin	assets/conv_002_model.6__m.0__cv1__conv__Conv.weight_scales_f32.bin	assets/conv_002_model.6__m.0__cv1__conv__Conv.bias_i32.bin	2048	1	1	1	1	0	0	1	0.04358367994427681	165	0	32	silu	0	0	none	32	64	8	2	8	2025812	integer_assets/op_003/weights_packed_n16k8_s8.bin	integer_assets/op_003/weight_sums_i32.bin	integer_assets/op_003/requant_multiplier_i64.bin	integer_assets/op_003/requant_right_shift_i32.bin	0	32	integer_assets/op_003/segment0_lut_s8.bin	0	0	-	-	-	-	-	-	model.6.m.0.cv1.conv.weight_quantized	d2bd0c6e68ca558c08e687a1f367909f62f2364d3bb195fa78b4eef35719c6d5	abdea5f3fffe38f506255fb844f72359b4b32cfa0ecded9a8bbad304692220bf	10dfe138a8c24d08f341d2a9a7dbd4c4f49b962d9f51173b10104838d218e169
4	conv	/model.6/m.0/cv2/conv/Conv	4	-1	-1	6	-1	assets/conv_003_model.6__m.0__cv2__conv__Conv.weights_ohwi_s8.bin	assets/conv_003_model.6__m.0__cv2__conv__Conv.weight_scales_f32.bin	assets/conv_003_model.6__m.0__cv2__conv__Conv.bias_i32.bin	2048	1	1	1	1	0	0	1	0.11293179541826248	167	0	32	silu	0	0	none	32	64	8	2	8	2019250	integer_assets/op_004/weights_packed_n16k8_s8.bin	integer_assets/op_004/weight_sums_i32.bin	integer_assets/op_004/requant_multiplier_i64.bin	integer_assets/op_004/requant_right_shift_i32.bin	0	32	integer_assets/op_004/segment0_lut_s8.bin	0	0	-	-	-	-	-	-	model.6.m.0.cv2.conv.weight_quantized	684c4bee93fab8b64da1980acb5c8dd016d60f050d28d09b73cd1b068607df16	976f97047bb1dfae418e0c4be65c18065daa0864422cd90503f741bddbc5495b	d059e44d7afff05c941249c5cfa373676689109ff6e014a6e70d2eb55508bf85
5	conv	/model.6/m.0/m/m.0/cv1/conv/Conv	5	-1	-1	7	-1	assets/conv_004_model.6__m.0__m__m.0__cv1__conv__Conv.weights_ohwi_s8.bin	assets/conv_004_model.6__m.0__m__m.0__cv1__conv__Conv.weight_scales_f32.bin	assets/conv_004_model.6__m.0__m__m.0__cv1__conv__Conv.bias_i32.bin	9216	3	3	1	1	1	1	1	0.062696672976016998	141	0	32	silu	0	0	none	32	288	36	2	17	8738026	integer_assets/op_005/weights_packed_n16k8_s8.bin	integer_assets/op_005/weight_sums_i32.bin	integer_assets/op_005/requant_multiplier_i64.bin	integer_assets/op_005/requant_right_shift_i32.bin	0	32	integer_assets/op_005/segment0_lut_s8.bin	0	0	-	-	-	-	-	-	model.6.m.0.m.0.cv1.conv.weight_quantized	84a970778a224e5019aad8e82c7aab58ba5d28961f69b8b4dd0d2bc398d0d316	a287f3adc994cab8875ade5545a16b3f39ba3af7cfc27857129293da64e25487	2d383efe9746880ea666a92693542529d07eb6d368ae7c8447adde4b7e278639
6	conv	/model.6/m.0/m/m.0/cv2/conv/Conv	7	-1	-1	8	-1	assets/conv_005_model.6__m.0__m__m.0__cv2__conv__Conv.weights_ohwi_s8.bin	assets/conv_005_model.6__m.0__m__m.0__cv2__conv__Conv.weight_scales_f32.bin	assets/conv_005_model.6__m.0__m__m.0__cv2__conv__Conv.bias_i32.bin	9216	3	3	1	1	1	1	1	0.044328935444355011	146	0	32	none	0	0	none	32	288	36	2	10	8984097	integer_assets/op_006/weights_packed_n16k8_s8.bin	integer_assets/op_006/weight_sums_i32.bin	integer_assets/op_006/requant_multiplier_i64.bin	integer_assets/op_006/requant_right_shift_i32.bin	0	32	integer_assets/op_006/segment0_lut_s8.bin	0	0	-	-	-	-	-	-	model.6.m.0.m.0.cv2.conv.weight_quantized	4c61deff284658cc31b931d696e03497c0d3f0fd2578d9130f94b6cefcb4846f	6512307846f5cf07bc8506f746316228e89ab892983fe15f595d295681d92122	22947585abb4ac83eed566cffc6a7dbb4fe8335ccd4fbcc0ffc96154209b0090
7	add_silu	/model.6/m.0/m/m.0/Add	5	8	-1	9	-1				0	0	0	0	0	0	0	1	0	0	0	0	none	0	0	none	0	0	0	0	0	0	-	-	-	-	0	0	-	0	0	-	-	integer_assets/op_007/add_silu_lut_256x256_s8.bin	-	-	-	NA	NA	NA	NA
8	conv	/model.6/m.0/m/m.1/cv1/conv/Conv	9	-1	-1	10	-1	assets/conv_006_model.6__m.0__m__m.1__cv1__conv__Conv.weights_ohwi_s8.bin	assets/conv_006_model.6__m.0__m__m.1__cv1__conv__Conv.weight_scales_f32.bin	assets/conv_006_model.6__m.0__m__m.1__cv1__conv__Conv.bias_i32.bin	9216	3	3	1	1	1	1	1	0.052987053990364075	135	0	32	silu	0	0	none	32	288	36	2	21	8594691	integer_assets/op_008/weights_packed_n16k8_s8.bin	integer_assets/op_008/weight_sums_i32.bin	integer_assets/op_008/requant_multiplier_i64.bin	integer_assets/op_008/requant_right_shift_i32.bin	0	32	integer_assets/op_008/segment0_lut_s8.bin	0	0	-	-	-	-	-	-	model.6.m.0.m.1.cv1.conv.weight_quantized	ec09e89f31b938d326b758186a7ba094805f90135f3c075f20a5725a9a114c4f	5874e859a31b8abc451df34991c5586e8a403a1b7ac4c868abc55ab26d14dc3d	90111a9a5f6277c351edd00a32d11dbaf0bea5f4e720594f3fe592da8989425f
9	conv	/model.6/m.0/m/m.1/cv2/conv/Conv	10	-1	-1	11	-1	assets/conv_007_model.6__m.0__m__m.1__cv2__conv__Conv.weights_ohwi_s8.bin	assets/conv_007_model.6__m.0__m__m.1__cv2__conv__Conv.weight_scales_f32.bin	assets/conv_007_model.6__m.0__m__m.1__cv2__conv__Conv.bias_i32.bin	9216	3	3	1	1	1	1	1	0.076533496379852295	132	0	32	none	0	0	none	32	288	36	2	11	8951473	integer_assets/op_009/weights_packed_n16k8_s8.bin	integer_assets/op_009/weight_sums_i32.bin	integer_assets/op_009/requant_multiplier_i64.bin	integer_assets/op_009/requant_right_shift_i32.bin	0	32	integer_assets/op_009/segment0_lut_s8.bin	0	0	-	-	-	-	-	-	model.6.m.0.m.1.cv2.conv.weight_quantized	58bd2f07719562ff3117f6d2c8f515e0bbe323255680bec9685d185bb259a789	bfdc347910ff3b3ccc0dc2ad52b287ed8ccacec9150828c3f81b018a1feecf51	62c5ee83e610d148cdf4f9fd8987a55098c4a3cdf39da069c0fbe049c025788e
