tensor_id	tensor_key	shape	layout	logical_bytes	physical_bytes	padding_bytes	roundtrip_exact	physical_sha256	persistent_conv_pair_implemented
0	model4.preact	1x128x80x80	NCHWc8_SPATIAL_INNER_V1	819200	819200	0	1	a5c92c5218e6250673646755666b2f70168488e89dc13e43c9f97bb3c04d9f3f	1
0	model4.preact	1x128x80x80	M4C8_KMAJOR_V1	819200	819200	0	1	09587838d980958ee6e7ee020cdb01ec094d97db9abe50764136e7162694435c	0
0	model4.preact	1x128x80x80	NCHWc16_SPATIAL_INNER_V1	819200	819200	0	1	9d2a9598739e76fc91f8735743ca7c1919c15435d164b9a38d606069c9e9c408	0
0	model4.preact	1x128x80x80	NHWC16_SPATIAL_INNER_V1	819200	819200	0	1	517db620fca8465888ec387673f888d5e7c43c86d613c88cbf4bb5ffcbe4cd91	0
1	model4.postact	1x128x80x80	NCHWc8_SPATIAL_INNER_V1	819200	819200	0	1	fb00f78e63d9086bf50a66e26253275d1504d02dfb9e0a200b8c681dc2ccd9ef	1
1	model4.postact	1x128x80x80	M4C8_KMAJOR_V1	819200	819200	0	1	9dbc8f7e6a8af09c359d161e841173da046a811a724960a23e97535d53fd07c3	0
1	model4.postact	1x128x80x80	NCHWc16_SPATIAL_INNER_V1	819200	819200	0	1	de3c946c9897007a1196f724470483d1a7d501cde550cdb7cf4658ef43613601	0
1	model4.postact	1x128x80x80	NHWC16_SPATIAL_INNER_V1	819200	819200	0	1	82c97c21d23fdb1911c00c6dafd16506d2eda276fd2a206288ce3c5eba574e40	0
2	model.5.output	1x128x40x40	NCHWc8_SPATIAL_INNER_V1	204800	204800	0	1	0017d3f792cd0aeffd19a8ddc08fdeacb326e7cbc25a0ee9cb2845b777a89b1d	1
2	model.5.output	1x128x40x40	M4C8_KMAJOR_V1	204800	204800	0	1	1f5ad41df3e3bd5c3dd1ffd2bd6127a18cd62615362f0eefa6c73064a4848eb9	0
2	model.5.output	1x128x40x40	NCHWc16_SPATIAL_INNER_V1	204800	204800	0	1	dd4eac59ed44a8778ad40925a4e72a4f34b33d734a589439304c6edacac45bbf	0
