candidate	mean_us	median_us	p95_us	mismatches	status
0127_board_lutv2_scout_00_op1_m4n16_w4_spatial	7806.677900	7776.262000	8047.929350	0	timing-scout
0128_board_lutv2_scout_01_op1_m8n16_w4_spatial	5404.048875	5412.567500	5532.433200	0	timing-scout
0129_board_lutv2_scout_02_op1_m12n16_w4_spatial	4795.252125	4787.451000	4883.092750	0	timing-scout
0130_board_lutv2_scout_03_op2_m4n16_w4_spatial	3015.426400	3014.268500	3040.897050	0	timing-scout
0131_board_lutv2_scout_04_op2_m8n16_w4_spatial	2663.965100	2658.907500	2713.108850	0	timing-scout
0132_board_lutv2_scout_05_op2_m12n16_w4_spatial	2500.949225	2500.508500	2529.461400	0	timing-scout
0133_board_lutv2_scout_06_op5_m4n16_w4_spatial	1062.510800	1061.542500	1087.400500	0	timing-scout
0134_board_lutv2_scout_07_op5_m8n16_w4_spatial	980.959250	980.019500	1013.484600	0	timing-scout
0135_board_lutv2_scout_08_op5_m12n16_w4_spatial	937.194900	930.894000	962.878000	0	timing-scout
0136_board_lutv2_scout_09_op17_m4n16_w4_spatial	433.595200	431.196000	447.427750	0	timing-scout
0137_board_lutv2_scout_10_op17_m8n16_w4_spatial	403.253850	401.716000	420.755600	0	timing-scout
0138_board_lutv2_scout_11_op17_m12n16_w4_spatial	381.505600	383.403500	389.883300	0	timing-scout
0139_board_lutv2_scout_12_op1_m12n16_w1_spatial	17007.519575	16898.150000	17325.452550	0	timing-scout
0140_board_lutv2_scout_13_op1_m12n16_w2_spatial	8825.383275	8824.905500	8892.522900	0	timing-scout
0141_board_lutv2_scout_14_op1_m12n16_w3_spatial	6014.641675	6010.703000	6107.146350	0	timing-scout
0142_board_lutv2_scout_15_op1_m12n16_w4_spatial	4766.044700	4761.615000	4840.285600	0	timing-scout
0143_board_lutv2_scout_16_op2_m12n16_w1_spatial	9428.676775	9422.187000	9496.090450	0	timing-scout
0144_board_lutv2_scout_17_op2_m12n16_w2_spatial	4978.120675	4966.432000	5067.094450	0	timing-scout
0145_board_lutv2_scout_18_op2_m12n16_w3_spatial	3308.732150	3306.732000	3345.021150	0	timing-scout
0146_board_lutv2_scout_19_op2_m12n16_w4_spatial	2512.699850	2508.695500	2548.569750	0	timing-scout
0147_board_lutv2_scout_20_op5_m12n16_w1_spatial	3507.759975	3507.548500	3542.197100	0	timing-scout
0148_board_lutv2_scout_21_op5_m12n16_w2_spatial	1799.686750	1798.869000	1821.177700	0	timing-scout
0149_board_lutv2_scout_22_op5_m12n16_w3_spatial	1244.704675	1217.711500	1328.141450	0	timing-scout
0150_board_lutv2_scout_23_op5_m12n16_w4_spatial	937.992525	932.456000	956.579100	0	timing-scout
0151_board_lutv2_scout_24_op17_m12n16_w1_spatial	1287.893100	1287.526000	1316.532550	0	timing-scout
0152_board_lutv2_scout_25_op17_m12n16_w2_spatial	682.270750	682.638500	706.267500	0	timing-scout
0153_board_lutv2_scout_26_op17_m12n16_w3_spatial	475.649925	472.571500	498.618300	0	timing-scout
0154_board_lutv2_scout_27_op17_m12n16_w4_spatial	382.228250	382.716000	416.351750	0	timing-scout
0155_board_lutv2_scout_28_op1_m12n16_w4_spatial	4774.016475	4762.614000	4861.882200	0	timing-scout
0156_board_lutv2_scout_29_op1_m12n16_w4_output_channel	8984.345600	9077.303000	9164.523150	0	timing-scout
0157_board_lutv2_scout_30_op2_m12n16_w4_spatial	2511.774025	2510.632500	2545.999650	0	timing-scout
0158_board_lutv2_scout_31_op2_m12n16_w4_output_channel	3170.658825	2978.745500	3214.051850	0	timing-scout
0159_board_lutv2_scout_32_op5_m12n16_w4_spatial	936.682950	935.726500	954.400250	0	timing-scout
0160_board_lutv2_scout_33_op5_m12n16_w4_output_channel	2331.561100	2335.149500	2346.760250	0	timing-scout
0161_board_lutv2_scout_34_op17_m12n16_w4_spatial	387.364875	385.987000	415.422250	0	timing-scout
0162_board_lutv2_scout_35_op17_m12n16_w4_output_channel	466.566325	463.217000	489.878450	0	timing-scout
