tensor_id	logical_name	offset	bytes	layout
0	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	819200	NCHWc8_SPATIAL_INNER_V1
1	/model.4/cv2/act/Mul_output_0_QuantizeLinear_Output	819200	819200	NCHWc8_SPATIAL_INNER_V1
2	/model.5/act/Mul_output_0_QuantizeLinear_Output	0	204800	NCHWc8_SPATIAL_INNER_V1
3	/model.6/Split_output_0@outer_scale	1843200	102400	NCHWc8_SPATIAL_INNER_V1
4	/model.6/Split_output_1_QuantizeLinear_Output	307200	102400	NCHWc8_SPATIAL_INNER_V1
5	/model.6/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	51200	NCHWc8_SPATIAL_INNER_V1
6	/model.6/m.0/cv2/act@inner_scale	2201600	51200	NCHWc8_SPATIAL_INNER_V1
7	/model.6/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	102400	51200	NCHWc8_SPATIAL_INNER_V1
8	/model.6/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	153600	51200	NCHWc8_SPATIAL_INNER_V1
9	/model.6/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	102400	51200	NCHWc8_SPATIAL_INNER_V1
10	/model.6/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	0	51200	NCHWc8_SPATIAL_INNER_V1
11	/model.6/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	153600	51200	NCHWc8_SPATIAL_INNER_V1
12	/model.6/m.0/m/m.1/Add@inner_scale	2150400	51200	NCHWc8_SPATIAL_INNER_V1
13	/model.6/m.0/Concat_output_0_QuantizeLinear_Output	2150400	102400	NCHWc8_SPATIAL_INNER_V1
14	/model.6/m.0/cv3/act@outer_scale	2048000	102400	NCHWc8_SPATIAL_INNER_V1
15	/model.6/Concat_output_0_QuantizeLinear_Output	1843200	307200	NCHWc8_SPATIAL_INNER_V1
16	/model.6/cv2/act/Mul_output_0_QuantizeLinear_Output	614400	204800	NCHWc8_SPATIAL_INNER_V1
17	/model.7/act/Mul_output_0_QuantizeLinear_Output	204800	102400	NCHWc8_SPATIAL_INNER_V1
18	/model.8/Split_output_0@outer_scale	1638400	51200	NCHWc8_SPATIAL_INNER_V1
19	/model.8/Split_output_1_QuantizeLinear_Output	51200	51200	NCHWc8_SPATIAL_INNER_V1
20	/model.8/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	102400	25600	NCHWc8_SPATIAL_INNER_V1
21	/model.8/m.0/cv2/act@inner_scale	1817600	25600	NCHWc8_SPATIAL_INNER_V1
22	/model.8/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	153600	25600	NCHWc8_SPATIAL_INNER_V1
23	/model.8/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	179200	25600	NCHWc8_SPATIAL_INNER_V1
24	/model.8/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	153600	25600	NCHWc8_SPATIAL_INNER_V1
25	/model.8/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	102400	25600	NCHWc8_SPATIAL_INNER_V1
26	/model.8/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	179200	25600	NCHWc8_SPATIAL_INNER_V1
27	/model.8/m.0/m/m.1/Add@inner_scale	1792000	25600	NCHWc8_SPATIAL_INNER_V1
28	/model.8/m.0/Concat_output_0_QuantizeLinear_Output	1792000	51200	NCHWc8_SPATIAL_INNER_V1
29	/model.8/m.0/cv3/act@outer_scale	1740800	51200	NCHWc8_SPATIAL_INNER_V1
30	/model.8/Concat_output_0_QuantizeLinear_Output	1638400	153600	NCHWc8_SPATIAL_INNER_V1
31	/model.8/cv2/act/Mul_output_0_QuantizeLinear_Output	307200	102400	NCHWc8_SPATIAL_INNER_V1
