operation_index	operation_name	channel	ratio_numerator	ratio_denominator	v1_multiplier	v1_right_shift	q31_multiplier	q31_right_shift	multiplier_storage	multiplier_effective_bits
1	/model.5/conv/Conv	0	2997393655481	1645789055025152	8399034111023076	62	3911105	31	little-endian-int64	31
1	/model.5/conv/Conv	1	38239043851369	32915781100503040	5357505062661118	62	2494783	31	little-endian-int64	31
1	/model.5/conv/Conv	2	81366412943003	65831562201006080	5699945989328225	62	2654244	31	little-endian-int64	31
1	/model.5/conv/Conv	3	17299344931611	8228945275125760	9694941998243379	62	4514559	31	little-endian-int64	31
1	/model.5/conv/Conv	4	54778741731201	32915781100503040	7674809738753664	62	3573862	31	little-endian-int64	31
1	/model.5/conv/Conv	5	13140151055517	8228945275125760	7364036201082347	62	3429147	31	little-endian-int64	31
1	/model.5/conv/Conv	6	2333433454637	2057236318781440	5230834367173849	62	2435797	31	little-endian-int64	31
1	/model.5/conv/Conv	7	83488766003053	65831562201006080	5848622788206463	62	2723477	31	little-endian-int64	31
1	/model.5/conv/Conv	8	49366745494663	32915781100503040	6916558634226708	62	3220774	31	little-endian-int64	31
1	/model.5/conv/Conv	9	13298422718857	8228945275125760	7452735201079910	62	3470450	31	little-endian-int64	31
1	/model.5/conv/Conv	10	16123758972593	26332624880402432	2823786620442067	62	1314928	31	little-endian-int64	31
1	/model.5/conv/Conv	11	13044748865847	16457890550251520	3655285334097920	62	1702125	31	little-endian-int64	31
1	/model.5/conv/Conv	12	106769340236233	131663124402012160	3739746233430774	62	1741455	31	little-endian-int64	31
1	/model.5/conv/Conv	13	14449771804455	6583156220100608	10122471406132454	62	4713643	31	little-endian-int64	31
1	/model.5/conv/Conv	14	80156326038667	65831562201006080	5615175999505272	62	2614770	31	little-endian-int64	31
1	/model.5/conv/Conv	15	55793111816081	65831562201006080	3908464345736647	62	1820021	31	little-endian-int64	31
1	/model.5/conv/Conv	16	5391687688575	3291578110050304	7554057627618750	62	3517632	31	little-endian-int64	31
1	/model.5/conv/Conv	17	35908562740709	32915781100503040	5030991554705033	62	2342738	31	little-endian-int64	31
1	/model.5/conv/Conv	18	74671066125697	65831562201006080	5230918120726004	62	2435836	31	little-endian-int64	31
