commit	parents	date	subject
6ea3f0737c2063de94a7b4beac976180c4375872	53ac15ad253ac70e594cc7e1ac6c117e92da85ca	2026-07-06T08:55:00+02:00	Repair model4 fullshape merge dataflow for YOLO26 custom INT8 engine
d8025985bff6373aaf7082a47ad532a18bd64134	6ea3f0737c2063de94a7b4beac976180c4375872	2026-07-06T11:37:11+02:00	Integrate model4 C2f merge repair into YOLO26 custom INT8 runner
8350c57bd015f044a51800dcd318cb43976e534a	d8025985bff6373aaf7082a47ad532a18bd64134	2026-07-06T14:01:47+02:00	Close model4 C2f ONNX cut oracle gate
fce411e20eb649e7f7f0cfe65573848c0e8a1fd4	8350c57bd015f044a51800dcd318cb43976e534a	2026-07-06T16:06:37+02:00	Close model4 ONNX cut runner API and repair output quantization
e3bbacba79f2c58b10057735c514a280577223c2	fce411e20eb649e7f7f0cfe65573848c0e8a1fd4	2026-07-06T19:57:55+02:00	Repair YOLO26 model4 merge dataflow after ONNX cut proof
b382bd71c4091cc3476d59f77cb35c2a0d246513	e3bbacba79f2c58b10057735c514a280577223c2	2026-07-07T07:09:30+02:00	Select YOLO26 model4 Conv threading lane
6a32c904cf711afab24e3efd9d2adaa9306c101f	b382bd71c4091cc3476d59f77cb35c2a0d246513	2026-07-07T10:57:46+02:00	Repair YOLO26 model4 activation requant after Conv threading
502f7abe06aaba413310731971176ede603f527f	6a32c904cf711afab24e3efd9d2adaa9306c101f	2026-07-07T13:12:14+02:00	Select YOLO26 model4 Conv tile prepack lane
b54c8767e691dc57cbd035a13d2d2d348d2f5366	502f7abe06aaba413310731971176ede603f527f	2026-07-07T15:54:37+02:00	Repair YOLO26 model4 Conv correction writeback
8c3d64735c3460174e709c780b6a179724a807e8	b54c8767e691dc57cbd035a13d2d2d348d2f5366	2026-07-08T08:16:22+02:00	Add YOLO26 vendor ORT rt204 COCO baseline
921c1d75ab5161bb9e3e732516047cfe058e3b16	8c3d64735c3460174e709c780b6a179724a807e8	2026-07-08T10:04:15+02:00	Prove vmadot123 semantics for YOLO26 direct Conv lane
00aa667b8770cd9e6c7a5cdd24ac2714bb1d52a9	921c1d75ab5161bb9e3e732516047cfe058e3b16	2026-07-08T11:44:37+02:00	Gate YOLO26 vmadot123 direct Conv sidecar
1304c765cbb97241a5ac5700bb91c0fce7d4c60b	00aa667b8770cd9e6c7a5cdd24ac2714bb1d52a9	2026-07-08T13:15:32+02:00	Decide YOLO26 MMT4D mainline after sliding layout proof
