surface	repeat	run	wall_us	process_cpu_us
slice_cluster0_nonconv	0	0	18811.4	66101.2
slice_cluster0_nonconv	0	1	17757.9	66102.6
slice_cluster0_nonconv	0	2	17742.3	66053.5
slice_cluster0_nonconv	0	3	17712.6	66259.1
slice_cluster0_nonconv	0	4	17584.3	65723.9
slice_cluster0_nonconv	0	5	17621.5	65652.4
slice_cluster0_nonconv	0	6	17766.6	66014.2
slice_cluster0_nonconv	0	7	17768.2	66043.0
slice_cluster0_nonconv	0	8	17787.1	66220.6
slice_cluster0_nonconv	0	9	17936.0	66359.0
slice_cluster0_nonconv	0	10	17827.7	66325.5
slice_cluster0_nonconv	0	11	17650.7	66224.6
slice_cluster0_nonconv	0	12	17795.4	66293.6
slice_cluster0_nonconv	0	13	17707.5	66118.5
slice_cluster0_nonconv	0	14	17706.9	65971.5
slice_cluster0_nonconv	0	15	17677.7	65839.2
slice_cluster0_nonconv	0	16	17678.1	65915.4
slice_cluster0_nonconv	0	17	17789.1	66051.7
slice_cluster0_nonconv	0	18	17816.4	66067.4
slice_cluster0_nonconv	0	19	17674.4	65994.8
slice_cluster0_nonconv	0	20	17819.8	66421.9
slice_cluster0_nonconv	0	21	17588.7	65899.6
slice_cluster0_nonconv	0	22	17837.4	66136.8
slice_cluster0_nonconv	0	23	17757.6	66228.6
slice_cluster0_nonconv	0	24	17724.9	66029.9
slice_cluster0_nonconv	0	25	17908.2	66607.9
slice_cluster0_nonconv	0	26	17640.2	66147.3
slice_cluster0_nonconv	0	27	17673.9	66034.3
slice_cluster0_nonconv	0	28	17598.5	65976.2
slice_cluster0_nonconv	0	29	17690.5	66327.8
slice_cluster0_nonconv	0	30	17699.3	65732.5
slice_cluster0_nonconv	0	31	17662.7	66047.5
slice_cluster0_nonconv	0	32	17603.8	65926.4
slice_cluster0_nonconv	0	33	17946.1	66491.8
slice_cluster0_nonconv	0	34	17686.9	65866.0
slice_cluster0_nonconv	0	35	18340.8	66896.3
slice_cluster0_nonconv	0	36	20134.4	68813.9
slice_cluster0_nonconv	0	37	17599.3	65986.4
slice_cluster0_nonconv	0	38	17674.6	65842.4
slice_cluster0_nonconv	0	39	17750.2	65975.2
slice_cluster0_nonconv	0	40	17752.1	66280.0
slice_cluster0_nonconv	0	41	17773.8	66184.5
slice_cluster0_nonconv	0	42	17686.4	66039.1
slice_cluster0_nonconv	0	43	17735.1	65965.5
slice_cluster0_nonconv	0	44	17803.6	65820.7
slice_cluster0_nonconv	0	45	17702.2	65999.0
slice_cluster0_nonconv	0	46	17734.2	65779.3
slice_cluster0_nonconv	0	47	17765.2	66241.6
slice_cluster0_nonconv	0	48	17660.7	65795.0
slice_cluster0_nonconv	0	49	17767.9	65931.1
slice_cluster0_nonconv	0	50	17652.9	66178.8
slice_cluster0_nonconv	0	51	17546.0	65818.7
slice_cluster0_nonconv	0	52	17733.9	66139.2
slice_cluster0_nonconv	0	53	17692.3	65868.8
slice_cluster0_nonconv	0	54	17729.2	65789.3
slice_cluster0_nonconv	0	55	17694.6	66167.7
slice_cluster0_nonconv	0	56	17677.8	65837.8
slice_cluster0_nonconv	0	57	17839.4	66107.0
slice_cluster0_nonconv	0	58	17599.2	65897.7
slice_cluster0_nonconv	0	59	17676.1	65756.4
slice_cluster0_nonconv	0	60	17653.9	66175.3
slice_cluster0_nonconv	0	61	17662.8	65920.6
slice_cluster0_nonconv	0	62	17990.6	66206.0
slice_cluster0_nonconv	0	63	17834.8	66449.7
slice_cluster0_nonconv	0	64	17641.3	65670.0
slice_cluster0_nonconv	0	65	17704.9	66138.2
slice_cluster0_nonconv	0	66	17565.0	65617.1
slice_cluster0_nonconv	0	67	17647.7	66059.8
slice_cluster0_nonconv	0	68	17618.6	66002.6
slice_cluster0_nonconv	0	69	18920.6	66480.7
slice_cluster0_nonconv	0	70	17658.1	65847.3
slice_cluster0_nonconv	0	71	17748.7	66172.3
slice_cluster0_nonconv	0	72	17849.6	66416.3
slice_cluster0_nonconv	0	73	17657.5	65991.9
slice_cluster0_nonconv	0	74	17833.9	66130.5
slice_cluster0_nonconv	0	75	17744.7	65893.3
slice_cluster0_nonconv	0	76	17726.1	66250.3
slice_cluster0_nonconv	0	77	17724.8	65896.7
slice_cluster0_nonconv	0	78	17771.0	66442.0
slice_cluster0_nonconv	0	79	17735.1	66019.5
slice_cluster0_nonconv	0	80	17620.4	65686.7
slice_cluster0_nonconv	0	81	17564.6	65606.3
slice_cluster0_nonconv	0	82	17521.1	65723.1
slice_cluster0_nonconv	0	83	17685.6	66115.1
slice_cluster0_nonconv	0	84	17554.5	65553.5
slice_cluster0_nonconv	0	85	17661.4	65814.3
slice_cluster0_nonconv	0	86	17637.6	66043.2
slice_cluster0_nonconv	0	87	17745.9	66249.7
slice_cluster0_nonconv	0	88	17724.1	65956.1
slice_cluster0_nonconv	0	89	17798.5	66385.9
slice_cluster0_nonconv	0	90	17649.7	65909.0
slice_cluster0_nonconv	0	91	17757.1	66221.3
slice_cluster0_nonconv	0	92	17628.3	65813.4
slice_cluster0_nonconv	0	93	17731.6	66213.3
slice_cluster0_nonconv	0	94	17799.9	66327.0
slice_cluster0_nonconv	0	95	17620.4	65601.4
slice_cluster0_nonconv	0	96	17702.8	65896.5
slice_cluster0_nonconv	0	97	17738.4	66018.4
slice_cluster0_nonconv	0	98	17527.9	65713.6
slice_cluster0_nonconv	0	99	17768.0	66033.4
slice_cluster0_nonconv	1	0	17698.5	65992.2
slice_cluster0_nonconv	1	1	17686.8	65579.5
slice_cluster0_nonconv	1	2	17554.8	65804.4
slice_cluster0_nonconv	1	3	17724.2	65937.4
slice_cluster0_nonconv	1	4	17559.0	65839.2
slice_cluster0_nonconv	1	5	17680.4	65865.3
slice_cluster0_nonconv	1	6	17752.9	66205.3
slice_cluster0_nonconv	1	7	17679.6	65866.9
slice_cluster0_nonconv	1	8	17733.6	66368.3
slice_cluster0_nonconv	1	9	17699.3	65909.0
slice_cluster0_nonconv	1	10	17769.9	66085.7
slice_cluster0_nonconv	1	11	17783.0	66275.5
slice_cluster0_nonconv	1	12	17609.3	65742.6
slice_cluster0_nonconv	1	13	17563.6	65700.5
slice_cluster0_nonconv	1	14	17817.4	66114.5
slice_cluster0_nonconv	1	15	17630.6	65919.7
slice_cluster0_nonconv	1	16	17809.5	65956.0
slice_cluster0_nonconv	1	17	17738.4	66000.1
slice_cluster0_nonconv	1	18	17621.2	65597.3
slice_cluster0_nonconv	1	19	17762.6	66194.3
slice_cluster0_nonconv	1	20	19768.9	68884.6
slice_cluster0_nonconv	1	21	18270.2	66644.0
slice_cluster0_nonconv	1	22	17675.3	65926.7
slice_cluster0_nonconv	1	23	17611.3	65880.7
slice_cluster0_nonconv	1	24	17603.6	65661.5
slice_cluster0_nonconv	1	25	17843.9	66033.6
slice_cluster0_nonconv	1	26	17667.8	65988.6
slice_cluster0_nonconv	1	27	17718.9	65792.5
slice_cluster0_nonconv	1	28	17667.8	66033.8
slice_cluster0_nonconv	1	29	17614.9	66027.6
slice_cluster0_nonconv	1	30	17577.5	65869.4
slice_cluster0_nonconv	1	31	17651.0	65987.5
slice_cluster0_nonconv	1	32	17850.2	66350.6
slice_cluster0_nonconv	1	33	17839.8	65886.7
slice_cluster0_nonconv	1	34	17695.8	65906.3
slice_cluster0_nonconv	1	35	17757.0	66137.7
slice_cluster0_nonconv	1	36	17648.9	65626.3
slice_cluster0_nonconv	1	37	17766.9	66245.8
slice_cluster0_nonconv	1	38	18693.0	66121.7
slice_cluster0_nonconv	1	39	17717.7	66000.9
slice_cluster0_nonconv	1	40	17642.6	65912.2
slice_cluster0_nonconv	1	41	17650.9	65925.3
slice_cluster0_nonconv	1	42	17514.0	65419.4
slice_cluster0_nonconv	1	43	17877.0	66130.6
slice_cluster0_nonconv	1	44	17616.5	66052.0
slice_cluster0_nonconv	1	45	26663.3	65860.6
slice_cluster0_nonconv	1	46	20705.2	69692.4
slice_cluster0_nonconv	1	47	17806.6	66477.7
slice_cluster0_nonconv	1	48	17561.6	65925.0
slice_cluster0_nonconv	1	49	17686.3	66227.4
slice_cluster0_nonconv	1	50	17719.1	65877.3
slice_cluster0_nonconv	1	51	17706.8	66186.7
slice_cluster0_nonconv	1	52	17657.1	65995.7
slice_cluster0_nonconv	1	53	17791.3	66203.2
slice_cluster0_nonconv	1	54	17758.1	66324.6
slice_cluster0_nonconv	1	55	17700.6	65842.5
slice_cluster0_nonconv	1	56	17632.9	65966.4
slice_cluster0_nonconv	1	57	17687.3	65722.2
slice_cluster0_nonconv	1	58	17743.6	66300.5
slice_cluster0_nonconv	1	59	17806.1	66340.0
slice_cluster0_nonconv	1	60	17646.6	65907.8
slice_cluster0_nonconv	1	61	17788.5	66342.8
slice_cluster0_nonconv	1	62	17666.1	65891.3
slice_cluster0_nonconv	1	63	17683.2	66042.9
slice_cluster0_nonconv	1	64	17817.4	66276.1
slice_cluster0_nonconv	1	65	17761.9	65945.2
slice_cluster0_nonconv	1	66	17782.4	66211.3
slice_cluster0_nonconv	1	67	17712.1	65954.5
slice_cluster0_nonconv	1	68	17639.0	66013.7
slice_cluster0_nonconv	1	69	17806.1	66223.4
slice_cluster0_nonconv	1	70	17797.0	65900.6
slice_cluster0_nonconv	1	71	17741.8	66250.2
slice_cluster0_nonconv	1	72	17827.9	66478.6
slice_cluster0_nonconv	1	73	17635.1	65732.4
slice_cluster0_nonconv	1	74	17763.8	66396.3
slice_cluster0_nonconv	1	75	17787.2	66073.7
slice_cluster0_nonconv	1	76	17647.4	65828.2
slice_cluster0_nonconv	1	77	17610.3	66122.0
slice_cluster0_nonconv	1	78	17613.9	65726.8
slice_cluster0_nonconv	1	79	17790.9	66095.1
slice_cluster0_nonconv	1	80	17548.6	65806.0
slice_cluster0_nonconv	1	81	17676.0	66072.4
slice_cluster0_nonconv	1	82	17638.8	65653.2
slice_cluster0_nonconv	1	83	17722.1	66130.1
slice_cluster0_nonconv	1	84	17528.4	65569.8
slice_cluster0_nonconv	1	85	17684.2	65980.0
slice_cluster0_nonconv	1	86	17736.3	66059.2
slice_cluster0_nonconv	1	87	17791.0	65987.2
slice_cluster0_nonconv	1	88	17776.1	65950.5
slice_cluster0_nonconv	1	89	17726.4	65956.7
slice_cluster0_nonconv	1	90	17750.6	66146.8
slice_cluster0_nonconv	1	91	17749.6	66062.6
slice_cluster0_nonconv	1	92	17679.0	65964.4
slice_cluster0_nonconv	1	93	17750.6	66002.0
slice_cluster0_nonconv	1	94	17766.0	66079.8
slice_cluster0_nonconv	1	95	17649.4	65685.2
slice_cluster0_nonconv	1	96	17556.6	65715.7
slice_cluster0_nonconv	1	97	17788.0	66381.1
slice_cluster0_nonconv	1	98	17659.0	65906.3
slice_cluster0_nonconv	1	99	17556.5	65536.3
slice_cluster0_nonconv	2	0	17702.8	65912.7
slice_cluster0_nonconv	2	1	20609.0	66951.8
slice_cluster0_nonconv	2	2	17648.5	65795.4
slice_cluster0_nonconv	2	3	17742.9	66204.6
slice_cluster0_nonconv	2	4	17817.1	66191.1
slice_cluster0_nonconv	2	5	17733.0	66276.3
slice_cluster0_nonconv	2	6	19056.9	66293.5
slice_cluster0_nonconv	2	7	17640.1	65820.5
slice_cluster0_nonconv	2	8	17745.4	66310.3
slice_cluster0_nonconv	2	9	17775.7	66080.5
slice_cluster0_nonconv	2	10	17617.2	65894.4
slice_cluster0_nonconv	2	11	17880.3	66307.6
slice_cluster0_nonconv	2	12	17653.2	65836.0
slice_cluster0_nonconv	2	13	17741.4	66090.5
slice_cluster0_nonconv	2	14	17795.8	66124.4
slice_cluster0_nonconv	2	15	17639.7	66071.6
slice_cluster0_nonconv	2	16	17535.6	65671.3
slice_cluster0_nonconv	2	17	17640.8	65771.1
slice_cluster0_nonconv	2	18	17570.1	65583.3
slice_cluster0_nonconv	2	19	17637.5	65660.9
slice_cluster0_nonconv	2	20	17714.0	65896.0
slice_cluster0_nonconv	2	21	17789.1	66226.4
slice_cluster0_nonconv	2	22	17845.1	66369.4
