node	block	shape_class	MACs	mapping_status	evidence	central_rate_gmacs	central_latency_us	layout
/model.0/conv/Conv	model.0	3x3_stride2	44236800	stable-selected	Stage47 exact full-shape RGB stem	0.794000	55713.853904	RGB-stem conservative boundary
/model.1/conv/Conv	model.1	3x3_stride2	117964800	stable-selected	Stage51 model5/model7 E2c full shape	65.300000	1806.505360	NCHWc8_SPATIAL_INNER_V1
/model.2/cv1/conv/Conv	model.2	1x1_high_resolution	26214400	stable-selected	Stage51 model6 E2c full shape	21.700000	1208.036866	NCHWc8_SPATIAL_INNER_V1
/model.2/m.0/cv1/conv/Conv	model.2	small_n_head_conv	29491200	unsupported	conservative fallback	6.000000	4915.200000	NCHWc8_SPATIAL_INNER_V1
/model.2/m.0/cv2/conv/Conv	model.2	3x3_stride1	29491200	stable-selected	Stage51 model6 E2c full shape	23.600000	1249.627119	NCHWc8_SPATIAL_INNER_V1
/model.2/cv2/conv/Conv	model.2	1x1_high_resolution	78643200	stable-selected	Stage51 model6 E2c full shape	21.700000	3624.110599	NCHWc8_SPATIAL_INNER_V1
/model.3/conv/Conv	model.3	3x3_stride2	235929600	stable-selected	Stage51 model5/model7 E2c full shape	65.300000	3613.010720	NCHWc8_SPATIAL_INNER_V1
/model.4/cv1/conv/Conv	model.4	1x1_high_resolution	26214400	stable-selected	Stage51 model6 E2c full shape	21.700000	1208.036866	NCHWc8_SPATIAL_INNER_V1
/model.4/m.0/cv1/conv/Conv	model.4	3x3_stride1	29491200	stable-selected	Stage51 model6 E2c full shape	23.600000	1249.627119	NCHWc8_SPATIAL_INNER_V1
/model.4/m.0/cv2/conv/Conv	model.4	3x3_stride1	29491200	stable-selected	Stage51 model6 E2c full shape	23.600000	1249.627119	NCHWc8_SPATIAL_INNER_V1
/model.4/cv2/conv/Conv	model.4	1x1_high_resolution	78643200	stable-selected	Stage51 model6 E2c full shape	21.700000	3624.110599	NCHWc8_SPATIAL_INNER_V1
/model.5/conv/Conv	model.5	3x3_stride2	235929600	stable-selected	Stage51 model5/model7 E2c full shape	65.300000	3613.010720	NCHWc8_SPATIAL_INNER_V1
/model.6/cv1/conv/Conv	model.6	1x1_low_resolution	26214400	stable-selected	Stage51 low-resolution E2c rows	18.500000	1416.994595	NCHWc8_SPATIAL_INNER_V1
/model.6/m.0/cv1/conv/Conv	model.6	1x1_low_resolution	3276800	stable-selected	Stage51 low-resolution E2c rows	18.500000	177.124324	NCHWc8_SPATIAL_INNER_V1
/model.6/m.0/cv2/conv/Conv	model.6	1x1_low_resolution	3276800	stable-selected	Stage51 low-resolution E2c rows	18.500000	177.124324	NCHWc8_SPATIAL_INNER_V1
/model.6/m.0/m/m.0/cv1/conv/Conv	model.6	3x3_stride1	14745600	stable-selected	Stage51 model6 E2c full shape	23.600000	624.813559	NCHWc8_SPATIAL_INNER_V1
/model.6/m.0/m/m.0/cv2/conv/Conv	model.6	3x3_stride1	14745600	stable-selected	Stage51 model6 E2c full shape	23.600000	624.813559	NCHWc8_SPATIAL_INNER_V1
/model.6/m.0/m/m.1/cv1/conv/Conv	model.6	3x3_stride1	14745600	stable-selected	Stage51 model6 E2c full shape	23.600000	624.813559	NCHWc8_SPATIAL_INNER_V1
/model.6/m.0/m/m.1/cv2/conv/Conv	model.6	3x3_stride1	14745600	stable-selected	Stage51 model6 E2c full shape	23.600000	624.813559	NCHWc8_SPATIAL_INNER_V1
/model.6/m.0/cv3/conv/Conv	model.6	1x1_low_resolution	6553600	stable-selected	Stage51 low-resolution E2c rows	18.500000	354.248649	NCHWc8_SPATIAL_INNER_V1
/model.6/cv2/conv/Conv	model.6	1x1_low_resolution	39321600	stable-selected	Stage51 low-resolution E2c rows	18.500000	2125.491892	NCHWc8_SPATIAL_INNER_V1
/model.7/conv/Conv	model.7	3x3_stride2	117964800	stable-selected	Stage51 model5/model7 E2c full shape	65.300000	1806.505360	NCHWc8_SPATIAL_INNER_V1
/model.8/cv1/conv/Conv	model.8	1x1_low_resolution	26214400	stable-selected	Stage51 low-resolution E2c rows	18.500000	1416.994595	NCHWc8_SPATIAL_INNER_V1
/model.8/m.0/cv1/conv/Conv	model.8	1x1_low_resolution	3276800	stable-selected	Stage51 low-resolution E2c rows	18.500000	177.124324	NCHWc8_SPATIAL_INNER_V1
/model.8/m.0/cv2/conv/Conv	model.8	1x1_low_resolution	3276800	stable-selected	Stage51 low-resolution E2c rows	18.500000	177.124324	NCHWc8_SPATIAL_INNER_V1
/model.8/m.0/m/m.0/cv1/conv/Conv	model.8	3x3_stride1	14745600	stable-selected	Stage51 model6 E2c full shape	23.600000	624.813559	NCHWc8_SPATIAL_INNER_V1
/model.8/m.0/m/m.0/cv2/conv/Conv	model.8	3x3_stride1	14745600	stable-selected	Stage51 model6 E2c full shape	23.600000	624.813559	NCHWc8_SPATIAL_INNER_V1
/model.8/m.0/m/m.1/cv1/conv/Conv	model.8	3x3_stride1	14745600	stable-selected	Stage51 model6 E2c full shape	23.600000	624.813559	NCHWc8_SPATIAL_INNER_V1
/model.8/m.0/m/m.1/cv2/conv/Conv	model.8	3x3_stride1	14745600	stable-selected	Stage51 model6 E2c full shape	23.600000	624.813559	NCHWc8_SPATIAL_INNER_V1
/model.8/m.0/cv3/conv/Conv	model.8	1x1_low_resolution	6553600	stable-selected	Stage51 low-resolution E2c rows	18.500000	354.248649	NCHWc8_SPATIAL_INNER_V1
