graph_index	node_name	block	op_type	input_shape	output_shape	kernel	stride	padding	group	M	N	K	MACs	weight_bytes	activation_bytes	M_mod_4	M_mod_8	M_mod_12	N_mod_16	N_mod_32	K_padding_to_8	candidate_layout	candidate_kernel_class	shape_class
255	/model.0/conv/Conv	model.0	Conv	1x3x640x640	1x16x320x320	3x3	2x2	1x1	1	102400	16	27	44236800	432	11468800	0	0	4	0	16	5	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride2
262	/model.1/conv/Conv	model.1	Conv	1x16x320x320	1x32x160x160	3x3	2x2	1x1	1	25600	32	144	117964800	4608	9830400	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride2
269	/model.2/cv1/conv/Conv	model.2	Conv	1x32x160x160	1x32x160x160	1x1	1x1	0x0	1	25600	32	32	26214400	1024	6553600	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_high_resolution
277	/model.2/m.0/cv1/conv/Conv	model.2	Conv	1x16x160x160	1x8x160x160	3x3	1x1	1x1	1	25600	8	144	29491200	1152	2457600	0	0	4	8	8	0	resident_NHWC16_signed_s8	m4n16_n_tail	small_n_head_conv
284	/model.2/m.0/cv2/conv/Conv	model.2	Conv	1x8x160x160	1x16x160x160	3x3	1x1	1x1	1	25600	16	72	29491200	1152	2457600	0	0	4	0	16	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride1
293	/model.2/cv2/conv/Conv	model.2	Conv	1x48x160x160	1x64x160x160	1x1	1x1	0x0	1	25600	64	48	78643200	3072	11468800	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_high_resolution
300	/model.3/conv/Conv	model.3	Conv	1x64x160x160	1x64x80x80	3x3	2x2	1x1	1	6400	64	576	235929600	36864	8192000	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride2
307	/model.4/cv1/conv/Conv	model.4	Conv	1x64x80x80	1x64x80x80	1x1	1x1	0x0	1	6400	64	64	26214400	4096	3276800	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_high_resolution
315	/model.4/m.0/cv1/conv/Conv	model.4	Conv	1x32x80x80	1x16x80x80	3x3	1x1	1x1	1	6400	16	288	29491200	4608	1228800	0	0	4	0	16	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride1
322	/model.4/m.0/cv2/conv/Conv	model.4	Conv	1x16x80x80	1x32x80x80	3x3	1x1	1x1	1	6400	32	144	29491200	4608	1228800	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride1
331	/model.4/cv2/conv/Conv	model.4	Conv	1x96x80x80	1x128x80x80	1x1	1x1	0x0	1	6400	128	96	78643200	12288	5734400	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_high_resolution
338	/model.5/conv/Conv	model.5	Conv	1x128x80x80	1x128x40x40	3x3	2x2	1x1	1	1600	128	1152	235929600	147456	4096000	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride2
345	/model.6/cv1/conv/Conv	model.6	Conv	1x128x40x40	1x128x40x40	1x1	1x1	0x0	1	1600	128	128	26214400	16384	1638400	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_low_resolution
