surface	repeat	run	wall_us	process_cpu_us
custom_region_current	0	0	3501.86	12923.4
custom_region_current	0	1	3449.98	12837.0
custom_region_current	0	2	3432.78	12837.0
custom_region_current	0	3	3450.32	12847.0
custom_region_current	0	4	3416.19	12775.5
custom_region_current	0	5	3424.36	12819.1
custom_region_current	0	6	3463.48	12836.9
custom_region_current	0	7	3444.94	12841.0
custom_region_current	0	8	3453.07	12851.1
custom_region_current	0	9	3445.32	12865.8
custom_region_current	0	10	3447.94	12837.1
custom_region_current	0	11	3439.94	12857.5
custom_region_current	0	12	3455.57	12884.8
custom_region_current	0	13	4821.12	13071.5
custom_region_current	0	14	3540.19	13094.5
custom_region_current	0	15	3455.53	12897.0
custom_region_current	0	16	3452.57	12847.5
custom_region_current	0	17	3441.23	12808.5
custom_region_current	0	18	3467.44	12922.0
custom_region_current	0	19	3407.48	12532.2
custom_region_current	0	20	3399.94	12709.5
custom_region_current	0	21	3478.69	12914.3
custom_region_current	0	22	3488.32	12912.5
custom_region_current	0	23	3417.32	12825.2
custom_region_current	0	24	3465.65	12867.5
custom_region_current	0	25	3435.82	12463.8
custom_region_current	0	26	3466.32	12932.0
custom_region_current	0	27	3527.15	12964.0
custom_region_current	0	28	3440.44	12738.0
custom_region_current	0	29	3450.94	12830.1
custom_region_current	0	30	3418.82	12779.0
custom_region_current	0	31	3447.44	12854.3
custom_region_current	0	32	3452.57	12159.9
custom_region_current	0	33	3480.19	12981.5
custom_region_current	0	34	3480.32	12798.2
custom_region_current	0	35	3392.57	12639.8
custom_region_current	0	36	3457.57	12841.7
custom_region_current	0	37	3450.82	12829.7
custom_region_current	0	38	3484.32	12863.1
custom_region_current	0	39	3419.19	12784.0
custom_region_current	0	40	3535.78	13038.1
custom_region_current	0	41	3478.23	12873.8
custom_region_current	0	42	3475.48	12839.2
custom_region_current	0	43	3380.73	12651.8
custom_region_current	0	44	3453.28	12558.1
custom_region_current	0	45	3485.4	12853.2
custom_region_current	0	46	3500.57	12905.3
custom_region_current	0	47	3456.77	12868.9
custom_region_current	0	48	3515.65	12991.4
custom_region_current	0	49	3461.78	12881.0
custom_region_current	0	50	3504.48	12888.1
custom_region_current	0	51	3421.28	12853.8
custom_region_current	0	52	3464.94	12926.0
custom_region_current	0	53	3496.98	13018.5
custom_region_current	0	54	3471.28	12860.9
custom_region_current	0	55	3447.73	12831.5
custom_region_current	0	56	3440.82	12870.9
custom_region_current	0	57	3445.44	12909.6
custom_region_current	0	58	3467.44	12924.0
custom_region_current	0	59	3470.98	12805.8
custom_region_current	0	60	3460.27	12890.0
custom_region_current	0	61	3425.61	12813.8
custom_region_current	0	62	3488.69	12900.0
custom_region_current	0	63	3637.48	13115.1
custom_region_current	0	64	3485.65	12934.3
custom_region_current	0	65	3496.61	12885.4
custom_region_current	0	66	3451.57	12859.0
custom_region_current	0	67	3422.19	12680.6
custom_region_current	0	68	3530.11	12920.5
custom_region_current	0	69	3499.57	12839.1
custom_region_current	0	70	3454.65	12795.5
custom_region_current	0	71	3491.65	12845.8
custom_region_current	0	72	3458.48	12933.3
custom_region_current	0	73	3444.78	12905.1
custom_region_current	0	74	3494.44	12930.6
custom_region_current	0	75	3443.94	12440.7
custom_region_current	0	76	3442.86	12872.5
custom_region_current	0	77	3449.36	12792.3
custom_region_current	0	78	3462.98	12882.8
custom_region_current	0	79	3489.94	12974.6
custom_region_current	0	80	3445.11	12905.4
custom_region_current	0	81	3450.11	12913.3
custom_region_current	0	82	3467.94	12906.3
custom_region_current	0	83	3374.48	12623.0
custom_region_current	0	84	3457.94	12835.0
custom_region_current	0	85	3453.57	12577.4
custom_region_current	0	86	3481.48	12914.1
custom_region_current	0	87	3498.03	12958.3
custom_region_current	0	88	3472.15	12925.1
custom_region_current	0	89	3442.69	12887.2
custom_region_current	0	90	3495.15	12835.4
custom_region_current	0	91	3425.44	12666.2
custom_region_current	0	92	3448.4	12740.4
custom_region_current	0	93	3433.98	12827.6
custom_region_current	0	94	3403.48	12739.8
custom_region_current	0	95	3464.4	12909.0
custom_region_current	0	96	3506.73	12896.3
custom_region_current	0	97	3452.36	12870.3
custom_region_current	0	98	3452.03	12838.2
custom_region_current	0	99	3443.36	12834.8
custom_region_current	1	0	3485.78	12864.2
custom_region_current	1	1	3438.28	12833.0
custom_region_current	1	2	3517.82	12935.6
custom_region_current	1	3	3465.4	12834.5
custom_region_current	1	4	3493.19	12871.2
custom_region_current	1	5	3459.94	12817.3
custom_region_current	1	6	3401.32	12735.3
custom_region_current	1	7	3479.65	12911.4
custom_region_current	1	8	3492.4	12850.4
custom_region_current	1	9	3421.57	12799.7
custom_region_current	1	10	3513.9	13038.0
custom_region_current	1	11	3427.65	12821.3
custom_region_current	1	12	3423.9	12792.2
custom_region_current	1	13	3488.53	12850.8
custom_region_current	1	14	3429.48	12753.0
custom_region_current	1	15	3445.61	12817.5
custom_region_current	1	16	3478.28	12878.2
custom_region_current	1	17	3479.28	12926.6
custom_region_current	1	18	3453.82	12913.0
custom_region_current	1	19	3466.52	12829.2
custom_region_current	1	20	3472.53	12867.4
custom_region_current	1	21	3387.03	12648.5
custom_region_current	1	22	3402.86	12680.6
custom_region_current	1	23	3404.86	12397.3
custom_region_current	1	24	3448.57	12767.3
custom_region_current	1	25	3407.86	12852.6
custom_region_current	1	26	3456.82	12871.5
custom_region_current	1	27	3472.69	12945.6
custom_region_current	1	28	3456.53	12855.0
custom_region_current	1	29	3476.19	12810.7
custom_region_current	1	30	3529.03	12897.3
custom_region_current	1	31	3448.86	12842.4
custom_region_current	1	32	3581.57	12994.7
custom_region_current	1	33	3446.73	12799.2
custom_region_current	1	34	3486.44	12902.0
custom_region_current	1	35	3420.53	12450.7
custom_region_current	1	36	3438.36	12780.0
custom_region_current	1	37	3436.69	12758.5
custom_region_current	1	38	3457.98	12872.5
custom_region_current	1	39	3492.53	12902.7
custom_region_current	1	40	3434.61	12830.8
