surface	event	worker_counter	status	errno	count	time_enabled	time_running	scale
model5	cycles	0	available	0	20075419	12565250	12565250	1
model5	cycles	1	available	0	21085832	13200668	13200668	1
model5	cycles	2	available	0	19768562	12371833	12371833	1
model5	cycles	3	available	0	19435786	12149959	12149959	1
slice	cycles	0	available	0	132949578	1399924635	1399924635	1
slice	cycles	1	available	0	141383152	1466696643	1466696643	1
slice	cycles	2	available	0	131082164	1378352545	1378352545	1
slice	cycles	3	available	0	127831726	1335512062	1335512062	1
op2	cycles	0	available	0	16072196	10056791	10056791	1
op2	cycles	1	available	0	16718430	10465624	10465624	1
op2	cycles	2	available	0	16436172	10289458	10289458	1
op2	cycles	3	available	0	16509841	10334292	10334292	1
op5	cycles	0	available	0	4503993	2831541	2831541	1
op5	cycles	1	available	0	4653069	2926792	2926792	1
op5	cycles	2	available	0	4544540	2857875	2857875	1
op5	cycles	3	available	0	4590037	2883042	2883042	1
op0	cycles	0	available	0	574006	371333	371333	1
op0	cycles	1	available	0	573807	371374	371374	1
op0	cycles	2	available	0	577440	374958	374958	1
op0	cycles	3	available	0	577577	374833	374833	1
op7	cycles	0	available	0	268723	186292	186292	1
op7	cycles	1	available	0	268705	184334	184334	1
op7	cycles	2	available	0	278388	192458	192458	1
op7	cycles	3	available	0	264618	181375	181375	1
op11	cycles	0	available	0	0	0	0	0
op11	cycles	1	available	0	0	0	0	0
op11	cycles	2	available	0	0	0	0	0
op11	cycles	3	available	0	0	0	0	0
model5	instructions	0	available	0	13056042	12255543	12255543	1
model5	instructions	1	available	0	13420394	12812750	12812750	1
model5	instructions	2	available	0	12937037	12527292	12527292	1
model5	instructions	3	available	0	13163463	12614749	12614749	1
slice	instructions	0	available	0	90111250	1399576264	1399576264	1
slice	instructions	1	available	0	95684172	1477122683	1477122683	1
slice	instructions	2	available	0	89969893	1391955740	1391955740	1
slice	instructions	3	available	0	92351616	1344950824	1344950824	1
op2	instructions	0	available	0	11258733	10031000	10031000	1
op2	instructions	1	available	0	11600488	10496667	10496667	1
op2	instructions	2	available	0	11261928	10285625	10285625	1
