surface	repeat	run	wall_us	process_cpu_us
E1_model5_M12	0	0	4701.94	18486.8
E1_model5_M12	0	1	4750.15	18435.4
E1_model5_M12	0	2	4891.94	18774.5
E1_model5_M12	0	3	4731.61	18492.3
E1_model5_M12	0	4	4841.23	18792.7
E1_model5_M12	0	5	4759.4	18583.7
E1_model5_M12	0	6	4827.02	18761.4
E1_model5_M12	0	7	4804.61	18760.6
E1_model5_M12	0	8	4834.36	18626.3
E1_model5_M12	0	9	4936.7	19067.4
E1_model5_M12	0	10	4777.9	18559.4
E1_model5_M12	0	11	4873.07	18902.5
E1_model5_M12	0	12	4823.11	18944.4
E1_model5_M12	0	13	4777.77	18617.2
E1_model5_M12	0	14	4841.28	18814.2
E1_model5_M12	0	15	4817.73	18557.5
E1_model5_M12	0	16	4802.57	18647.2
E1_model5_M12	0	17	4817.23	18703.4
E1_model5_M12	0	18	4861.98	18790.6
E1_model5_M12	0	19	4831.19	18789.0
E1_model5_M12	0	20	4737.02	18503.6
E1_model5_M12	0	21	4784.07	18480.0
E1_model5_M12	0	22	4755.31	18462.8
E1_model5_M12	0	23	4808.15	18816.3
E1_model5_M12	0	24	4755.81	18574.2
E1_model5_M12	0	25	4761.36	18618.4
E1_model5_M12	0	26	4826.44	18770.3
E1_model5_M12	0	27	4792.27	18600.8
E1_model5_M12	0	28	4836.65	18748.7
E1_model5_M12	0	29	4761.36	18512.6
E1_model5_M12	0	30	4813.57	18684.5
E1_model5_M12	0	31	4736.4	18509.2
E1_model5_M12	0	32	4794.15	18661.0
E1_model5_M12	0	33	4863.94	18633.5
E1_model5_M12	0	34	4795.61	18659.6
E1_model5_M12	0	35	4820.48	18668.2
E1_model5_M12	0	36	4900.24	18976.7
E1_model5_M12	0	37	4742.02	18459.6
E1_model5_M12	0	38	4714.69	18387.0
E1_model5_M12	0	39	4810.52	18795.0
E1_model5_M12	0	40	4835.27	18772.8
E1_model5_M12	0	41	4733.61	18471.5
E1_model5_M12	0	42	4991.2	18702.5
E1_model5_M12	0	43	4867.48	18967.9
E1_model5_M12	0	44	4745.98	18518.7
E1_model5_M12	0	45	4844.65	18835.1
E1_model5_M12	0	46	4847.69	18829.2
E1_model5_M12	0	47	4822.27	18753.5
E1_model5_M12	0	48	4892.65	19025.6
E1_model5_M12	0	49	4798.23	18696.0
E1_model5_M12	0	50	4746.52	18467.8
E1_model5_M12	0	51	4820.69	18659.2
E1_model5_M12	0	52	4797.44	18622.7
E1_model5_M12	0	53	4837.9	18801.2
E1_model5_M12	0	54	4764.02	18591.8
E1_model5_M12	0	55	4761.94	18554.3
E1_model5_M12	0	56	4762.69	18468.9
E1_model5_M12	0	57	4818.11	18777.8
E1_model5_M12	0	58	4764.27	18607.6
E1_model5_M12	0	59	4761.61	18507.3
E1_model5_M12	0	60	4808.61	18753.8
E1_model5_M12	0	61	4795.19	18687.7
E1_model5_M12	0	62	4827.15	18807.3
E1_model5_M12	0	63	4846.53	18963.8
E1_model5_M12	0	64	4774.69	18600.4
E1_model5_M12	0	65	4935.57	18851.3
E1_model5_M12	0	66	4769.23	18575.7
E1_model5_M12	0	67	4767.48	18442.5
E1_model5_M12	0	68	4836.65	18587.0
E1_model5_M12	0	69	4839.57	18904.8
E1_model5_M12	0	70	4817.44	18663.3
E1_model5_M12	0	71	4853.86	18862.2
E1_model5_M12	0	72	5695.64	19731.5
E1_model5_M12	0	73	7202.39	20970.5
E1_model5_M12	0	74	4934.32	19116.4
E1_model5_M12	0	75	4775.27	18359.8
E1_model5_M12	0	76	4813.36	18747.0
E1_model5_M12	0	77	4848.94	18828.7
E1_model5_M12	0	78	4849.73	18867.3
E1_model5_M12	0	79	4783.32	18561.1
E1_model5_M12	0	80	4756.98	18683.5
E1_model5_M12	0	81	4836.61	18721.5
E1_model5_M12	0	82	4804.27	18729.4
E1_model5_M12	0	83	4755.94	18394.9
E1_model5_M12	0	84	4779.69	18505.2
E1_model5_M12	0	85	4791.4	18749.2
E1_model5_M12	0	86	4780.02	18773.3
E1_model5_M12	0	87	4760.31	18504.0
E1_model5_M12	0	88	4819.69	18796.3
E1_model5_M12	0	89	4795.32	18675.7
E1_model5_M12	0	90	4742.94	18461.0
E1_model5_M12	0	91	4732.61	18521.2
E1_model5_M12	0	92	4745.61	18632.7
E1_model5_M12	0	93	4796.11	18716.4
E1_model5_M12	0	94	4764.69	18532.3
E1_model5_M12	0	95	4790.73	18710.1
E1_model5_M12	0	96	4816.69	18764.5
E1_model5_M12	0	97	4797.02	18562.4
E1_model5_M12	0	98	4778.32	18572.7
E1_model5_M12	0	99	4809.9	18714.7
E1_model5_M12	1	0	4864.48	18885.2
