surface	repeat	run	wall_us	process_cpu_us
stage50_final_model5	0	0	4847.18	18920.8
stage50_final_model5	0	1	4895.39	18978.3
stage50_final_model5	0	2	4817.97	18558.5
stage50_final_model5	0	3	4808.22	18711.8
stage50_final_model5	0	4	4845.51	18794.6
stage50_final_model5	0	5	4885.02	18928.4
stage50_final_model5	0	6	4839.85	18645.6
stage50_final_model5	0	7	4723.63	18326.2
stage50_final_model5	0	8	4810.14	18654.4
stage50_final_model5	0	9	4717.71	18538.7
stage50_final_model5	0	10	4753.55	18449.2
stage50_final_model5	0	11	4756.76	18448.9
stage50_final_model5	0	12	4784.93	18662.3
stage50_final_model5	0	13	4771.22	18607.4
stage50_final_model5	0	14	4920.19	18976.4
stage50_final_model5	0	15	4850.01	18843.0
stage50_final_model5	0	16	4796.01	18553.8
stage50_final_model5	0	17	4885.14	18924.5
stage50_final_model5	0	18	4777.47	18483.5
stage50_final_model5	0	19	4783.72	18468.3
stage50_final_model5	0	20	4791.63	18555.2
stage50_final_model5	0	21	4846.47	18959.6
stage50_final_model5	0	22	4823.55	18732.8
stage50_final_model5	0	23	4749.21	18364.0
stage50_final_model5	0	24	4800.47	18604.1
stage50_final_model5	0	25	4875.68	18939.0
stage50_final_model5	0	26	4864.97	18872.3
stage50_final_model5	0	27	4859.85	18637.3
stage50_final_model5	0	28	4816.6	18697.2
stage50_final_model5	0	29	4785.22	18635.2
stage50_final_model5	0	30	4691.25	18345.7
stage50_final_model5	0	31	4896.89	19043.1
stage50_final_model5	0	32	4768.34	18713.9
stage50_final_model5	0	33	4788.38	18705.7
stage50_final_model5	0	34	4767.17	18583.4
stage50_final_model5	0	35	4864.52	18875.0
stage50_final_model5	0	36	4807.89	18548.7
stage50_final_model5	0	37	4792.88	18454.1
stage50_final_model5	0	38	4760.51	18494.3
stage50_final_model5	0	39	4814.47	18570.6
stage50_final_model5	0	40	4870.06	18889.0
stage50_final_model5	0	41	4904.6	18774.2
stage50_final_model5	0	42	4816.89	18663.0
stage50_final_model5	0	43	4758.92	18719.5
stage50_final_model5	0	44	5404.52	19323.7
stage50_final_model5	0	45	5135.29	18937.5
stage50_final_model5	0	46	4929.56	19094.9
stage50_final_model5	0	47	4858.97	18786.4
stage50_final_model5	0	48	4803.97	18761.2
stage50_final_model5	0	49	4777.3	18579.5
stage50_final_model5	0	50	4765.13	18494.9
stage50_final_model5	0	51	4733.21	18376.1
stage50_final_model5	0	52	4836.97	18769.5
stage50_final_model5	0	53	4838.35	18692.1
stage50_final_model5	0	54	4824.89	18758.5
stage50_final_model5	0	55	4781.51	18866.2
stage50_final_model5	0	56	4992.94	19270.5
stage50_final_model5	0	57	4920.48	19097.9
stage50_final_model5	0	58	4776.76	18701.4
stage50_final_model5	0	59	4855.89	18729.9
stage50_final_model5	0	60	4914.85	19025.3
stage50_final_model5	0	61	4808.34	18777.2
stage50_final_model5	0	62	4915.85	19038.1
stage50_final_model5	0	63	4809.72	18831.4
stage50_final_model5	0	64	4781.88	18643.4
stage50_final_model5	0	65	4775.51	18725.3
stage50_final_model5	0	66	4835.51	18812.9
stage50_final_model5	0	67	4775.92	18518.8
stage50_final_model5	0	68	4781.42	18557.2
stage50_final_model5	0	69	4765.09	18461.4
stage50_final_model5	0	70	4717.34	18484.3
stage50_final_model5	0	71	4783.17	18547.5
stage50_final_model5	0	72	4792.22	18438.4
stage50_final_model5	0	73	4825.43	18838.6
stage50_final_model5	0	74	4796.3	18608.2
stage50_final_model5	0	75	4773.97	18503.2
stage50_final_model5	0	76	4838.47	18825.0
stage50_final_model5	0	77	4735.46	18587.4
stage50_final_model5	0	78	4822.34	18705.5
stage50_final_model5	0	79	4841.97	18736.0
stage50_final_model5	0	80	4804.8	18669.8
stage50_final_model5	0	81	4812.55	18746.7
stage50_final_model5	0	82	4897.98	18933.0
stage50_final_model5	0	83	4774.84	18511.3
stage50_final_model5	0	84	4856.47	18758.7
stage50_final_model5	0	85	4714.25	18441.6
stage50_final_model5	0	86	4857.14	18882.8
stage50_final_model5	0	87	4728.25	18489.2
stage50_final_model5	0	88	4924.31	19042.1
stage50_final_model5	0	89	4701.21	18272.3
stage50_final_model5	0	90	4825.93	18684.6
stage50_final_model5	0	91	4827.64	18729.9
stage50_final_model5	0	92	4860.56	18762.7
stage50_final_model5	0	93	4745.46	18444.2
stage50_final_model5	0	94	4895.6	18990.3
stage50_final_model5	0	95	4784.42	18617.9
stage50_final_model5	0	96	4749.51	18487.0
stage50_final_model5	0	97	4727.71	18400.7
stage50_final_model5	0	98	4801.26	18709.3
stage50_final_model5	0	99	4802.43	18779.7
stage50_final_model5	1	0	4757.8	18678.7
stage50_final_model5	1	1	4837.93	18767.0
stage50_final_model5	1	2	4785.55	18712.3
stage50_final_model5	1	3	4783.63	18696.8
stage50_final_model5	1	4	4789.38	18569.8
stage50_final_model5	1	5	4788.38	18630.7
stage50_final_model5	1	6	4831.51	18804.1
stage50_final_model5	1	7	4717.42	18317.6
stage50_final_model5	1	8	4820.39	18781.0
stage50_final_model5	1	9	4713.38	18548.2
stage50_final_model5	1	10	4914.19	19100.9
stage50_final_model5	1	11	4803.18	18666.9
stage50_final_model5	1	12	4805.68	18592.6
stage50_final_model5	1	13	4865.72	18798.2
stage50_final_model5	1	14	4756.17	18579.9
stage50_final_model5	1	15	4793.84	18859.2
stage50_final_model5	1	16	4848.51	18946.3
stage50_final_model5	1	17	4792.88	18635.8
stage50_final_model5	1	18	4829.76	18765.8
stage50_final_model5	1	19	4758.17	18470.0
stage50_final_model5	1	20	4800.05	18435.2
stage50_final_model5	1	21	4815.68	18548.0
stage50_final_model5	1	22	4796.51	18505.8
stage50_final_model5	1	23	4867.02	18774.9
stage50_final_model5	1	24	4867.72	18840.5
stage50_final_model5	1	25	4832.05	18830.4
stage50_final_model5	1	26	4744.05	18396.5
stage50_final_model5	1	27	4893.85	18960.5
stage50_final_model5	1	28	4836.76	18501.7
stage50_final_model5	1	29	4800.93	18744.7
stage50_final_model5	1	30	4722.0	18485.1
stage50_final_model5	1	31	4757.26	18578.3
stage50_final_model5	1	32	4784.13	18734.7
stage50_final_model5	1	33	4777.01	18491.8
stage50_final_model5	1	34	4795.43	18444.0
stage50_final_model5	1	35	4844.6	18945.1
stage50_final_model5	1	36	4773.01	18479.8
stage50_final_model5	1	37	4823.72	18745.2
stage50_final_model5	1	38	4810.09	18553.9
stage50_final_model5	1	39	4824.43	18822.4
stage50_final_model5	1	40	4731.54	18536.3
stage50_final_model5	1	41	4918.02	19025.9
stage50_final_model5	1	42	4757.84	18418.3
stage50_final_model5	1	43	4776.76	18379.1
stage50_final_model5	1	44	4737.71	18565.7
stage50_final_model5	1	45	4822.05	18734.7
stage50_final_model5	1	46	4882.68	18960.1
stage50_final_model5	1	47	4850.68	18814.9
stage50_final_model5	1	48	4796.18	18646.5
stage50_final_model5	1	49	4919.9	19042.3
stage50_final_model5	1	50	4827.55	18637.0
stage50_final_model5	1	51	4731.8	18631.5
stage50_final_model5	1	52	4712.13	18490.8
stage50_final_model5	1	53	4806.59	18721.1
stage50_final_model5	1	54	4754.21	18499.5
stage50_final_model5	1	55	4794.09	18700.4
stage50_final_model5	1	56	4783.47	18684.4
stage50_final_model5	1	57	4841.64	18733.4
stage50_final_model5	1	58	4835.26	18857.2
stage50_final_model5	1	59	4719.21	18448.1
stage50_final_model5	1	60	4751.55	18566.1
stage50_final_model5	1	61	4700.67	18535.8
stage50_final_model5	1	62	4704.38	18394.6
stage50_final_model5	1	63	4787.01	18539.5
stage50_final_model5	1	64	4778.88	18729.0
stage50_final_model5	1	65	4780.59	18694.0
stage50_final_model5	1	66	4836.89	18669.4
stage50_final_model5	1	67	4739.71	18572.6
stage50_final_model5	1	68	4908.81	19023.3
stage50_final_model5	1	69	4784.01	18568.2
stage50_final_model5	1	70	4803.97	18522.2
stage50_final_model5	1	71	4762.34	18437.7
stage50_final_model5	1	72	4748.55	18424.2
stage50_final_model5	1	73	4741.5	18394.7
stage50_final_model5	1	74	4728.67	18386.3
stage50_final_model5	1	75	4786.01	18644.3
stage50_final_model5	1	76	4817.64	18662.6
stage50_final_model5	1	77	4821.76	18706.0
stage50_final_model5	1	78	4873.39	18783.3
stage50_final_model5	1	79	4775.09	18557.7
stage50_final_model5	1	80	4851.81	18791.1
stage50_final_model5	1	81	4765.13	18480.4
stage50_final_model5	1	82	4793.01	18557.4
stage50_final_model5	1	83	4805.39	18742.0
stage50_final_model5	1	84	4852.22	18807.2
stage50_final_model5	1	85	4881.14	18884.5
stage50_final_model5	1	86	4725.46	18457.0
stage50_final_model5	1	87	4771.01	18511.0
stage50_final_model5	1	88	4879.64	18858.8
stage50_final_model5	1	89	4815.84	18663.4
stage50_final_model5	1	90	4811.14	18676.3
stage50_final_model5	1	91	4779.47	18526.9
stage50_final_model5	1	92	4863.81	18893.5
stage50_final_model5	1	93	4784.55	18534.3
stage50_final_model5	1	94	4846.01	18889.3
stage50_final_model5	1	95	4797.26	18567.7
stage50_final_model5	1	96	4873.43	18997.9
stage50_final_model5	1	97	4817.84	18732.9
stage50_final_model5	1	98	4894.48	18953.0
stage50_final_model5	1	99	4797.8	18576.5
stage50_final_model5	2	0	4753.17	18567.0
stage50_final_model5	2	1	4883.73	18823.4
stage50_final_model5	2	2	4812.72	18671.1
stage50_final_model5	2	3	4906.52	19059.8
stage50_final_model5	2	4	4936.52	18982.8
stage50_final_model5	2	5	4823.93	18635.7
stage50_final_model5	2	6	4795.76	18651.8
stage50_final_model5	2	7	4748.92	18557.0
stage50_final_model5	2	8	4786.97	18563.4
stage50_final_model5	2	9	4785.05	18442.1
stage50_final_model5	2	10	4918.44	19055.8
stage50_final_model5	2	11	4766.59	18497.0
stage50_final_model5	2	12	4779.34	18663.2
stage50_final_model5	2	13	4824.59	18573.5
stage50_final_model5	2	14	4773.13	18449.8
stage50_final_model5	2	15	4820.34	18825.4
stage50_final_model5	2	16	4746.84	18421.9
stage50_final_model5	2	17	4793.47	18695.5
stage50_final_model5	2	18	4839.89	18671.5
stage50_final_model5	2	19	4907.48	18967.0
stage50_final_model5	2	20	4778.22	18548.8
stage50_final_model5	2	21	4882.43	18860.0
stage50_final_model5	2	22	4743.67	18358.3
stage50_final_model5	2	23	4755.84	18463.6
stage50_final_model5	2	24	4800.84	18601.0
stage50_final_model5	2	25	4825.43	18719.1
stage50_final_model5	2	26	4874.97	18887.4
stage50_final_model5	2	27	4944.48	18927.5
stage50_final_model5	2	28	4788.88	18507.2
stage50_final_model5	2	29	4731.55	18402.0
stage50_final_model5	2	30	4844.93	18826.0
stage50_final_model5	2	31	4742.96	18366.9
stage50_final_model5	2	32	4801.3	18524.8
stage50_final_model5	2	33	4710.71	18463.8
stage50_final_model5	2	34	4809.18	18614.3
stage50_final_model5	2	35	4742.96	18432.7
stage50_final_model5	2	36	4858.68	18835.9
stage50_final_model5	2	37	4912.64	18935.1
stage50_final_model5	2	38	4815.51	18726.4
stage50_final_model5	2	39	4773.13	18463.4
stage50_final_model5	2	40	4738.38	18525.0
stage50_final_model5	2	41	4822.14	18832.3
stage50_final_model5	2	42	4869.43	18906.9
stage50_final_model5	2	43	4839.1	18627.7
stage50_final_model5	2	44	4749.38	18450.1
stage50_final_model5	2	45	4753.46	18509.1
stage50_final_model5	2	46	4892.85	18978.0
stage50_final_model5	2	47	4866.85	18892.0
stage50_final_model5	2	48	4827.14	18783.7
stage50_final_model5	2	49	4766.26	18477.2
stage50_final_model5	2	50	4762.71	18659.5
stage50_final_model5	2	51	4751.25	18425.0
stage50_final_model5	2	52	4802.22	18575.2
stage50_final_model5	2	53	4827.76	18614.2
stage50_final_model5	2	54	4784.88	18525.7
stage50_final_model5	2	55	4873.39	18883.9
stage50_final_model5	2	56	4764.67	18509.5
stage50_final_model5	2	57	5267.05	18797.8
stage50_final_model5	2	58	4881.52	18942.4
stage50_final_model5	2	59	4748.84	18403.2
stage50_final_model5	2	60	4907.64	19026.7
stage50_final_model5	2	61	4801.93	18596.2
stage50_final_model5	2	62	4826.14	18720.5
stage50_final_model5	2	63	4772.96	18515.2
stage50_final_model5	2	64	4817.84	18760.0
stage50_final_model5	2	65	4868.93	18918.1
stage50_final_model5	2	66	4747.05	18394.0
stage50_final_model5	2	67	4786.22	18582.8
stage50_final_model5	2	68	4788.09	18692.7
stage50_final_model5	2	69	4809.63	18663.4
stage50_final_model5	2	70	4800.8	18621.3
stage50_final_model5	2	71	4769.55	18627.4
stage50_final_model5	2	72	4788.09	18481.1
stage50_final_model5	2	73	4826.84	18620.2
stage50_final_model5	2	74	4724.54	18458.5
stage50_final_model5	2	75	4859.26	18852.8
stage50_final_model5	2	76	4862.22	18882.4
stage50_final_model5	2	77	4804.47	18676.5
stage50_final_model5	2	78	4819.26	18601.8
stage50_final_model5	2	79	4822.05	18689.2
stage50_final_model5	2	80	4937.19	18964.0
stage50_final_model5	2	81	4813.76	18563.1
stage50_final_model5	2	82	4802.22	18531.2
stage50_final_model5	2	83	4782.26	18492.3
stage50_final_model5	2	84	4771.59	18571.0
stage50_final_model5	2	85	4719.59	18471.0
stage50_final_model5	2	86	4794.51	18767.2
stage50_final_model5	2	87	4809.13	18601.9
stage50_final_model5	2	88	4878.35	18922.9
stage50_final_model5	2	89	4812.34	18778.3
stage50_final_model5	2	90	4858.85	18798.1
stage50_final_model5	2	91	4872.97	18912.0
stage50_final_model5	2	92	4741.34	18440.8
stage50_final_model5	2	93	4769.42	18454.8
stage50_final_model5	2	94	4721.67	18386.0
stage50_final_model5	2	95	4800.18	18619.4
stage50_final_model5	2	96	4838.05	18770.0
stage50_final_model5	2	97	4832.39	18789.5
stage50_final_model5	2	98	4792.55	18561.3
stage50_final_model5	2	99	4766.76	18585.4
stage50_final_model5	3	0	4807.05	18403.9
stage50_final_model5	3	1	4821.3	18573.9
stage50_final_model5	3	2	4810.47	18648.3
stage50_final_model5	3	3	4881.02	18926.9
stage50_final_model5	3	4	4775.26	18485.9
stage50_final_model5	3	5	4869.39	18880.3
stage50_final_model5	3	6	4752.34	18631.9
stage50_final_model5	3	7	4773.84	18657.0
stage50_final_model5	3	8	4840.8	18768.6
stage50_final_model5	3	9	4812.38	18783.3
stage50_final_model5	3	10	4763.09	18402.5
stage50_final_model5	3	11	4718.54	18344.1
stage50_final_model5	3	12	4760.92	18491.6
stage50_final_model5	3	13	4831.05	18761.3
stage50_final_model5	3	14	4806.88	18744.0
stage50_final_model5	3	15	4829.01	18714.1
stage50_final_model5	3	16	4836.14	18682.6
stage50_final_model5	3	17	4797.26	18528.0
stage50_final_model5	3	18	4832.76	18711.6
stage50_final_model5	3	19	4906.1	18780.7
stage50_final_model5	3	20	4820.14	18680.0
stage50_final_model5	3	21	4732.21	18556.9
stage50_final_model5	3	22	4850.55	18842.3
stage50_final_model5	3	23	4724.92	18461.5
stage50_final_model5	3	24	4730.54	18398.4
stage50_final_model5	3	25	4854.1	18774.1
stage50_final_model5	3	26	4847.18	18804.7
stage50_final_model5	3	27	4765.26	18450.2
stage50_final_model5	3	28	4868.81	18878.3
stage50_final_model5	3	29	4869.39	18836.7
stage50_final_model5	3	30	4807.8	18619.0
stage50_final_model5	3	31	4848.14	18687.2
stage50_final_model5	3	32	4794.3	18529.0
stage50_final_model5	3	33	4780.13	18542.9
stage50_final_model5	3	34	4826.01	18782.8
stage50_final_model5	3	35	4781.01	18670.8
stage50_final_model5	3	36	4885.64	18978.5
stage50_final_model5	3	37	4725.17	18359.4
stage50_final_model5	3	38	4793.26	18708.0
stage50_final_model5	3	39	4948.73	19232.3
stage50_final_model5	3	40	4881.1	18900.5
stage50_final_model5	3	41	4864.97	18802.5
stage50_final_model5	3	42	4918.27	19101.5
stage50_final_model5	3	43	4890.35	18876.2
stage50_final_model5	3	44	4816.55	18587.9
stage50_final_model5	3	45	4916.52	18851.7
stage50_final_model5	3	46	4822.26	18667.5
stage50_final_model5	3	47	4778.67	18628.8
stage50_final_model5	3	48	4852.06	18763.4
stage50_final_model5	3	49	4757.38	18522.9
stage50_final_model5	3	50	4856.22	18797.6
stage50_final_model5	3	51	4828.72	18610.3
stage50_final_model5	3	52	4756.71	18379.7
stage50_final_model5	3	53	4736.13	18414.7
stage50_final_model5	3	54	4807.18	18806.8
