index	observation	kind	name	model	wall_us	measurement
71	1	conv_dense	/model.10/m/m.0/attn/qkv/conv/Conv	10	931.504	single instrumented diagnostic
72	1	split	/model.10/m/m.0/attn/Split	10	2806.971	single instrumented diagnostic
73	1	split	/model.10/m/m.0/attn/Split	10	4528.021	single instrumented diagnostic
74	1	reshape_split_transpose	/model.10/m/m.0/attn/Transpose	10	2417.386	single instrumented diagnostic
75	1	reshape	/model.10/m/m.0/attn/Reshape_2	10	83.792	single instrumented diagnostic
76	1	matmul	/model.10/m/m.0/attn/MatMul	10	3077.598	single instrumented diagnostic
77	1	conv_grouped	/model.10/m/m.0/attn/pe/conv/Conv	10	5471.692	single instrumented diagnostic
78	1	softmax_transpose	/model.10/m/m.0/attn/Transpose_1	10	16420.161	single instrumented diagnostic
79	1	matmul	/model.10/m/m.0/attn/MatMul_1	10	3326.015	single instrumented diagnostic
80	1	lut2	/model.10/m/m.0/attn/Add_output_0_QuantizeLinear	10	1671.466	single instrumented diagnostic
81	1	conv_dense	/model.10/m/m.0/attn/proj/conv/Conv	10	483.71	single instrumented diagnostic
182	1	conv_dense	/model.22/m.0/m.0.1/attn/qkv/conv/Conv	22	922.504	single instrumented diagnostic
183	1	split	/model.22/m.0/m.0.1/attn/Split	22	2294.177	single instrumented diagnostic
184	1	split	/model.22/m.0/m.0.1/attn/Split	22	4527.604	single instrumented diagnostic
185	1	reshape_split_transpose	/model.22/m.0/m.0.1/attn/Transpose	22	2412.219	single instrumented diagnostic
186	1	reshape	/model.22/m.0/m.0.1/attn/Reshape_2	22	81.084	single instrumented diagnostic
187	1	matmul	/model.22/m.0/m.0.1/attn/MatMul	22	3048.473	single instrumented diagnostic
188	1	conv_grouped	/model.22/m.0/m.0.1/attn/pe/conv/Conv	22	5441.609	single instrumented diagnostic
189	1	softmax_transpose	/model.22/m.0/m.0.1/attn/Transpose_1	22	15240.946	single instrumented diagnostic
190	1	matmul	/model.22/m.0/m.0.1/attn/MatMul_1	22	3467.517	single instrumented diagnostic
191	1	lut2	/model.22/m.0/m.0.1/attn/Add_output_0_QuantizeLinear	22	1630.091	single instrumented diagnostic
192	1	conv_dense	/model.22/m.0/m.0.1/attn/proj/conv/Conv	22	507.753	single instrumented diagnostic
71	2	conv_dense	/model.10/m/m.0/attn/qkv/conv/Conv	10	909.545	single instrumented diagnostic
72	2	split	/model.10/m/m.0/attn/Split	10	2273.719	single instrumented diagnostic
73	2	split	/model.10/m/m.0/attn/Split	10	4605.896	single instrumented diagnostic
74	2	reshape_split_transpose	/model.10/m/m.0/attn/Transpose	10	2413.761	single instrumented diagnostic
75	2	reshape	/model.10/m/m.0/attn/Reshape_2	10	80.667	single instrumented diagnostic
76	2	matmul	/model.10/m/m.0/attn/MatMul	10	3065.431	single instrumented diagnostic
77	2	conv_grouped	/model.10/m/m.0/attn/pe/conv/Conv	10	5471.275	single instrumented diagnostic
78	2	softmax_transpose	/model.10/m/m.0/attn/Transpose_1	10	16352.951	single instrumented diagnostic
79	2	matmul	/model.10/m/m.0/attn/MatMul_1	10	3714.267	single instrumented diagnostic
80	2	lut2	/model.10/m/m.0/attn/Add_output_0_QuantizeLinear	10	1624.799	single instrumented diagnostic
81	2	conv_dense	/model.10/m/m.0/attn/proj/conv/Conv	10	477.085	single instrumented diagnostic
182	2	conv_dense	/model.22/m.0/m.0.1/attn/qkv/conv/Conv	22	924.963	single instrumented diagnostic
183	2	split	/model.22/m.0/m.0.1/attn/Split	22	2299.927	single instrumented diagnostic
184	2	split	/model.22/m.0/m.0.1/attn/Split	22	4614.355	single instrumented diagnostic
185	2	reshape_split_transpose	/model.22/m.0/m.0.1/attn/Transpose	22	2413.72	single instrumented diagnostic
186	2	reshape	/model.22/m.0/m.0.1/attn/Reshape_2	22	83.584	single instrumented diagnostic
187	2	matmul	/model.22/m.0/m.0.1/attn/MatMul	22	3017.431	single instrumented diagnostic
188	2	conv_grouped	/model.22/m.0/m.0.1/attn/pe/conv/Conv	22	5464.942	single instrumented diagnostic
189	2	softmax_transpose	/model.22/m.0/m.0.1/attn/Transpose_1	22	15171.071	single instrumented diagnostic
190	2	matmul	/model.22/m.0/m.0.1/attn/MatMul_1	22	3275.849	single instrumented diagnostic
191	2	lut2	/model.22/m.0/m.0.1/attn/Add_output_0_QuantizeLinear	22	1664.008	single instrumented diagnostic
192	2	conv_dense	/model.22/m.0/m.0.1/attn/proj/conv/Conv	22	489.627	single instrumented diagnostic
71	3	conv_dense	/model.10/m/m.0/attn/qkv/conv/Conv	10	908.546	single instrumented diagnostic
72	3	split	/model.10/m/m.0/attn/Split	10	2306.636	single instrumented diagnostic
73	3	split	/model.10/m/m.0/attn/Split	10	4510.771	single instrumented diagnostic
74	3	reshape_split_transpose	/model.10/m/m.0/attn/Transpose	10	2460.887	single instrumented diagnostic
75	3	reshape	/model.10/m/m.0/attn/Reshape_2	10	82.958	single instrumented diagnostic
76	3	matmul	/model.10/m/m.0/attn/MatMul	10	3065.89	single instrumented diagnostic
77	3	conv_grouped	/model.10/m/m.0/attn/pe/conv/Conv	10	5465.317	single instrumented diagnostic
78	3	softmax_transpose	/model.10/m/m.0/attn/Transpose_1	10	16348.452	single instrumented diagnostic
79	3	matmul	/model.10/m/m.0/attn/MatMul_1	10	3712.643	single instrumented diagnostic
80	3	lut2	/model.10/m/m.0/attn/Add_output_0_QuantizeLinear	10	1619.841	single instrumented diagnostic
81	3	conv_dense	/model.10/m/m.0/attn/proj/conv/Conv	10	470.044	single instrumented diagnostic
182	3	conv_dense	/model.22/m.0/m.0.1/attn/qkv/conv/Conv	22	926.463	single instrumented diagnostic
183	3	split	/model.22/m.0/m.0.1/attn/Split	22	2314.885	single instrumented diagnostic
184	3	split	/model.22/m.0/m.0.1/attn/Split	22	4447.812	single instrumented diagnostic
185	3	reshape_split_transpose	/model.22/m.0/m.0.1/attn/Transpose	22	2516.387	single instrumented diagnostic
186	3	reshape	/model.22/m.0/m.0.1/attn/Reshape_2	22	83.917	single instrumented diagnostic
187	3	matmul	/model.22/m.0/m.0.1/attn/MatMul	22	3055.431	single instrumented diagnostic
188	3	conv_grouped	/model.22/m.0/m.0.1/attn/pe/conv/Conv	22	5450.109	single instrumented diagnostic
189	3	softmax_transpose	/model.22/m.0/m.0.1/attn/Transpose_1	22	15217.905	single instrumented diagnostic
190	3	matmul	/model.22/m.0/m.0.1/attn/MatMul_1	22	3351.932	single instrumented diagnostic
191	3	lut2	/model.22/m.0/m.0.1/attn/Add_output_0_QuantizeLinear	22	1651.549	single instrumented diagnostic
192	3	conv_dense	/model.22/m.0/m.0.1/attn/proj/conv/Conv	22	488.169	single instrumented diagnostic
71	4	conv_dense	/model.10/m/m.0/attn/qkv/conv/Conv	10	893.879	single instrumented diagnostic
72	4	split	/model.10/m/m.0/attn/Split	10	2293.844	single instrumented diagnostic
73	4	split	/model.10/m/m.0/attn/Split	10	4495.896	single instrumented diagnostic
74	4	reshape_split_transpose	/model.10/m/m.0/attn/Transpose	10	2414.637	single instrumented diagnostic
75	4	reshape	/model.10/m/m.0/attn/Reshape_2	10	81.167	single instrumented diagnostic
76	4	matmul	/model.10/m/m.0/attn/MatMul	10	3064.306	single instrumented diagnostic
77	4	conv_grouped	/model.10/m/m.0/attn/pe/conv/Conv	10	5458.401	single instrumented diagnostic
78	4	softmax_transpose	/model.10/m/m.0/attn/Transpose_1	10	16397.91	single instrumented diagnostic
79	4	matmul	/model.10/m/m.0/attn/MatMul_1	10	3723.517	single instrumented diagnostic
80	4	lut2	/model.10/m/m.0/attn/Add_output_0_QuantizeLinear	10	1621.966	single instrumented diagnostic
81	4	conv_dense	/model.10/m/m.0/attn/proj/conv/Conv	10	473.336	single instrumented diagnostic
182	4	conv_dense	/model.22/m.0/m.0.1/attn/qkv/conv/Conv	22	919.713	single instrumented diagnostic
183	4	split	/model.22/m.0/m.0.1/attn/Split	22	2329.886	single instrumented diagnostic
184	4	split	/model.22/m.0/m.0.1/attn/Split	22	4466.437	single instrumented diagnostic
185	4	reshape_split_transpose	/model.22/m.0/m.0.1/attn/Transpose	22	2356.219	single instrumented diagnostic
186	4	reshape	/model.22/m.0/m.0.1/attn/Reshape_2	22	82.417	single instrumented diagnostic
187	4	matmul	/model.22/m.0/m.0.1/attn/MatMul	22	3026.931	single instrumented diagnostic
188	4	conv_grouped	/model.22/m.0/m.0.1/attn/pe/conv/Conv	22	5465.359	single instrumented diagnostic
189	4	softmax_transpose	/model.22/m.0/m.0.1/attn/Transpose_1	22	15212.03	single instrumented diagnostic
190	4	matmul	/model.22/m.0/m.0.1/attn/MatMul_1	22	3676.726	single instrumented diagnostic
191	4	lut2	/model.22/m.0/m.0.1/attn/Add_output_0_QuantizeLinear	22	1657.716	single instrumented diagnostic
192	4	conv_dense	/model.22/m.0/m.0.1/attn/proj/conv/Conv	22	480.252	single instrumented diagnostic
