tensor	name	storage_bytes	producer_write_bytes	consumer_read_bytes_lower_bound
0	images_QuantizeLinear_Output	3276800	3276800	3276800
1	/model.0/conv/Conv_output_0_QuantizeLinear_Output	1638400	1638400	1638400
2	/model.0/act/Mul_output_0_QuantizeLinear_Output	1638400	1638400	1638400
3	/model.1/conv/Conv_output_0_QuantizeLinear_Output	819200	819200	819200
4	/model.1/act/Mul_output_0_QuantizeLinear_Output	819200	819200	819200
5	/model.2/cv1/conv/Conv_output_0_QuantizeLinear_Output	819200	819200	819200
6	/model.2/Split_output_1_QuantizeLinear_Output	409600	409600	409600
7	/model.2/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	204800	204800	204800
8	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	204800	204800	204800
9	/model.2/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	409600	409600	409600
10	/model.2/Concat_output_0_QuantizeLinear_Output	1228800	1228800	1228800
11	/model.2/cv2/conv/Conv_output_0_QuantizeLinear_Output	1638400	1638400	1638400
12	/model.2/cv2/act/Mul_output_0_QuantizeLinear_Output	1638400	1638400	1638400
13	/model.3/conv/Conv_output_0_QuantizeLinear_Output	409600	409600	409600
14	/model.3/act/Mul_output_0_QuantizeLinear_Output	409600	409600	409600
15	/model.4/cv1/conv/Conv_output_0_QuantizeLinear_Output	409600	409600	409600
16	/model.4/Split_output_1_QuantizeLinear_Output	204800	204800	204800
17	/model.4/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	102400	102400	102400
18	/model.4/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	102400	102400	102400
19	/model.4/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	204800	204800	204800
20	/model.4/Concat_output_0_QuantizeLinear_Output	614400	614400	614400
21	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	819200	819200	819200
22	/model.4/cv2/act/Mul_output_0_QuantizeLinear_Output	819200	819200	819200
23	/model.5/conv/Conv_output_0_QuantizeLinear_Output	204800	204800	204800
24	/model.5/act/Mul_output_0_QuantizeLinear_Output	204800	204800	204800
