operation	name	accumulator_absolute_bound	int32_limit	int32_safe
1	/model.0/conv/Conv	980338	2147483647	1
3	/model.1/conv/Conv	4672672	2147483647	1
5	/model.2/cv1/conv/Conv	1039288	2147483647	1
7	/model.2/m.0/cv1/conv/Conv	4638665	2147483647	1
9	/model.2/m.0/cv2/conv/Conv	2134506	2147483647	1
12	/model.2/cv2/conv/Conv	1551291	2147483647	1
14	/model.3/conv/Conv	18588273	2147483647	1
16	/model.4/cv1/conv/Conv	2060868	2147483647	1
18	/model.4/m.0/cv1/conv/Conv	8960456	2147483647	1
20	/model.4/m.0/cv2/conv/Conv	4511217	2147483647	1
23	/model.4/cv2/conv/Conv	2959755	2147483647	1
25	/model.5/conv/Conv	36074272	2147483647	1
27	/model.6/cv1/conv/Conv	4043080	2147483647	1
29	/model.6/m.0/cv1/conv/Conv	2025812	2147483647	1
30	/model.6/m.0/cv2/conv/Conv	2019250	2147483647	1
32	/model.6/m.0/m/m.0/cv1/conv/Conv	8738026	2147483647	1
34	/model.6/m.0/m/m.0/cv2/conv/Conv	8984097	2147483647	1
36	/model.6/m.0/m/m.1/cv1/conv/Conv	8594691	2147483647	1
38	/model.6/m.0/m/m.1/cv2/conv/Conv	8951473	2147483647	1
41	/model.6/m.0/cv3/conv/Conv	1986743	2147483647	1
43	/model.6/cv2/conv/Conv	6077239	2147483647	1
45	/model.7/conv/Conv	35938163	2147483647	1
47	/model.8/cv1/conv/Conv	8063656	2147483647	1
49	/model.8/m.0/cv1/conv/Conv	4033838	2147483647	1
50	/model.8/m.0/cv2/conv/Conv	4027735	2147483647	1
52	/model.8/m.0/m/m.0/cv1/conv/Conv	18013562	2147483647	1
54	/model.8/m.0/m/m.0/cv2/conv/Conv	18316796	2147483647	1
56	/model.8/m.0/m/m.1/cv1/conv/Conv	17973584	2147483647	1
58	/model.8/m.0/m/m.1/cv2/conv/Conv	18405208	2147483647	1
61	/model.8/m.0/cv3/conv/Conv	4020426	2147483647	1
63	/model.8/cv2/conv/Conv	12180674	2147483647	1
65	/model.9/cv1/conv/Conv	8023682	2147483647	1
67	/model.9/cv2/conv/Conv	8610373	2147483647	1
69	/model.10/cv1/conv/Conv	8005777	2147483647	1
71	/model.10/m/m.0/attn/qkv/conv/Conv	4074286	2147483647	1
77	/model.10/m/m.0/attn/pe/conv/Conv	156721	2147483647	1
81	/model.10/m/m.0/attn/proj/conv/Conv	2107334	2147483647	1
83	/model.10/m/m.0/ffn/ffn.0/conv/Conv	2702996	2147483647	1
85	/model.10/m/m.0/ffn/ffn.1/conv/Conv	7751894	2147483647	1
88	/model.10/cv2/conv/Conv	5181678	2147483647	1
90	/model.13/cv1/conv/Conv	12081462	2147483647	1
92	/model.13/m.0/cv1/conv/Conv	2015457	2147483647	1
93	/model.13/m.0/cv2/conv/Conv	2006538	2147483647	1
95	/model.13/m.0/m/m.0/cv1/conv/Conv	8728449	2147483647	1
97	/model.13/m.0/m/m.0/cv2/conv/Conv	9052478	2147483647	1
99	/model.13/m.0/m/m.1/cv1/conv/Conv	8868468	2147483647	1
101	/model.13/m.0/m/m.1/cv2/conv/Conv	8983844	2147483647	1
104	/model.13/m.0/cv3/conv/Conv	2006920	2147483647	1
106	/model.13/cv2/conv/Conv	6092885	2147483647	1
108	/model.16/cv1/conv/Conv	8059727	2147483647	1
110	/model.16/m.0/cv1/conv/Conv	1039535	2147483647	1
111	/model.16/m.0/cv2/conv/Conv	1021351	2147483647	1
113	/model.16/m.0/m/m.0/cv1/conv/Conv	3857540	2147483647	1
115	/model.16/m.0/m/m.0/cv2/conv/Conv	4532959	2147483647	1
117	/model.16/m.0/m/m.1/cv1/conv/Conv	4350018	2147483647	1
119	/model.16/m.0/m/m.1/cv2/conv/Conv	4397480	2147483647	1
122	/model.16/m.0/cv3/conv/Conv	1008203	2147483647	1
124	/model.16/cv2/conv/Conv	3079653	2147483647	1
126	/model.17/conv/Conv	17860490	2147483647	1
127	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	17755311	2147483647	1
128	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv	335343	2147483647	1
