operation	kind	name	input_tensor_ids	input_tensor_names	output_tensor_id	output_tensor_name
0	input_quant	images_QuantizeLinear			0	images_QuantizeLinear_Output
1	conv_dense	/model.0/conv/Conv	0	images_QuantizeLinear_Output	1	/model.0/conv/Conv_output_0_QuantizeLinear_Output
2	lut1	/model.0/act/Mul_output_0_QuantizeLinear	1	/model.0/conv/Conv_output_0_QuantizeLinear_Output	2	/model.0/act/Mul_output_0_QuantizeLinear_Output
3	conv_dense	/model.1/conv/Conv	2	/model.0/act/Mul_output_0_QuantizeLinear_Output	3	/model.1/conv/Conv_output_0_QuantizeLinear_Output
4	lut1	/model.1/act/Mul_output_0_QuantizeLinear	3	/model.1/conv/Conv_output_0_QuantizeLinear_Output	4	/model.1/act/Mul_output_0_QuantizeLinear_Output
5	conv_dense	/model.2/cv1/conv/Conv	4	/model.1/act/Mul_output_0_QuantizeLinear_Output	5	/model.2/cv1/conv/Conv_output_0_QuantizeLinear_Output
6	split	/model.2/Split	5	/model.2/cv1/conv/Conv_output_0_QuantizeLinear_Output	6	/model.2/Split_output_1_QuantizeLinear_Output
7	conv_dense	/model.2/m.0/cv1/conv/Conv	6	/model.2/Split_output_1_QuantizeLinear_Output	7	/model.2/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output
8	lut1	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear	7	/model.2/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	8	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output
9	conv_dense	/model.2/m.0/cv2/conv/Conv	8	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	9	/model.2/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output
10	lut2	/model.2/m.0/Add_output_0@/model.2/Concat_output_0_QuantizeLinear_Output	6,9	/model.2/Split_output_1_QuantizeLinear_Output|/model.2/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	206	__stage52_internal_model.2__m.0__Add_output_0_at_model.2__Concat_output_0_QuantizeLinear_Output
11	concat	/model.2/Concat	5,6,206	/model.2/cv1/conv/Conv_output_0_QuantizeLinear_Output|/model.2/Split_output_1_QuantizeLinear_Output|__stage52_internal_model.2__m.0__Add_output_0_at_model.2__Concat_output_0_QuantizeLinear_Output	10	/model.2/Concat_output_0_QuantizeLinear_Output
12	conv_dense	/model.2/cv2/conv/Conv	10	/model.2/Concat_output_0_QuantizeLinear_Output	11	/model.2/cv2/conv/Conv_output_0_QuantizeLinear_Output
13	lut1	/model.2/cv2/act/Mul_output_0_QuantizeLinear	11	/model.2/cv2/conv/Conv_output_0_QuantizeLinear_Output	12	/model.2/cv2/act/Mul_output_0_QuantizeLinear_Output
14	conv_dense	/model.3/conv/Conv	12	/model.2/cv2/act/Mul_output_0_QuantizeLinear_Output	13	/model.3/conv/Conv_output_0_QuantizeLinear_Output
15	lut1	/model.3/act/Mul_output_0_QuantizeLinear	13	/model.3/conv/Conv_output_0_QuantizeLinear_Output	14	/model.3/act/Mul_output_0_QuantizeLinear_Output
16	conv_dense	/model.4/cv1/conv/Conv	14	/model.3/act/Mul_output_0_QuantizeLinear_Output	15	/model.4/cv1/conv/Conv_output_0_QuantizeLinear_Output
17	split	/model.4/Split	15	/model.4/cv1/conv/Conv_output_0_QuantizeLinear_Output	16	/model.4/Split_output_1_QuantizeLinear_Output
18	conv_dense	/model.4/m.0/cv1/conv/Conv	16	/model.4/Split_output_1_QuantizeLinear_Output	17	/model.4/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output
19	lut1	/model.4/m.0/cv1/act/Mul_output_0_QuantizeLinear	17	/model.4/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	18	/model.4/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output
20	conv_dense	/model.4/m.0/cv2/conv/Conv	18	/model.4/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	19	/model.4/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output
21	lut2	/model.4/m.0/Add_output_0@/model.4/Concat_output_0_QuantizeLinear_Output	16,19	/model.4/Split_output_1_QuantizeLinear_Output|/model.4/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	207	__stage52_internal_model.4__m.0__Add_output_0_at_model.4__Concat_output_0_QuantizeLinear_Output
22	concat	/model.4/Concat	15,16,207	/model.4/cv1/conv/Conv_output_0_QuantizeLinear_Output|/model.4/Split_output_1_QuantizeLinear_Output|__stage52_internal_model.4__m.0__Add_output_0_at_model.4__Concat_output_0_QuantizeLinear_Output	20	/model.4/Concat_output_0_QuantizeLinear_Output
23	conv_dense	/model.4/cv2/conv/Conv	20	/model.4/Concat_output_0_QuantizeLinear_Output	21	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output
24	lut1	/model.4/cv2/act/Mul_output_0_QuantizeLinear	21	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	22	/model.4/cv2/act/Mul_output_0_QuantizeLinear_Output
25	conv_dense	/model.5/conv/Conv	22	/model.4/cv2/act/Mul_output_0_QuantizeLinear_Output	23	/model.5/conv/Conv_output_0_QuantizeLinear_Output
26	lut1	/model.5/act/Mul_output_0_QuantizeLinear	23	/model.5/conv/Conv_output_0_QuantizeLinear_Output	24	/model.5/act/Mul_output_0_QuantizeLinear_Output
27	conv_dense	/model.6/cv1/conv/Conv	24	/model.5/act/Mul_output_0_QuantizeLinear_Output	25	/model.6/cv1/conv/Conv_output_0_QuantizeLinear_Output
28	split	/model.6/Split	25	/model.6/cv1/conv/Conv_output_0_QuantizeLinear_Output	26	/model.6/Split_output_1_QuantizeLinear_Output
29	conv_dense	/model.6/m.0/cv1/conv/Conv	26	/model.6/Split_output_1_QuantizeLinear_Output	27	/model.6/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output
30	conv_dense	/model.6/m.0/cv2/conv/Conv	26	/model.6/Split_output_1_QuantizeLinear_Output	28	/model.6/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output
31	lut1	/model.6/m.0/cv1/act/Mul_output_0_QuantizeLinear	27	/model.6/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	29	/model.6/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output
32	conv_dense	/model.6/m.0/m/m.0/cv1/conv/Conv	29	/model.6/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	30	/model.6/m.0/m/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output
