id	name	rank	shape	dim0	dim1	dim2	dim3	logical_elements	storage_bytes	layout	scale	scale_bits	zero_point	dtype	first_op	last_op	arena_offset
0	images_QuantizeLinear_Output	4	1x3x640x640	1	3	640	640	1228800	3276800	NCHWc8_SPATIAL_INNER_V1	0.0039215688593685627	0x3b808081	0	uint8	0	1	0
1	/model.0/conv/Conv_output_0_QuantizeLinear_Output	4	1x16x320x320	1	16	320	320	1638400	1638400	NCHWc8_SPATIAL_INNER_V1	0.62096840143203735	0x3f1ef7c9	128	uint8	1	2	3276800
2	/model.0/act/Mul_output_0_QuantizeLinear_Output	4	1x16x320x320	1	16	320	320	1638400	1638400	NCHWc8_SPATIAL_INNER_V1	0.31116288900375366	0x3e9f50be	1	uint8	2	3	0
3	/model.1/conv/Conv_output_0_QuantizeLinear_Output	4	1x32x160x160	1	32	160	160	819200	819200	NCHWc8_SPATIAL_INNER_V1	1.114243745803833	0x3f8e9f8a	122	uint8	3	4	1638400
4	/model.1/act/Mul_output_0_QuantizeLinear_Output	4	1x32x160x160	1	32	160	160	819200	819200	NCHWc8_SPATIAL_INNER_V1	0.58250099420547485	0x3f151ec9	0	uint8	4	5	2457600
5	/model.2/cv1/conv/Conv_output_0_QuantizeLinear_Output	4	1x32x160x160	1	32	160	160	819200	819200	NCHWc8_SPATIAL_INNER_V1	0.83649581670761108	0x3f562497	155	uint8	5	11	1638400
6	/model.2/Split_output_1_QuantizeLinear_Output	4	1x16x160x160	1	16	160	160	409600	409600	NCHWc8_SPATIAL_INNER_V1	0.18348428606987	0x3e3be34e	2	uint8	6	11	2457600
7	/model.2/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	4	1x8x160x160	1	8	160	160	204800	204800	NCHWc8_SPATIAL_INNER_V1	0.038180503994226456	0x3d1c6329	176	uint8	7	8	2867200
8	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	4	1x8x160x160	1	8	160	160	204800	204800	NCHWc8_SPATIAL_INNER_V1	0.012377118691802025	0x3c4ac966	22	uint8	8	9	3072000
9	/model.2/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	4	1x16x160x160	1	16	160	160	409600	409600	NCHWc8_SPATIAL_INNER_V1	0.52768832445144653	0x3f071695	179	uint8	9	10	0
10	/model.2/Concat_output_0_QuantizeLinear_Output	4	1x48x160x160	1	48	160	160	1228800	1228800	NCHWc8_SPATIAL_INNER_V1	0.32880854606628418	0x3ea85998	2	uint8	11	12	3276800
11	/model.2/cv2/conv/Conv_output_0_QuantizeLinear_Output	4	1x64x160x160	1	64	160	160	1638400	1638400	NCHWc8_SPATIAL_INNER_V1	0.45538836717605591	0x3ee928aa	186	uint8	12	13	4915200
12	/model.2/cv2/act/Mul_output_0_QuantizeLinear_Output	4	1x64x160x160	1	64	160	160	1638400	1638400	NCHWc8_SPATIAL_INNER_V1	0.12448897212743759	0x3dfef413	2	uint8	13	14	6553600
13	/model.3/conv/Conv_output_0_QuantizeLinear_Output	4	1x64x80x80	1	64	80	80	409600	409600	NCHWc8_SPATIAL_INNER_V1	0.10164494067430496	0x3dd02b39	157	uint8	14	15	0
14	/model.3/act/Mul_output_0_QuantizeLinear_Output	4	1x64x80x80	1	64	80	80	409600	409600	NCHWc8_SPATIAL_INNER_V1	0.040006101131439209	0x3d23dd70	7	uint8	15	16	409600
15	/model.4/cv1/conv/Conv_output_0_QuantizeLinear_Output	4	1x64x80x80	1	64	80	80	409600	409600	NCHWc8_SPATIAL_INNER_V1	0.068833477795124054	0x3d8cf891	163	uint8	16	22	0
16	/model.4/Split_output_1_QuantizeLinear_Output	4	1x32x80x80	1	32	80	80	204800	204800	NCHWc8_SPATIAL_INNER_V1	0.022661056369543076	0x3cb9a3ae	12	uint8	17	22	2867200
17	/model.4/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	4	1x16x80x80	1	16	80	80	102400	102400	NCHWc8_SPATIAL_INNER_V1	0.043681725859642029	0x3d32eb9c	128	uint8	18	19	3072000
18	/model.4/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	4	1x16x80x80	1	16	80	80	102400	102400	NCHWc8_SPATIAL_INNER_V1	0.022688010707497597	0x3cb9dc35	12	uint8	19	20	3174400
19	/model.4/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	4	1x32x80x80	1	32	80	80	204800	204800	NCHWc8_SPATIAL_INNER_V1	0.079003848135471344	0x3da1ccc5	152	uint8	20	21	409600
20	/model.4/Concat_output_0_QuantizeLinear_Output	4	1x96x80x80	1	96	80	80	614400	614400	NCHWc8_SPATIAL_INNER_V1	0.03763701394200325	0x3d1a2945	15	uint8	22	23	819200
21	/model.4/cv2/conv/Conv_output_0_QuantizeLinear_Output	4	1x128x80x80	1	128	80	80	819200	819200	NCHWc8_SPATIAL_INNER_V1	0.066064663231372833	0x3d874ce9	142	uint8	23	24	1638400
22	/model.4/cv2/act/Mul_output_0_QuantizeLinear_Output	4	1x128x80x80	1	128	80	80	819200	819200	NCHWc8_SPATIAL_INNER_V1	0.030298452824354172	0x3cf83476	9	uint8	24	107	3276800
23	/model.5/conv/Conv_output_0_QuantizeLinear_Output	4	1x128x40x40	1	128	40	40	204800	204800	NCHWc8_SPATIAL_INNER_V1	0.057099778205156326	0x3d69e175	136	uint8	25	26	409600
24	/model.5/act/Mul_output_0_QuantizeLinear_Output	4	1x128x40x40	1	128	40	40	204800	204800	NCHWc8_SPATIAL_INNER_V1	0.027727888897061348	0x3ce32599	10	uint8	26	27	614400
25	/model.6/cv1/conv/Conv_output_0_QuantizeLinear_Output	4	1x128x40x40	1	128	40	40	204800	204800	NCHWc8_SPATIAL_INNER_V1	0.071361921727657318	0x3d922633	130	uint8	27	42	409600
26	/model.6/Split_output_1_QuantizeLinear_Output	4	1x64x40x40	1	64	40	40	102400	102400	NCHWc8_SPATIAL_INNER_V1	0.035990659147500992	0x3d136af1	8	uint8	28	42	3072000
27	/model.6/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	4	1x32x40x40	1	32	40	40	51200	51200	NCHWc8_SPATIAL_INNER_V1	0.04358367994427681	0x3d3284cd	165	uint8	29	31	3174400
28	/model.6/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	4	1x32x40x40	1	32	40	40	51200	51200	NCHWc8_SPATIAL_INNER_V1	0.11293179541826248	0x3de748c9	167	uint8	30	40	3225600
