surface	evidence_source	protocol	samples	mean_us	stddev_us	cv_pct	min_us	median_us	p90_us	p95_us	p99_us	p999_us	max_us
dataset_file_read_decode_letterbox	COCO_val2017_5000	one sample per image	5000	26303.527663999997	4659.286108221219	17.713540813759725	7909.58	26063.7	31910.190000000002	34633.175	39927.441	44729.03860000005	46039.9
pure_executor_dataset_run	COCO_val2017_5000	one sample per image	5000	550383.8382	15790.560300690495	2.869008718048962	543283.0	546081.0	556587.0	575868.05	618825.59	687726.7270000002	931484.0
dataset_output_decode	COCO_val2017_5000	one sample per image	5000	50.9049576	16.566851568707378	32.544672169037185	28.959	47.082499999999996	69.875	70.665	91.49926000000004	111.0943350000025	455.794
dataset_image_to_detections_pipeline	COCO_val2017_5000	one sample per image; preprocess includes cv::imread from board NVMe	5000	576738.2708216	16543.191403662076	2.868405347905083	552332.413	573130.6499999999	586660.9961	601706.9774000001	645207.97484	713277.3699260006	970257.734
jpeg_decode	preloaded_public_image_fixture	10 warmups, 100 runs, 5 repeats	500	22376.5999	45.9537766179	0.205365322807	22310.696	22372.8445	22401.7498	22414.6516	22553.56942		22863.439
resize_letterbox	preloaded_public_image_fixture	10 warmups, 100 runs, 5 repeats	500	1214.664208	26.5442230935	2.18531367918	1140.62	1207.451	1257.191	1263.78445	1280.42632		1441.536
color_convert	preloaded_public_image_fixture	10 warmups, 100 runs, 5 repeats	500	505.627738	16.7640829732	3.31549907439	479.039	502.039	507.8401	557.06815	568.9555		587.914
input_quantize_layout	preloaded_public_image_fixture	10 warmups, 100 runs, 5 repeats	500	22367.848664	334.117858246	1.49374158984	22238.978	22322.033	22369.6784	22462.70315	23922.5404		26945.843
pure_graph	preloaded_public_image_fixture	10 warmups, 100 runs, 5 repeats	500	470259.641654	4855.04885763	1.03241878052	467405.111	468873.6325	471390.5151	477710.0125	490917.69065		510339.077
executor_total	preloaded_public_image_fixture	10 warmups, 100 runs, 5 repeats	500	492627.490318	4893.00948515	0.993247348415	489694.633	491205.0005	493712.6618	500044.1548	513283.31661		532656.462
output_decode	preloaded_public_image_fixture	10 warmups, 100 runs, 5 repeats	500	5.417302	0.107739548991	1.98880455605	5.166	5.416	5.542	5.625	5.74901		5.917
preloaded_image_pipeline	preloaded_public_image_fixture	10 warmups, 100 runs, 5 repeats	500	516859.67356	4898.96387418	0.947832482352	513915.723	515425.7075	517941.293	524246.2701	537852.4126		556940.211
preloaded_preprocess_total	preloaded_public_image_fixture	10 warmups, 100 runs, 5 repeats	500	46464.740509999996	337.7918017547487	0.7269852323441905	46326.554000000004	46411.59450000001	46480.6615	46585.519550000005	48027.76318	50638.498145999976	51049.248
