operation	name	kind	integer_oracle	host_scalar	board_optimized
127	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	conv_dense	pass	pass	pass
128	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv	conv_grouped	pass	pass	pass
129	/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul_output_0_QuantizeLinear	lut1	pass	pass	pass
130	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul_output_0_QuantizeLinear	lut1	pass	pass	pass
132	/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv	conv_dense	pass	pass	pass
133	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv	conv_dense	pass	pass	pass
135	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul_output_0_QuantizeLinear	lut1	pass	pass	pass
136	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul_output_0_QuantizeLinear	lut1	pass	pass	pass
138	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	conv_dense	pass	pass	pass
139	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv	conv_grouped	pass	pass	pass
142	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul_output_0_QuantizeLinear	lut1	pass	pass	pass
144	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv	conv_dense	pass	pass	pass
146	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul_output_0_QuantizeLinear	lut1	pass	pass	pass
148	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv	conv_dense	pass	pass	pass
161	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv	conv_dense	pass	pass	pass
162	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv	conv_grouped	pass	pass	pass
163	/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Mul_output_0_QuantizeLinear	lut1	pass	pass	pass
164	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Mul_output_0_QuantizeLinear	lut1	pass	pass	pass
166	/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv	conv_dense	pass	pass	pass
167	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv	conv_dense	pass	pass	pass
169	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul_output_0_QuantizeLinear	lut1	pass	pass	pass
170	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Mul_output_0_QuantizeLinear	lut1	pass	pass	pass
172	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv	conv_dense	pass	pass	pass
173	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv	conv_grouped	pass	pass	pass
175	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul_output_0_QuantizeLinear	lut1	pass	pass	pass
177	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv	conv_dense	pass	pass	pass
179	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0_QuantizeLinear	lut1	pass	pass	pass
181	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv	conv_dense	pass	pass	pass
201	/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv	conv_dense	pass	pass	pass
202	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv	conv_grouped	pass	pass	pass
203	/model.23/one2one_cv2.2/one2one_cv2.2.0/act/Mul_output_0_QuantizeLinear	lut1	pass	pass	pass
204	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/act/Mul_output_0_QuantizeLinear	lut1	pass	pass	pass
205	/model.23/one2one_cv2.2/one2one_cv2.2.1/conv/Conv	conv_dense	pass	pass	pass
206	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv	conv_dense	pass	pass	pass
207	/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul_output_0_QuantizeLinear	lut1	pass	pass	pass
208	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/act/Mul_output_0_QuantizeLinear	lut1	pass	pass	pass
209	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv	conv_dense	pass	pass	pass
210	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv	conv_grouped	pass	pass	pass
211	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Mul_output_0_QuantizeLinear	lut1	pass	pass	pass
212	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv	conv_dense	pass	pass	pass
213	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul_output_0_QuantizeLinear	lut1	pass	pass	pass
214	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv	conv_dense	pass	pass	pass
