index	observation	kind	name	model	wall_us	measurement
127	1	conv_dense	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	23	2801.18	single instrumented diagnostic
128	1	conv_grouped	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv	23	27101.46	single instrumented diagnostic
129	1	lut1	/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul_output_0_QuantizeLinear	23	152.25	single instrumented diagnostic
130	1	lut1	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul_output_0_QuantizeLinear	23	252.959	single instrumented diagnostic
132	1	conv_dense	/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv	23	1140.131	single instrumented diagnostic
133	1	conv_dense	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv	23	4143.144	single instrumented diagnostic
135	1	lut1	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul_output_0_QuantizeLinear	23	127.959	single instrumented diagnostic
136	1	lut1	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul_output_0_QuantizeLinear	23	333.918	single instrumented diagnostic
138	1	conv_dense	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	23	289.752	single instrumented diagnostic
139	1	conv_grouped	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv	23	34042.159	single instrumented diagnostic
142	1	lut1	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul_output_0_QuantizeLinear	23	336.627	single instrumented diagnostic
144	1	conv_dense	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv	23	4165.019	single instrumented diagnostic
146	1	lut1	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul_output_0_QuantizeLinear	23	309.585	single instrumented diagnostic
148	1	conv_dense	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv	23	4210.311	single instrumented diagnostic
161	1	conv_dense	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv	23	1374.257	single instrumented diagnostic
162	1	conv_grouped	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv	23	13542.605	single instrumented diagnostic
163	1	lut1	/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Mul_output_0_QuantizeLinear	23	101.5	single instrumented diagnostic
164	1	lut1	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Mul_output_0_QuantizeLinear	23	132.209	single instrumented diagnostic
166	1	conv_dense	/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv	23	345.544	single instrumented diagnostic
167	1	conv_dense	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv	23	1239.214	single instrumented diagnostic
169	1	lut1	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul_output_0_QuantizeLinear	23	83.209	single instrumented diagnostic
170	1	lut1	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Mul_output_0_QuantizeLinear	23	108.875	single instrumented diagnostic
172	1	conv_dense	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv	23	119.584	single instrumented diagnostic
173	1	conv_grouped	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv	23	8396.122	single instrumented diagnostic
