surface	repeat	run	wall_us	process_cpu_us
model5_sched_other	0	0	3525.66	13764.2
model5_sched_other	0	1	3596.2	13809.3
model5_sched_other	0	2	3495.9	13696.5
model5_sched_other	0	3	3519.53	13704.8
model5_sched_other	0	4	3519.61	13857
model5_sched_other	0	5	3448.15	13536.2
model5_sched_other	0	6	3453.03	13480.4
model5_sched_other	0	7	3455.99	13472.5
model5_sched_other	0	8	3429.78	13427.1
model5_sched_other	0	9	3442.99	13463
model5_sched_other	0	10	3586.36	13808.5
model5_sched_other	0	11	3455.78	13438.2
model5_sched_other	0	12	3595.11	13804.3
model5_sched_other	0	13	3489.03	13611
model5_sched_other	0	14	3517.53	13704.4
model5_sched_other	0	15	3514.45	13677.9
model5_sched_other	0	16	3553.36	13799.5
model5_sched_other	0	17	3581.74	14039
model5_sched_other	0	18	3552.57	13746.3
model5_sched_other	0	19	3515.24	13712.2
model5_sched_other	0	20	3519.28	13804
model5_sched_other	0	21	3485.15	13618.6
model5_sched_other	0	22	3495.03	13635.8
model5_sched_other	0	23	3541.95	13804.1
model5_sched_other	0	24	3497.03	13669
model5_sched_other	0	25	3591.32	13884
model5_sched_other	0	26	3526.4	13803
model5_sched_other	0	27	3545.41	13805.5
model5_sched_other	0	28	3492.82	13645
model5_sched_other	0	29	3550.95	13853.9
model5_sched_other	0	30	3559.61	13775.7
model5_sched_other	0	31	3573.74	13950.2
model5_sched_other	0	32	3553.99	13793.3
model5_sched_other	0	33	3510.78	13707.8
model5_sched_other	0	34	3533.86	13797.5
model5_sched_other	0	35	3462.82	13586
model5_sched_other	0	36	3535.11	13736.9
model5_sched_other	0	37	3529.11	13795
model5_sched_other	0	38	3531.16	13759.4
model5_sched_other	0	39	3576.78	13814.6
model5_sched_other	0	40	3550.61	13927.9
model5_sched_other	0	41	3525.61	13814.5
model5_sched_other	0	42	3510.28	13738.6
model5_sched_other	0	43	3570.82	13826.1
model5_sched_other	0	44	3537.82	13833.6
model5_sched_other	0	45	3546.32	13750.4
model5_sched_other	0	46	3566.41	13919.9
model5_sched_other	0	47	3549.66	13862.8
model5_sched_other	0	48	3506.32	13710.5
model5_sched_other	0	49	3494.07	13705
model5_sched_other	0	50	3565.2	13872.7
model5_sched_other	0	51	3513.03	13685.4
model5_sched_other	0	52	3524.49	13718.6
model5_sched_other	0	53	3588.28	13900
model5_sched_other	0	54	3503.24	13601.9
model5_sched_other	0	55	3497.99	13631.7
model5_sched_other	0	56	3535.45	13789.6
model5_sched_other	0	57	3510.82	13667.3
model5_sched_other	0	58	3462.15	13571.7
model5_sched_other	0	59	3545.07	13863.7
model5_sched_other	0	60	3514.03	13743.5
model5_sched_other	0	61	3470.99	13435.9
