resample	seed	metric	delta_k1x_minus_semantic
0	52001	per_image_iou_averaged_f1_delta	-0.001657264488828367
1	52001	per_image_iou_averaged_f1_delta	-0.0005509344113670668
2	52001	per_image_iou_averaged_f1_delta	-0.0012681416737449316
3	52001	per_image_iou_averaged_f1_delta	-0.000616236659940093
4	52001	per_image_iou_averaged_f1_delta	-0.0011270171908965287
5	52001	per_image_iou_averaged_f1_delta	-0.0009728792186287729
6	52001	per_image_iou_averaged_f1_delta	-0.0004110689995693441
7	52001	per_image_iou_averaged_f1_delta	-0.0016362680401148363
8	52001	per_image_iou_averaged_f1_delta	-0.001181499700573768
9	52001	per_image_iou_averaged_f1_delta	6.969659028425765e-05
10	52001	per_image_iou_averaged_f1_delta	-0.0008379739230824606
11	52001	per_image_iou_averaged_f1_delta	-0.001233189781911798
12	52001	per_image_iou_averaged_f1_delta	-0.0007431733081046852
13	52001	per_image_iou_averaged_f1_delta	-0.001093245407107344
14	52001	per_image_iou_averaged_f1_delta	-0.0010213046099238768
15	52001	per_image_iou_averaged_f1_delta	-0.0002021395022010367
16	52001	per_image_iou_averaged_f1_delta	-0.0006842719094549755
17	52001	per_image_iou_averaged_f1_delta	-0.0007983653510698618
18	52001	per_image_iou_averaged_f1_delta	-0.0011715050028863194
19	52001	per_image_iou_averaged_f1_delta	0.00015984454078439927
20	52001	per_image_iou_averaged_f1_delta	-0.0012024220696207756
21	52001	per_image_iou_averaged_f1_delta	-0.0010806626631025976
22	52001	per_image_iou_averaged_f1_delta	-0.001012767704136796
23	52001	per_image_iou_averaged_f1_delta	-4.681824476805463e-06
24	52001	per_image_iou_averaged_f1_delta	-0.0002578719437641052
25	52001	per_image_iou_averaged_f1_delta	-0.00020963018272878359
26	52001	per_image_iou_averaged_f1_delta	-0.0001001921746007115
27	52001	per_image_iou_averaged_f1_delta	-0.001002291517667753
28	52001	per_image_iou_averaged_f1_delta	-0.0016175145128349804
29	52001	per_image_iou_averaged_f1_delta	-0.0019641881509683563
30	52001	per_image_iou_averaged_f1_delta	-0.0011803971136330339
31	52001	per_image_iou_averaged_f1_delta	-0.0006555459827880773
32	52001	per_image_iou_averaged_f1_delta	-0.00010145553698571907
33	52001	per_image_iou_averaged_f1_delta	-0.00042524823186860773
34	52001	per_image_iou_averaged_f1_delta	-0.0005411594837222887
35	52001	per_image_iou_averaged_f1_delta	-0.0009782704066641226
36	52001	per_image_iou_averaged_f1_delta	-0.000748965051190645
37	52001	per_image_iou_averaged_f1_delta	-0.00010068734734780864
38	52001	per_image_iou_averaged_f1_delta	-0.0006035317521569332
39	52001	per_image_iou_averaged_f1_delta	-0.0015558936746852383
40	52001	per_image_iou_averaged_f1_delta	-0.0005933895020118309
41	52001	per_image_iou_averaged_f1_delta	-0.0014524654443894532
42	52001	per_image_iou_averaged_f1_delta	0.00046986876039626415
43	52001	per_image_iou_averaged_f1_delta	-0.0010727064971153052
44	52001	per_image_iou_averaged_f1_delta	0.0005964551510205137
45	52001	per_image_iou_averaged_f1_delta	-0.0010499221508994475
46	52001	per_image_iou_averaged_f1_delta	-0.0014334345172211532
47	52001	per_image_iou_averaged_f1_delta	-0.0015531200624927146
48	52001	per_image_iou_averaged_f1_delta	-0.0006787723714207725
49	52001	per_image_iou_averaged_f1_delta	-0.0011295934847731519
50	52001	per_image_iou_averaged_f1_delta	5.609152771539669e-05
51	52001	per_image_iou_averaged_f1_delta	8.548973171132851e-05
52	52001	per_image_iou_averaged_f1_delta	-0.0007707299573768657
53	52001	per_image_iou_averaged_f1_delta	-0.0005731357474549156
54	52001	per_image_iou_averaged_f1_delta	-0.0005777604165328678
55	52001	per_image_iou_averaged_f1_delta	-0.0009977756849716287
56	52001	per_image_iou_averaged_f1_delta	-0.0016806230334826594
57	52001	per_image_iou_averaged_f1_delta	-0.00030422347350319716
58	52001	per_image_iou_averaged_f1_delta	-0.0007165926955503007
59	52001	per_image_iou_averaged_f1_delta	-0.0004214421903686459
60	52001	per_image_iou_averaged_f1_delta	-0.0007346271328860032
61	52001	per_image_iou_averaged_f1_delta	-0.0007853889765049574
62	52001	per_image_iou_averaged_f1_delta	-0.0008670869221786466
63	52001	per_image_iou_averaged_f1_delta	-0.0007593845857091203
64	52001	per_image_iou_averaged_f1_delta	-0.00043298909920544117
65	52001	per_image_iou_averaged_f1_delta	-0.0009844869889435483
66	52001	per_image_iou_averaged_f1_delta	-0.00045234415820716344
67	52001	per_image_iou_averaged_f1_delta	-0.00041763419787852705
68	52001	per_image_iou_averaged_f1_delta	-0.0008699814831453367
69	52001	per_image_iou_averaged_f1_delta	-0.0011357911491288667
70	52001	per_image_iou_averaged_f1_delta	-0.000574552750689108
71	52001	per_image_iou_averaged_f1_delta	-0.000576345002552052
72	52001	per_image_iou_averaged_f1_delta	0.00017055168927052747
73	52001	per_image_iou_averaged_f1_delta	-0.001152667805616847
74	52001	per_image_iou_averaged_f1_delta	-0.00010168364111599777
75	52001	per_image_iou_averaged_f1_delta	0.00019984941847226012
76	52001	per_image_iou_averaged_f1_delta	-0.0003938690719172091
77	52001	per_image_iou_averaged_f1_delta	-0.0002776258355213145
78	52001	per_image_iou_averaged_f1_delta	-0.00013797762187776165
79	52001	per_image_iou_averaged_f1_delta	-0.0011805462272760604
80	52001	per_image_iou_averaged_f1_delta	-0.00039059587979553486
81	52001	per_image_iou_averaged_f1_delta	-0.0018473701026860926
82	52001	per_image_iou_averaged_f1_delta	-0.000941205029531892
83	52001	per_image_iou_averaged_f1_delta	-0.0005883255334341537
84	52001	per_image_iou_averaged_f1_delta	3.5994323232598546e-05
85	52001	per_image_iou_averaged_f1_delta	-0.0009600784130902553
86	52001	per_image_iou_averaged_f1_delta	-0.00045343216855212135
87	52001	per_image_iou_averaged_f1_delta	-0.0012490453195205299
88	52001	per_image_iou_averaged_f1_delta	-0.0017258275250146358
89	52001	per_image_iou_averaged_f1_delta	-0.0003120600284274448
90	52001	per_image_iou_averaged_f1_delta	-0.001335220477777057
91	52001	per_image_iou_averaged_f1_delta	0.0005988153951534644
92	52001	per_image_iou_averaged_f1_delta	-0.000707226240240534
93	52001	per_image_iou_averaged_f1_delta	0.00031838721892500936
94	52001	per_image_iou_averaged_f1_delta	0.00014064506104643658
95	52001	per_image_iou_averaged_f1_delta	-0.0006575304600251983
96	52001	per_image_iou_averaged_f1_delta	0.00020023870202628483
97	52001	per_image_iou_averaged_f1_delta	-0.00019099238105822294
98	52001	per_image_iou_averaged_f1_delta	-0.0007243398033177723
99	52001	per_image_iou_averaged_f1_delta	-0.0008603198661156218
100	52001	per_image_iou_averaged_f1_delta	-0.00123152615911078
101	52001	per_image_iou_averaged_f1_delta	0.0009498557555276352
102	52001	per_image_iou_averaged_f1_delta	-0.0017066241331686086
103	52001	per_image_iou_averaged_f1_delta	-0.00025334100917751153
104	52001	per_image_iou_averaged_f1_delta	-0.00025052247445026416
105	52001	per_image_iou_averaged_f1_delta	-0.0020141351981245604
106	52001	per_image_iou_averaged_f1_delta	-0.0010123277505565925
107	52001	per_image_iou_averaged_f1_delta	-0.000740375217738062
108	52001	per_image_iou_averaged_f1_delta	-0.00031376530033192434
109	52001	per_image_iou_averaged_f1_delta	-0.0005748834693566755
110	52001	per_image_iou_averaged_f1_delta	-0.002106348945554783
111	52001	per_image_iou_averaged_f1_delta	-0.0010305076374481352
112	52001	per_image_iou_averaged_f1_delta	-0.0009407828432329145
113	52001	per_image_iou_averaged_f1_delta	-0.0005356604530389527
114	52001	per_image_iou_averaged_f1_delta	-0.00013105387704258575
115	52001	per_image_iou_averaged_f1_delta	-0.0013787616118612633
116	52001	per_image_iou_averaged_f1_delta	0.0006385285448917707
117	52001	per_image_iou_averaged_f1_delta	-0.0013664210357620967
118	52001	per_image_iou_averaged_f1_delta	-0.0005697202872474514
119	52001	per_image_iou_averaged_f1_delta	-0.0009854912539163044
120	52001	per_image_iou_averaged_f1_delta	-0.0010527866325753216
121	52001	per_image_iou_averaged_f1_delta	-0.0011368569187308073
122	52001	per_image_iou_averaged_f1_delta	-0.000729147490528641
123	52001	per_image_iou_averaged_f1_delta	-0.0005288575872907272
124	52001	per_image_iou_averaged_f1_delta	-0.0015657062077176697
125	52001	per_image_iou_averaged_f1_delta	-0.0006017275032686272
126	52001	per_image_iou_averaged_f1_delta	-0.0001902207128991549
127	52001	per_image_iou_averaged_f1_delta	-0.001435569189600672
128	52001	per_image_iou_averaged_f1_delta	0.0002940320628170504
129	52001	per_image_iou_averaged_f1_delta	-4.450959886060505e-05
130	52001	per_image_iou_averaged_f1_delta	-0.00015738235800734013
131	52001	per_image_iou_averaged_f1_delta	-0.0004541952515848614
132	52001	per_image_iou_averaged_f1_delta	-0.0007287259520928455
133	52001	per_image_iou_averaged_f1_delta	-0.00013337612904766957
134	52001	per_image_iou_averaged_f1_delta	-0.0005631377473146095
135	52001	per_image_iou_averaged_f1_delta	-0.0001206980039817735
136	52001	per_image_iou_averaged_f1_delta	-0.0006915517374025524
137	52001	per_image_iou_averaged_f1_delta	-0.00029055181645406614
138	52001	per_image_iou_averaged_f1_delta	-0.0003864211222666029
139	52001	per_image_iou_averaged_f1_delta	-0.00047643577228863315
140	52001	per_image_iou_averaged_f1_delta	-0.0008694674694368693
141	52001	per_image_iou_averaged_f1_delta	-7.638853566029749e-05
142	52001	per_image_iou_averaged_f1_delta	-0.000895806331915758
143	52001	per_image_iou_averaged_f1_delta	-0.0020327367187184878
144	52001	per_image_iou_averaged_f1_delta	-0.0003425649571569205
145	52001	per_image_iou_averaged_f1_delta	-0.0010780899352709815
146	52001	per_image_iou_averaged_f1_delta	-0.00023468665902405243
147	52001	per_image_iou_averaged_f1_delta	-0.001045156198148632
148	52001	per_image_iou_averaged_f1_delta	-0.0005432793872786232
149	52001	per_image_iou_averaged_f1_delta	-0.0009676286916036023
150	52001	per_image_iou_averaged_f1_delta	-0.001732808776616629
151	52001	per_image_iou_averaged_f1_delta	-0.00042012872243697783
152	52001	per_image_iou_averaged_f1_delta	-0.0005654836192847127
153	52001	per_image_iou_averaged_f1_delta	-0.00046401528399262756
154	52001	per_image_iou_averaged_f1_delta	-0.0010185734117306388
155	52001	per_image_iou_averaged_f1_delta	-0.0005744463778052337
156	52001	per_image_iou_averaged_f1_delta	-0.001682180586397256
157	52001	per_image_iou_averaged_f1_delta	-0.0007283057094298234
158	52001	per_image_iou_averaged_f1_delta	-0.0004841148365921709
159	52001	per_image_iou_averaged_f1_delta	-0.0006019563416784071
160	52001	per_image_iou_averaged_f1_delta	-0.001081661206273594
161	52001	per_image_iou_averaged_f1_delta	-0.00037807361362953904
162	52001	per_image_iou_averaged_f1_delta	-0.001032460063567358
163	52001	per_image_iou_averaged_f1_delta	0.00013336403629510957
164	52001	per_image_iou_averaged_f1_delta	1.914680450585502e-05
165	52001	per_image_iou_averaged_f1_delta	-0.0012918317371208193
166	52001	per_image_iou_averaged_f1_delta	-0.0013467949768065843
167	52001	per_image_iou_averaged_f1_delta	-0.00020859711686215364
168	52001	per_image_iou_averaged_f1_delta	-0.00025580010969635073
169	52001	per_image_iou_averaged_f1_delta	-0.0008563548516353669
170	52001	per_image_iou_averaged_f1_delta	-0.00010353817989111478
171	52001	per_image_iou_averaged_f1_delta	-0.0010185386181852465
172	52001	per_image_iou_averaged_f1_delta	-0.0006207377574021253
173	52001	per_image_iou_averaged_f1_delta	1.5134884929444282e-05
174	52001	per_image_iou_averaged_f1_delta	-0.0015120751025954591
175	52001	per_image_iou_averaged_f1_delta	-0.0006246709879839059
176	52001	per_image_iou_averaged_f1_delta	-0.0003189475930936277
177	52001	per_image_iou_averaged_f1_delta	1.700436920400654e-05
178	52001	per_image_iou_averaged_f1_delta	-0.00038308834180406646
179	52001	per_image_iou_averaged_f1_delta	-0.0007315277574354224
180	52001	per_image_iou_averaged_f1_delta	-0.0007811749043580185
181	52001	per_image_iou_averaged_f1_delta	-0.00092545840215106
182	52001	per_image_iou_averaged_f1_delta	-0.0005204568486240764
183	52001	per_image_iou_averaged_f1_delta	-0.000757624365655292
