surface	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
stage53_condition_variable_safe_default	0	0	260139	12419.4	23862.7	140153	22567.9	25019.5	17155.7	5902.23	4926.53	7998.63	934513	1319	3	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	1	264196	12313.8	24950.9	146678	20291.5	21980.2	19522.3	6069.35	4264.66	7991.13	938532	1335	2	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	2	262516	12295.1	21738.9	149030	20736.5	22319	18044.1	5938.36	4299	7991.38	936214	1326	9	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	3	263749	12295.7	21770.2	149993	20277.1	22369.2	18103.6	6360.93	4448.62	8002.67	940939	1326	2	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	4	272559	15233.8	21690.9	149249	20579.7	27769.4	19663.5	5977.15	4312.12	7955.09	943678	1329	160	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	5	266540	12262.3	31131.3	143328	20115.9	22322.1	17462.8	5991.89	5758.07	8025.59	935674	1340	6	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	6	255818	12327.5	21551.8	143455	20062.6	22209	17417.9	6327.18	4299.75	8022.58	927704	1306	6	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	7	252747	12286.7	21765	139897	20269.6	22028.1	17956	6019.57	4292.29	8092.63	927806	1318	7	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	8	251206	12307.1	21785.8	139417	20100.2	22001.8	17210.8	5956.44	4299.45	7996.04	924376	1301	1	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	9	252852	12256.6	21648.8	140387	20240.7	21966.8	17747.8	6182.85	4303.58	7982.46	928263	1316	14	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	10	252626	12314.1	21827.4	140220	20207.2	22028.4	17627.9	6018.27	4247.58	8001	929529	1301	5	1	0	0xd43f5e018b415631
stage53_condition_variable_safe_default	0	11	253273	12428.2	21745.1	140527	20123.5	22247.1	17906.4	5877.86	4262.25	8020.84	927231	1296	5	1	0	0xd43f5e018b415631
