index	image_id	width	height	decode_letterbox_us	executor_us	decode_output_us	detections	output_hash
0	139	640	426	30616.1	229577	70.917	299	0x95c5770d8878f858
1	285	586	640	38355.2	228903	31.334	11	0xd979bcddbcf1aa7
2	632	640	483	27120	229092	69.876	300	0xe945449ed6f22e88
3	724	375	500	25141.9	229368	39.792	74	0xbf25d44c8d059e83
4	776	428	640	25926.5	229259	40.792	69	0x2705458d328a3ece
5	785	640	425	23762.8	228779	39	61	0x4b564353bafcd65e
6	802	424	640	20862	229564	32.542	21	0x9bd932c97717c29b
7	872	621	640	38501.2	229744	41.125	84	0x3eb9836db8767126
8	885	640	427	23521	228101	59.876	231	0x82cba532f8dea5fb
9	1000	640	480	32386.3	229017	68.125	286	0xd9eaa865ccf323a
10	1268	640	427	25586.5	229330	67.542	300	0xe8ae2026fd85cb64
11	1296	427	640	24751.2	231424	49.292	142	0xefaaa24be1f8f511
12	1353	375	500	21118.4	229618	48.917	150	0x27472789c57664b0
13	1425	640	512	22710.7	229209	46.208	107	0xd9aac1b013a28b8f
14	1490	640	315	15823.5	228369	37.542	61	0x7724d40570725a75
15	1503	320	240	17011.9	229587	42.501	87	0x8c18b098a59b35e8
16	1532	640	480	27852.1	228517	68	295	0xa8dc13fe2effd902
17	1584	612	612	35649.5	228664	65.625	288	0x180b6f28feb830e
18	1675	640	480	24204.1	228001	43.083	92	0x8c451c65fb4ce92d
19	1761	427	640	22716.7	230657	42.917	102	0x23ed271cbf0c148f
20	1818	640	425	24245.8	228668	37.083	48	0xf2a9b1a2d01d8571
21	1993	640	419	22634.8	229064	46.001	118	0x4df8bfb3f4d64921
22	2006	640	480	27950.6	228848	60.667	241	0x8dd69485296d3a26
23	2149	640	427	20619.6	229109	47.542	137	0x4d0777df89df377e
24	2153	640	480	26706.5	229909	38.459	65	0x1a479a63c040fe6a
25	2157	640	427	23695.1	229036	69	292	0xaacc5cadd8cb2744
26	2261	640	427	26063.6	228332	35.333	29	0xcca883adb8afad64
27	2299	500	302	16579.4	231169	68.334	296	0x39e1f4b0ba8e0415
28	2431	457	640	25079.7	228494	57.75	223	0xe1a16cd6e4aebac3
29	2473	640	427	22307.4	228737	50.751	142	0x8a519d7da1ab3024
30	2532	480	640	28753.4	229682	39.125	79	0xb7784aae4c401911
31	2587	500	375	22088.4	229509	42.334	90	0xdf3b94810f0a818f
32	2592	640	366	20466.6	228202	34.042	34	0xacb4322622889677
33	2685	640	555	34231.2	229812	68.708	292	0x383ecda3a36da766
34	2923	500	375	21603	237893	65.875	275	0x6f2a34d126c27d95
35	3156	443	640	21795.9	233405	46.208	115	0x4ffdc0d3ba40d5dc
36	3255	640	363	21772.4	228005	41.125	93	0x5dfcd021fd73b60e
37	3501	612	612	36065.4	229539	36.709	63	0xe6fa6aed355447fe
38	3553	640	427	24407.4	228571	37.833	53	0xfca07dcf496d4e3
39	3661	640	384	21072.3	229519	50.667	136	0xd8a33c6cd7f6f142
40	3845	500	375	23780.4	228982	46.625	126	0xa40084886ea78a43
41	3934	375	500	23065.4	229088	68.751	300	0xba64248e2dbd9fc7
42	4134	640	425	24708.2	229400	69.5	298	0x3740619deb6919bf
43	4395	425	640	21168.9	231734	37.209	49	0x69eb3d8e8af41d0b
44	4495	500	375	21997.9	228604	34.876	31	0x511554f075e02786
45	4765	612	612	35358.2	228853	31.667	9	0xdedb3ee5787effe2
46	4795	640	480	27699.5	229011	47.75	125	0x9508f6ab73576892
47	5001	640	480	27762.8	229388	69.334	298	0x3f144b95912dcb6d
48	5037	640	425	25405.1	228637	67.792	300	0xeb78b85dff7d2794
49	5060	480	640	27540.3	228530	55.75	201	0x2dd582d52a143859
50	5193	640	425	22280.2	229717	69.709	300	0x971458c7e9a001ca
51	5477	640	349	20676.7	231606	41.834	85	0x480da622592fb619
52	5503	333	500	16862	228961	33.375	28	0x2c534de19296265
53	5529	444	640	27673.8	229134	36.667	50	0x2047c172ccb44538
54	5586	320	240	12065.5	228903	67.709	296	0xc36332e3750ca58e
55	5600	640	361	21320.1	229430	46.667	131	0xb319faf81f00dd22
56	5992	640	428	25561.1	229021	37.042	51	0x9b0845c3b869f7d2
57	6012	640	531	29693	228341	38.042	51	0x1b3c610d77200635
58	6040	640	351	21462.9	228586	55.542	195	0x2e4754b103636ea
59	6213	640	425	22161.5	230933	42.376	82	0xafc87e3767b0fba8
