run	operation_index	resident_operation_index	kind	scope	wall_us	name
20	0	-1	input_quant	full_executor	12530.064	images_QuantizeLinear
20	1	-1	conv_dense	full_executor	9540.102	/model.0/conv/Conv
20	2	-1	lut1	full_executor	868.513	/model.0/act/Mul_output_0_QuantizeLinear
20	3	-1	conv_dense	full_executor	8260.499	/model.1/conv/Conv
20	4	-1	lut1	full_executor	420.048	/model.1/act/Mul_output_0_QuantizeLinear
20	5	-1	conv_dense	full_executor	5957.632	/model.2/cv1/conv/Conv
20	6	-1	split	full_executor	217.379	/model.2/Split
20	7	-1	conv_dense	full_executor	3079.38	/model.2/m.0/cv1/conv/Conv
20	8	-1	lut1	full_executor	81.96	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear
20	9	-1	conv_dense	full_executor	3593.72	/model.2/m.0/cv2/conv/Conv
20	10	-1	lut2	full_executor	1629.525	/model.2/m.0/Add_output_0@/model.2/Concat_output_0_QuantizeLinear_Output
20	11	-1	concat	full_executor	570.176	/model.2/Concat
20	12	-1	conv_dense	full_executor	12938.944	/model.2/cv2/conv/Conv
20	13	-1	lut1	full_executor	877.388	/model.2/cv2/act/Mul_output_0_QuantizeLinear
20	14	-1	conv_dense	full_executor	7064.649	/model.3/conv/Conv
20	15	-1	lut1	full_executor	171.336	/model.3/act/Mul_output_0_QuantizeLinear
20	16	-1	conv_dense	full_executor	3330.884	/model.4/cv1/conv/Conv
20	17	-1	split	full_executor	104.876	/model.4/Split
20	18	-1	conv_dense	full_executor	1751.568	/model.4/m.0/cv1/conv/Conv
20	19	-1	lut1	full_executor	46.584	/model.4/m.0/cv1/act/Mul_output_0_QuantizeLinear
20	20	-1	conv_dense	full_executor	1896.237	/model.4/m.0/cv2/conv/Conv
20	21	-1	lut2	full_executor	953.431	/model.4/m.0/Add_output_0@/model.4/Concat_output_0_QuantizeLinear_Output
20	22	-1	concat	full_executor	321.838	/model.4/Concat
20	23	-1	conv_dense	full_executor	6864.853	/model.4/cv2/conv/Conv
20	-1	0	lut	resident_core	427.881	/model.4/cv2/final_silu
20	25	1	conv	resident_core	3422.885	/model.5/conv/Conv
20	27	2	conv	resident_core	1263.435	/model.6/cv1/conv/Conv
20	29	3	conv	resident_core	250.379	/model.6/m.0/cv1/conv/Conv
20	30	4	conv	resident_core	275.712	/model.6/m.0/cv2/conv/Conv
20	32	5	conv	resident_core	539.05	/model.6/m.0/m/m.0/cv1/conv/Conv
20	34	6	conv	resident_core	549.508	/model.6/m.0/m/m.0/cv2/conv/Conv
20	-1	7	add_silu	resident_core	190.503	/model.6/m.0/m/m.0/Add
20	36	8	conv	resident_core	539.842	/model.6/m.0/m/m.1/cv1/conv/Conv
20	38	9	conv	resident_core	543.05	/model.6/m.0/m/m.1/cv2/conv/Conv
20	-1	10	add_silu	resident_core	212.669	/model.6/m.0/m/m.1/Add
20	40	11	concat	resident_core	6.375	/model.6/m.0/Concat
20	41	12	conv	resident_core	535.758	/model.6/m.0/cv3/conv/Conv
20	42	13	concat	resident_core	54.751	/model.6/Concat
20	43	14	conv	resident_core	1405.896	/model.6/cv2/conv/Conv
20	45	15	conv	resident_core	1760.11	/model.7/conv/Conv
20	47	16	conv	resident_core	771.137	/model.8/cv1/conv/Conv
20	49	17	conv	resident_core	150.127	/model.8/m.0/cv1/conv/Conv
20	50	18	conv	resident_core	153.669	/model.8/m.0/cv2/conv/Conv
20	52	19	conv	resident_core	446.09	/model.8/m.0/m/m.0/cv1/conv/Conv
20	54	20	conv	resident_core	434.715	/model.8/m.0/m/m.0/cv2/conv/Conv
20	-1	21	add_silu	resident_core	86.251	/model.8/m.0/m/m.0/Add
20	56	22	conv	resident_core	438.506	/model.8/m.0/m/m.1/cv1/conv/Conv
20	58	23	conv	resident_core	433.631	/model.8/m.0/m/m.1/cv2/conv/Conv
20	-1	24	add_silu	resident_core	98.252	/model.8/m.0/m/m.1/Add
20	60	25	concat	resident_core	5.417	/model.8/m.0/Concat
20	61	26	conv	resident_core	295.38	/model.8/m.0/cv3/conv/Conv
20	62	27	concat	resident_core	29.501	/model.8/Concat
20	63	28	conv	resident_core	835.929	/model.8/cv2/conv/Conv
20	65	29	conv	resident_core	443.131	/model.9/cv1/conv/Conv
20	-1	30	maxpool	resident_core	478.591	/model.9/m/MaxPool
20	-1	31	maxpool	resident_core	467.132	/model.9/m_1/MaxPool
20	-1	32	maxpool	resident_core	467.715	/model.9/m_2/MaxPool
20	66	33	concat	resident_core	104.585	/model.9/Concat
20	67	34	conv	resident_core	943.348	/model.9/cv2/conv/Conv
20	-1	35	add_silu	resident_core	339.505	/model.9/Add
20	-1	-1	bridge	resident_bridge	115.795	resident_core_bridge_overhead
20	69	-1	conv_dense	full_executor	1052.391	/model.10/cv1/conv/Conv
20	70	-1	split	full_executor	28.625	/model.10/Split
20	71	-1	conv_dense	full_executor	892.138	/model.10/m/m.0/attn/qkv/conv/Conv
20	72	-1	split	full_executor	346.963	/model.10/m/m.0/attn/Split
20	73	-1	split	full_executor	692.469	/model.10/m/m.0/attn/Split
20	74	-1	reshape_split_transpose	full_executor	352.964	/model.10/m/m.0/attn/Transpose
20	75	-1	reshape	full_executor	22.5	/model.10/m/m.0/attn/Reshape_2
20	76	-1	matmul	full_executor	3072.296	/model.10/m/m.0/attn/MatMul
20	77	-1	conv_grouped	full_executor	5666.836	/model.10/m/m.0/attn/pe/conv/Conv
20	78	-1	softmax_transpose	full_executor	4613.987	/model.10/m/m.0/attn/Transpose_1
20	79	-1	matmul	full_executor	3869.35	/model.10/m/m.0/attn/MatMul_1
20	80	-1	lut2	full_executor	1820.319	/model.10/m/m.0/attn/Add_output_0_QuantizeLinear
20	81	-1	conv_dense	full_executor	440.298	/model.10/m/m.0/attn/proj/conv/Conv
20	82	-1	lut2	full_executor	231.962	/model.10/m/m.0/Add_output_0_QuantizeLinear
20	83	-1	conv_dense	full_executor	908.972	/model.10/m/m.0/ffn/ffn.0/conv/Conv
20	84	-1	lut1	full_executor	46.75	/model.10/m/m.0/ffn/ffn.0/act/Mul_output_0_QuantizeLinear
20	85	-1	conv_dense	full_executor	541.509	/model.10/m/m.0/ffn/ffn.1/conv/Conv
20	86	-1	lut2	full_executor	279.046	/model.10/m/m.0/Add_1_output_0@/model.10/Concat_output_0_QuantizeLinear_Output
20	87	-1	concat	full_executor	53.626	/model.10/Concat
20	88	-1	conv_dense	full_executor	1008.807	/model.10/cv2/conv/Conv
20	89	-1	concat	full_executor	469.548	/model.12/Concat
20	90	-1	conv_dense	full_executor	2644.207	/model.13/cv1/conv/Conv
20	91	-1	split	full_executor	50.501	/model.13/Split
20	92	-1	conv_dense	full_executor	453.173	/model.13/m.0/cv1/conv/Conv
20	93	-1	conv_dense	full_executor	418.131	/model.13/m.0/cv2/conv/Conv
20	94	-1	lut1	full_executor	24.417	/model.13/m.0/cv1/act/Mul_output_0_QuantizeLinear
20	95	-1	conv_dense	full_executor	598.8	/model.13/m.0/m/m.0/cv1/conv/Conv
20	96	-1	lut1	full_executor	25.126	/model.13/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear
