operation_index	resident_operation_index	kind	scope	name	category	implementation_status	samples	mean_us	stddev_us	cv_pct	min_us	median_us	p90_us	p95_us	p99_us	p999_us	max_us	full_wall_pct	logical_operation_index	model_block	input_shapes	output_shape	output_layout	macs	input_bytes	output_bytes	input_output_bytes	selected_implementation	worker_count	generic_logical_accessor_in_hot_loop	separate_materialization	fusion_or_view_eligibility
0	-1	input_quant	full_executor	images_QuantizeLinear	input_quantization_layout	stable-selected	50	12504.352820000002	151.0145019025832	1.207695464742838	12276.185	12521.771499999999	12670.9941	12708.78865	12860.502779999999	12939.387978	12948.153	5.215115237842852	0	executor	not-applicable	1x3x640x640	NCHWc8_SPATIAL_INNER_V1	0	0	3276800	3276800	full_executor:input_quant	1	no	no	not-applicable
1	-1	conv_dense	full_executor	/model.0/conv/Conv	dense_conv_outside_resident_region	stable-selected	50	9557.01284	28.92796328980538	0.3026883376019968	9517.268	9554.831	9596.4523	9601.6799	9632.32951	9657.025951	9659.77	3.9858858757109017	1	model.0	1x3x640x640	1x16x320x320	NCHWc8_SPATIAL_INNER_V1	44236800	3276800	1638400	4915200	full_executor:conv_dense	4	no	no	not-applicable
2	-1	lut1	full_executor	/model.0/act/Mul_output_0_QuantizeLinear	lut1	measured-direct	50	878.9716400000001	66.66753193448145	7.584719335709334	786.054	867.8045	963.7062999999999	970.21705	1033.65059	1047.854759	1049.433	0.3665874163486473	2	model.0	1x16x320x320	1x16x320x320	NCHWc8_SPATIAL_INNER_V1	0	1638400	1638400	3276800	full_executor:lut1	1	no	yes	Conv-to-LUT eligible; complete-model fusion arm rejected
3	-1	conv_dense	full_executor	/model.1/conv/Conv	dense_conv_outside_resident_region	stable-selected	50	8262.30998	50.00527703683092	0.6052215077608468	8181.414	8254.999	8324.6083	8350.69665	8383.81292	8404.007192000001	8406.251	3.445911939365693	3	model.1	1x16x320x320	1x32x160x160	NCHWc8_SPATIAL_INNER_V1	117964800	1638400	819200	2457600	full_executor:conv_dense	4	no	no	not-applicable
4	-1	lut1	full_executor	/model.1/act/Mul_output_0_QuantizeLinear	lut1	measured-direct	50	368.79138	35.37232915475378	9.59141972210787	318.88	350.026	420.5522	432.23795	467.7188299999999	489.91568300000006	492.382	0.15380960319249	4	model.1	1x32x160x160	1x32x160x160	NCHWc8_SPATIAL_INNER_V1	0	819200	819200	1638400	full_executor:lut1	1	no	yes	Conv-to-LUT eligible; complete-model fusion arm rejected
5	-1	conv_dense	full_executor	/model.2/cv1/conv/Conv	dense_conv_outside_resident_region	stable-selected	50	6062.94118	417.8641019708022	6.892102192071774	5930.839	5995.0485	6079.733	6100.148249999999	7560.348759999994	8803.693576000001	8941.843	2.5286344194791295	5	model.2	1x32x160x160	1x32x160x160	NCHWc8_SPATIAL_INNER_V1	26214400	819200	819200	1638400	full_executor:conv_dense	4	no	no	not-applicable
6	-1	split	full_executor	/model.2/Split	split_reshape_transpose	measured-reference	50	194.60874	10.293185617461203	5.289169241556778	179.044	192.274	202.27859999999998	210.99034999999998	230.27740999999995	241.430741	242.67	0.08116429694530947	6	model.2	1x32x160x160	1x16x160x160	NCHWc8_SPATIAL_INNER_V1	0	819200	409600	1228800	full_executor:split	1	yes-reference	yes	view/alias where lifetime and physical layout permit
7	-1	conv_dense	full_executor	/model.2/m.0/cv1/conv/Conv	dense_conv_outside_resident_region	stable-selected	50	3058.63598	31.203054791903494	1.0201624186708054	3013.629	3058.7545	3095.3303	3102.5508	3144.5820799999997	3148.863308	3149.339	1.2756469155924222	7	model.2	1x16x160x160	1x8x160x160	NCHWc8_SPATIAL_INNER_V1	29491200	409600	204800	614400	full_executor:conv_dense	4	no	no	not-applicable
8	-1	lut1	full_executor	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear	lut1	measured-direct	50	84.19872	5.313605098658519	6.310790827531012	79.501	83.709	86.41770000000001	87.4494	103.30482999999994	116.68168300000002	118.168	0.03511625383574739	8	model.2	1x8x160x160	1x8x160x160	NCHWc8_SPATIAL_INNER_V1	0	204800	204800	409600	full_executor:lut1	1	no	yes	Conv-to-LUT eligible; complete-model fusion arm rejected
9	-1	conv_dense	full_executor	/model.2/m.0/cv2/conv/Conv	dense_conv_outside_resident_region	stable-selected	50	3633.0988799999996	191.5672685276067	5.272833876946578	3553.512	3598.117	3642.2964	3681.4847499999996	4346.153759999997	4885.706676000001	4945.657	1.5152347028606792	9	model.2	1x8x160x160	1x16x160x160	NCHWc8_SPATIAL_INNER_V1	29491200	204800	409600	614400	full_executor:conv_dense	4	no	no	not-applicable
10	-1	lut2	full_executor	/model.2/m.0/Add_output_0@/model.2/Concat_output_0_QuantizeLinear_Output	lut2_add	stable-selected	50	1669.49606	109.29413976772841	6.546534752991776	1627.191	1642.2335	1679.7004	1697.6589999999999	2087.833769999999	2373.1285770000004	2404.828	0.6962866825141778	10	model.2	1x16x160x160,1x16x160x160	1x16x160x160	NCHWc8_SPATIAL_INNER_V1	0	819200	409600	1228800	full_executor:lut2	4	no	yes	not-applicable
11	-1	concat	full_executor	/model.2/Concat	concat_resize	measured-direct	50	610.34416	47.54433282666885	7.78975796650022	537.925	604.03	658.3772	663.83295	767.5099399999997	827.1745940000001	833.804	0.25455256861061565	11	model.2	1x32x160x160,1x16x160x160,1x16x160x160	1x48x160x160	NCHWc8_SPATIAL_INNER_V1	0	1638400	1228800	2867200	full_executor:concat	1	no	yes	producer-direct where quantization domains permit
12	-1	conv_dense	full_executor	/model.2/cv2/conv/Conv	dense_conv_outside_resident_region	stable-selected	50	12997.96708	87.87038376526371	0.6760317457679214	12876.819	12977.008	13127.8348	13137.224750000001	13221.81284	13234.197884000001	13235.574	5.420983968995826	12	model.2	1x48x160x160	1x64x160x160	NCHWc8_SPATIAL_INNER_V1	78643200	1228800	1638400	2867200	full_executor:conv_dense	4	no	no	not-applicable
13	-1	lut1	full_executor	/model.2/cv2/act/Mul_output_0_QuantizeLinear	lut1	measured-direct	50	898.4085	71.78465298696639	7.990201894457409	779.095	875.3675	975.3352000000001	1052.5120499999998	1147.7984199999999	1159.282942	1160.559	0.3746938306686023	13	model.2	1x64x160x160	1x64x160x160	NCHWc8_SPATIAL_INNER_V1	0	1638400	1638400	3276800	full_executor:lut1	1	no	yes	Conv-to-LUT eligible; complete-model fusion arm rejected
14	-1	conv_dense	full_executor	/model.3/conv/Conv	dense_conv_outside_resident_region	stable-selected	50	7069.8804	34.67802384443355	0.49050368439660663	7015.647	7072.3145	7084.218800000001	7094.1714	7184.80653	7261.541853000001	7270.068	2.9485925049071446	14	model.3	1x64x160x160	1x64x80x80	NCHWc8_SPATIAL_INNER_V1	235929600	1638400	409600	2048000	full_executor:conv_dense	4	no	no	not-applicable
15	-1	lut1	full_executor	/model.3/act/Mul_output_0_QuantizeLinear	lut1	measured-direct	50	178.16096000000002	19.9743371946534	11.211399621248898	167.169	174.961	177.72379999999998	190.24514999999994	258.2160999999998	305.2752100000001	310.504	0.07430452024663127	15	model.3	1x64x80x80	1x64x80x80	NCHWc8_SPATIAL_INNER_V1	0	409600	409600	819200	full_executor:lut1	1	no	yes	Conv-to-LUT eligible; complete-model fusion arm rejected
16	-1	conv_dense	full_executor	/model.4/cv1/conv/Conv	dense_conv_outside_resident_region	stable-selected	50	3382.15842	33.781599215470735	0.9988177672490791	3290.966	3377.6549999999997	3427.3554999999997	3439.2873	3446.90691	3446.9249910000003	3446.927	1.4105764741961675	16	model.4	1x64x80x80	1x64x80x80	NCHWc8_SPATIAL_INNER_V1	26214400	409600	409600	819200	full_executor:conv_dense	4	no	no	not-applicable
17	-1	split	full_executor	/model.4/Split	split_reshape_transpose	measured-reference	50	97.34402	10.041055557752756	10.315020437570542	88.001	95.21	98.1811	109.25344999999997	142.31500999999997	150.584201	151.503	0.04059868505972621	17	model.4	1x64x80x80	1x32x80x80	NCHWc8_SPATIAL_INNER_V1	0	409600	204800	614400	full_executor:split	1	yes-reference	yes	view/alias where lifetime and physical layout permit
18	-1	conv_dense	full_executor	/model.4/m.0/cv1/conv/Conv	dense_conv_outside_resident_region	stable-selected	50	1703.92726	27.08303118176111	1.589447614199277	1660.858	1695.942	1749.1549	1751.17425	1756.54425	1758.253125	1758.443	0.7106466960520247	18	model.4	1x32x80x80	1x16x80x80	NCHWc8_SPATIAL_INNER_V1	29491200	204800	102400	307200	full_executor:conv_dense	4	no	no	not-applicable
19	-1	lut1	full_executor	/model.4/m.0/cv1/act/Mul_output_0_QuantizeLinear	lut1	measured-direct	50	46.79316	6.372831880566062	13.619152629499828	43.251	45.667500000000004	47.650400000000005	50.93415	74.97316999999995	84.748817	85.835	0.019515741858507366	19	model.4	1x16x80x80	1x16x80x80	NCHWc8_SPATIAL_INNER_V1	0	102400	102400	204800	full_executor:lut1	1	no	yes	Conv-to-LUT eligible; complete-model fusion arm rejected
20	-1	conv_dense	full_executor	/model.4/m.0/cv2/conv/Conv	dense_conv_outside_resident_region	stable-selected	50	1953.95604	29.451855698410576	1.5072936696370391	1896.237	1957.196	1985.288	1993.7450999999999	2009.58434	2022.961634	2024.448	0.8149246958211689	20	model.4	1x16x80x80	1x32x80x80	NCHWc8_SPATIAL_INNER_V1	29491200	102400	204800	307200	full_executor:conv_dense	4	no	no	not-applicable
21	-1	lut2	full_executor	/model.4/m.0/Add_output_0@/model.4/Concat_output_0_QuantizeLinear_Output	lut2_add	stable-selected	50	915.2595200000001	24.059421291189427	2.6286993760184463	876.013	913.5345	949.3063	962.6685	973.3786699999999	978.413567	978.973	0.3817217842492655	21	model.4	1x32x80x80,1x32x80x80	1x32x80x80	NCHWc8_SPATIAL_INNER_V1	0	409600	204800	614400	full_executor:lut2	4	no	yes	not-applicable
22	-1	concat	full_executor	/model.4/Concat	concat_resize	measured-direct	50	343.69264000000004	26.590020328149965	7.736569607120468	321.13	337.526	359.88810000000007	377.34959999999995	442.9205999999998	489.64896000000005	494.841	0.1433418226276854	22	model.4	1x64x80x80,1x32x80x80,1x32x80x80	1x96x80x80	NCHWc8_SPATIAL_INNER_V1	0	819200	614400	1433600	full_executor:concat	1	no	yes	producer-direct where quantization domains permit
23	-1	conv_dense	full_executor	/model.4/cv2/conv/Conv	dense_conv_outside_resident_region	stable-selected	50	6816.45242	47.65958515114439	0.6991845936063087	6719.892	6818.29	6871.3536	6883.0662	6943.76042	6988.319942	6993.271	2.84289682123451	23	model.4	1x96x80x80	1x128x80x80	NCHWc8_SPATIAL_INNER_V1	78643200	614400	819200	1433600	full_executor:conv_dense	4	no	no	not-applicable
-1	0	lut	resident_core	/model.4/cv2/final_silu	resident_model4_final_to_model9	stable-selected	50	400.19508	73.61323729503204	18.394338404917928	350.88	371.2345	489.39930000000004	527.7017500000001	656.9705399999996	761.8200540000001	773.47	0.16690695551069223	composite-range	model.4	not-applicable	not-applicable	range-defined	0	0	0	0	resident_core:lut	4	no	no	not-applicable
25	1	conv	resident_core	/model.5/conv/Conv	resident_model4_final_to_model9	stable-selected	50	3471.5289000000002	53.3789870027408	1.53762185309017	3368.717	3466.1775	3511.2857	3532.56115	3652.2991099999995	3735.630911	3744.89	1.4478496828756178	25	model.5	1x128x80x80	1x128x40x40	NCHWc8_SPATIAL_INNER_V1	235929600	819200	204800	1024000	resident_core:conv	4	no	no	not-applicable
27	2	conv	resident_core	/model.6/cv1/conv/Conv	resident_model4_final_to_model9	stable-selected	50	1233.18518	40.42201072041349	3.2778540786886112	1191.643	1225.6855	1279.5607	1288.06305	1369.6798599999997	1433.662786	1440.772	0.5143171274736935	27	model.6	1x128x40x40	1x128x40x40	NCHWc8_SPATIAL_INNER_V1	26214400	204800	204800	409600	resident_core:conv	4	no	no	not-applicable
29	3	conv	resident_core	/model.6/m.0/cv1/conv/Conv	resident_model4_final_to_model9	stable-selected	50	251.80295999999998	8.680512622312259	3.4473433601861787	246.587	249.8575	253.9409	259.4684	291.77065999999996	292.505366	292.587	0.10501794635301517	29	model.6	1x64x40x40	1x32x40x40	NCHWc8_SPATIAL_INNER_V1	3276800	102400	51200	153600	resident_core:conv	4	no	no	not-applicable
30	4	conv	resident_core	/model.6/m.0/cv2/conv/Conv	resident_model4_final_to_model9	stable-selected	50	270.54238000000004	11.859997931462118	4.383785612983118	260.337	266.9415	275.3754	304.78335	310.72492	312.176692	312.338	0.11283348356610681	30	model.6	1x64x40x40	1x32x40x40	NCHWc8_SPATIAL_INNER_V1	3276800	102400	51200	153600	resident_core:conv	4	no	no	not-applicable
32	5	conv	resident_core	/model.6/m.0/m/m.0/cv1/conv/Conv	resident_model4_final_to_model9	stable-selected	50	549.40826	17.987562799379816	3.273988417898889	537.675	541.3	582.3423	588.1151	597.36342	602.894442	603.509	0.22913839922526497	32	model.6	1x32x40x40	1x32x40x40	NCHWc8_SPATIAL_INNER_V1	14745600	51200	51200	102400	resident_core:conv	4	no	no	not-applicable
34	6	conv	resident_core	/model.6/m.0/m/m.0/cv2/conv/Conv	resident_model4_final_to_model9	stable-selected	50	555.12926	14.340610656183536	2.583292160853408	544.758	550.8415	588.7506	591.75305	596.2914099999999	598.624741	598.884	0.2315244222930065	34	model.6	1x32x40x40	1x32x40x40	NCHWc8_SPATIAL_INNER_V1	14745600	51200	51200	102400	resident_core:conv	4	no	no	not-applicable
-1	7	add_silu	resident_core	/model.6/m.0/m/m.0/Add	resident_model4_final_to_model9	stable-selected	50	194.7087	17.02136398315184	8.741963755678016	186.003	190.6485	194.00240000000002	219.63234999999995	263.39141999999987	294.279942	297.712	0.08120598666141704	composite-range	model.6	not-applicable	not-applicable	range-defined	0	0	0	0	resident_core:add_silu	4	no	no	not-applicable
36	8	conv	resident_core	/model.6/m.0/m/m.1/cv1/conv/Conv	resident_model4_final_to_model9	stable-selected	50	551.2067	24.12259342443114	4.376324421388772	538.674	541.5285	581.5048	583.7693	631.9303499999999	672.539835	677.052	0.2298884637814525	36	model.6	1x32x40x40	1x32x40x40	NCHWc8_SPATIAL_INNER_V1	14745600	51200	51200	102400	resident_core:conv	4	no	no	not-applicable
38	9	conv	resident_core	/model.6/m.0/m/m.1/cv2/conv/Conv	resident_model4_final_to_model9	stable-selected	50	548.2631	15.985176568576628	2.9156032146932063	539.216	541.2375	575.2167	580.8734	596.3328399999999	606.953884	608.134	0.2286607942302894	38	model.6	1x32x40x40	1x32x40x40	NCHWc8_SPATIAL_INNER_V1	14745600	51200	51200	102400	resident_core:conv	4	no	no	not-applicable
-1	10	add_silu	resident_core	/model.6/m.0/m/m.1/Add	resident_model4_final_to_model9	stable-selected	50	214.75315999999998	7.649771100643789	3.562122718307749	210.128	213.3365	215.3158	215.96025	251.22833999999997	253.801134	254.087	0.08956580905967303	composite-range	model.6	not-applicable	not-applicable	range-defined	0	0	0	0	resident_core:add_silu	4	no	no	not-applicable
40	11	concat	resident_core	/model.6/m.0/Concat	resident_model4_final_to_model9	stable-selected	50	6.500119999999999	0.30087482243536134	4.628757968089226	5.959	6.4375	6.8381	6.93955	7.358249999999999	7.523625	7.542	0.0027109659610362047	40	model.6	1x32x40x40,1x32x40x40	1x64x40x40	NCHWc8_SPATIAL_INNER_V1	0	102400	102400	204800	resident_core:concat	4	no	no	producer-direct where quantization domains permit
41	12	conv	resident_core	/model.6/m.0/cv3/conv/Conv	resident_model4_final_to_model9	stable-selected	50	504.96422	8.101041286785556	1.604280257081493	493.091	504.549	509.6333	520.3679	534.1655000000001	535.59875	535.758	0.21060239071912482	41	model.6	1x64x40x40	1x64x40x40	NCHWc8_SPATIAL_INNER_V1	6553600	102400	102400	204800	resident_core:conv	4	no	no	not-applicable
42	13	concat	resident_core	/model.6/Concat	resident_model4_final_to_model9	stable-selected	50	54.15166	4.732427735295693	8.739210829909357	50.792	53.459	55.0385	55.4821	71.13616999999994	84.43981700000002	85.918	0.022584707204421735	42	model.6	1x128x40x40,1x64x40x40,1x64x40x40	1x192x40x40	NCHWc8_SPATIAL_INNER_V1	0	409600	307200	716800	resident_core:concat	4	no	no	producer-direct where quantization domains permit
43	14	conv	resident_core	/model.6/cv2/conv/Conv	resident_model4_final_to_model9	stable-selected	50	1396.14594	32.05313660184813	2.295829947537442	1326.395	1396.2295	1435.4338	1442.5736	1474.31851	1491.076951	1492.939	0.5822821917101371	43	model.6	1x192x40x40	1x128x40x40	NCHWc8_SPATIAL_INNER_V1	39321600	307200	204800	512000	resident_core:conv	4	no	no	not-applicable
45	15	conv	resident_core	/model.7/conv/Conv	resident_model4_final_to_model9	stable-selected	50	1770.07418	117.11303116685772	6.616278147555247	1665.858	1762.339	1803.8357	1829.84675	2203.623009999999	2489.6340010000004	2521.413	0.7382341942131948	45	model.7	1x128x40x40	1x256x20x20	NCHWc8_SPATIAL_INNER_V1	117964800	204800	102400	307200	resident_core:conv	4	no	no	not-applicable
47	16	conv	resident_core	/model.8/cv1/conv/Conv	resident_model4_final_to_model9	stable-selected	50	744.0011599999999	50.08080257244694	6.731280173332922	714.511	734.1775	752.9405	768.36185	940.0655499999995	1061.7837550000002	1075.308	0.3102960898770255	47	model.8	1x256x20x20	1x256x20x20	NCHWc8_SPATIAL_INNER_V1	26214400	102400	102400	204800	resident_core:conv	4	no	no	not-applicable
49	17	conv	resident_core	/model.8/m.0/cv1/conv/Conv	resident_model4_final_to_model9	stable-selected	50	153.06150000000002	11.497991239378132	7.51200742144702	146.461	150.89800000000002	154.0943	154.9899	206.41542999999993	219.995143	221.504	0.06383643939575626	49	model.8	1x128x20x20	1x64x20x20	NCHWc8_SPATIAL_INNER_V1	3276800	51200	25600	76800	resident_core:conv	4	no	no	not-applicable
50	18	conv	resident_core	/model.8/m.0/cv2/conv/Conv	resident_model4_final_to_model9	stable-selected	50	156.7982	10.756654193036576	6.860189844677156	151.877	154.58550000000002	157.2696	159.61929999999998	206.04267999999993	220.669768	222.295	0.06539488239474764	50	model.8	1x128x20x20	1x64x20x20	NCHWc8_SPATIAL_INNER_V1	3276800	51200	25600	76800	resident_core:conv	4	no	no	not-applicable
52	19	conv	resident_core	/model.8/m.0/m/m.0/cv1/conv/Conv	resident_model4_final_to_model9	stable-selected	50	454.08601999999996	24.862519266254946	5.475288419197523	441.506	447.736	478.3112	483.75915	550.7462699999998	600.745527	606.301	0.18938292579250926	52	model.8	1x64x20x20	1x64x20x20	NCHWc8_SPATIAL_INNER_V1	14745600	25600	25600	51200	resident_core:conv	4	no	no	not-applicable
54	20	conv	resident_core	/model.8/m.0/m/m.0/cv2/conv/Conv	resident_model4_final_to_model9	stable-selected	50	445.38665999999995	21.35278600721217	4.794213191569809	430.632	438.34	472.4115	475.8881	523.5834299999998	562.7411430000001	567.092	0.18575473602942796	54	model.8	1x64x20x20	1x64x20x20	NCHWc8_SPATIAL_INNER_V1	14745600	25600	25600	51200	resident_core:conv	4	no	no	not-applicable
-1	21	add_silu	resident_core	/model.8/m.0/m/m.0/Add	resident_model4_final_to_model9	stable-selected	50	88.00544	7.715788891008635	8.767399936877352	85.876	86.3555	87.168	87.6302	125.28084	128.404884	128.752	0.03670389965508545	composite-range	model.8	not-applicable	not-applicable	range-defined	0	0	0	0	resident_core:add_silu	4	no	no	not-applicable
56	22	conv	resident_core	/model.8/m.0/m/m.1/cv1/conv/Conv	resident_model4_final_to_model9	stable-selected	50	446.87161999999995	24.36128184597814	5.451516891132658	429.464	438.798	471.81530000000004	476.66134999999997	537.9399199999998	579.963692	584.633	0.18637405936707407	56	model.8	1x64x20x20	1x64x20x20	NCHWc8_SPATIAL_INNER_V1	14745600	25600	25600	51200	resident_core:conv	4	no	no	not-applicable
58	23	conv	resident_core	/model.8/m.0/m/m.1/cv2/conv/Conv	resident_model4_final_to_model9	stable-selected	50	443.67322	27.614769613888924	6.224123604730735	431.59	435.50649999999996	457.7817	475.70959999999997	561.8913399999998	600.846634	605.175	0.1850401219121074	58	model.8	1x64x20x20	1x64x20x20	NCHWc8_SPATIAL_INNER_V1	14745600	25600	25600	51200	resident_core:conv	4	no	no	not-applicable
-1	24	add_silu	resident_core	/model.8/m.0/m/m.1/Add	resident_model4_final_to_model9	stable-selected	50	102.18825999999999	11.098832692454739	10.86116222397244	95.834	99.1055	100.7886	132.25664999999995	145.14742999999999	148.80464300000003	149.211	0.04261904310651458	composite-range	model.8	not-applicable	not-applicable	range-defined	0	0	0	0	resident_core:add_silu	4	no	no	not-applicable
60	25	concat	resident_core	/model.8/m.0/Concat	resident_model4_final_to_model9	stable-selected	50	5.43342	0.4578851157044455	8.427198996294148	4.667	5.396	6.0	6.1061	6.545669999999999	6.729567	6.75	0.0022660838064548555	60	model.8	1x64x20x20,1x64x20x20	1x128x20x20	NCHWc8_SPATIAL_INNER_V1	0	51200	51200	102400	resident_core:concat	4	no	no	producer-direct where quantization domains permit
