operation_index	resident_operation_index	kind	name	mean_us	p95_us	implementation	layout	workers	confidence
1	-1	conv_dense	/model.0/conv/Conv	9557.01284	9601.6799	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
3	-1	conv_dense	/model.1/conv/Conv	8262.30998	8350.69665	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
5	-1	conv_dense	/model.2/cv1/conv/Conv	6062.94118	6100.148249999999	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
7	-1	conv_dense	/model.2/m.0/cv1/conv/Conv	3058.63598	3102.5508	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
9	-1	conv_dense	/model.2/m.0/cv2/conv/Conv	3633.0988799999996	3681.4847499999996	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
12	-1	conv_dense	/model.2/cv2/conv/Conv	12997.96708	13137.224750000001	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
14	-1	conv_dense	/model.3/conv/Conv	7069.8804	7094.1714	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
16	-1	conv_dense	/model.4/cv1/conv/Conv	3382.15842	3439.2873	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
18	-1	conv_dense	/model.4/m.0/cv1/conv/Conv	1703.92726	1751.17425	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
20	-1	conv_dense	/model.4/m.0/cv2/conv/Conv	1953.95604	1993.7450999999999	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
23	-1	conv_dense	/model.4/cv2/conv/Conv	6816.45242	6883.0662	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
25	1	conv	/model.5/conv/Conv	3471.5289000000002	3532.56115	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
27	2	conv	/model.6/cv1/conv/Conv	1233.18518	1288.06305	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
29	3	conv	/model.6/m.0/cv1/conv/Conv	251.80295999999998	259.4684	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
30	4	conv	/model.6/m.0/cv2/conv/Conv	270.54238000000004	304.78335	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
32	5	conv	/model.6/m.0/m/m.0/cv1/conv/Conv	549.40826	588.1151	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
34	6	conv	/model.6/m.0/m/m.0/cv2/conv/Conv	555.12926	591.75305	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
36	8	conv	/model.6/m.0/m/m.1/cv1/conv/Conv	551.2067	583.7693	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
38	9	conv	/model.6/m.0/m/m.1/cv2/conv/Conv	548.2631	580.8734	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
41	12	conv	/model.6/m.0/cv3/conv/Conv	504.96422	520.3679	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
43	14	conv	/model.6/cv2/conv/Conv	1396.14594	1442.5736	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
45	15	conv	/model.7/conv/Conv	1770.07418	1829.84675	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
47	16	conv	/model.8/cv1/conv/Conv	744.0011599999999	768.36185	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
49	17	conv	/model.8/m.0/cv1/conv/Conv	153.06150000000002	154.9899	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
50	18	conv	/model.8/m.0/cv2/conv/Conv	156.7982	159.61929999999998	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
52	19	conv	/model.8/m.0/m/m.0/cv1/conv/Conv	454.08601999999996	483.75915	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
54	20	conv	/model.8/m.0/m/m.0/cv2/conv/Conv	445.38665999999995	475.8881	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
56	22	conv	/model.8/m.0/m/m.1/cv1/conv/Conv	446.87161999999995	476.66134999999997	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
58	23	conv	/model.8/m.0/m/m.1/cv2/conv/Conv	443.67322	475.70959999999997	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
61	26	conv	/model.8/m.0/cv3/conv/Conv	306.1946	340.31315	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
63	28	conv	/model.8/cv2/conv/Conv	860.74868	899.05675	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
65	29	conv	/model.9/cv1/conv/Conv	403.22102	437.58549999999997	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
67	34	conv	/model.9/cv2/conv/Conv	974.81546	1021.8779	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
69	-1	conv_dense	/model.10/cv1/conv/Conv	1027.1246	1066.9248499999999	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
71	-1	conv_dense	/model.10/m/m.0/attn/qkv/conv/Conv	896.6135	930.75775	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
