surface	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
stage52_reproduced	0	0	501391	32864.1	19478.3	140633	102333	44236.7	65833.2	35665.2	19856.1	40428.9	1804040.0	1208	5	1	0	0xd43f5e018b415631
stage52_reproduced	0	1	502674	32779	19461.3	140758	102702	45174	66056.6	35549.9	19633.7	40489.9	1808550.0	1197	11	1	0	0xd43f5e018b415631
stage52_reproduced	0	2	504108	32761.5	19300.7	141404	102460	45257.1	67381.9	35647.4	19387.4	40441.5	1808440.0	1201	2	1	0	0xd43f5e018b415631
stage52_reproduced	0	3	502420	32776	19281.4	141123	102638	45555.1	65669.3	35507.8	19423	40380.4	1805630.0	1194	5	1	0	0xd43f5e018b415631
stage52_reproduced	0	4	501784	32770.8	19405.7	140473	102577	44401.1	66046	35844.5	19757.7	40438.6	1805070.0	1204	3	1	0	0xd43f5e018b415631
stage52_reproduced	0	5	502319	32803	19538.8	140548	102537	45413.2	65882.1	35415.2	19682	40430.6	1807430.0	1200	12	1	0	0xd43f5e018b415631
stage52_reproduced	0	6	504162	32793.7	19241.5	141329	102622	44712.2	66852.3	36197.1	20006.5	40342.2	1809150.0	1198	6	1	0	0xd43f5e018b415631
stage52_reproduced	0	7	518629	32780.6	19355.2	140891	118994	45001.7	65637.5	35783.2	19683.7	40427.9	1808240.0	1198	18	1	0	0xd43f5e018b415631
stage52_reproduced	0	8	502071	32803.4	19543.7	141040	102610	44382.1	65758.8	35860.4	19629.7	40382.2	1807390.0	1203	5	1	0	0xd43f5e018b415631
stage52_reproduced	0	9	502492	32822.8	19259.9	140977	102656	45432.5	65589.7	35549.4	19757.6	40379.6	1805850.0	1202	11	1	0	0xd43f5e018b415631
stage52_reproduced	0	10	503539	32825.3	19545.6	140766	102558	46140.8	65769.7	35833.2	19666.9	40364.8	1809810.0	1202	2	1	0	0xd43f5e018b415631
stage52_reproduced	0	11	501539	32812.6	19334.3	140639	102478	44391.3	65838.4	35814.4	19748.9	40417	1804500.0	1217	5	1	0	0xd43f5e018b415631
stage52_reproduced	0	12	501991	32764.8	19239	140810	102648	45307.2	65569.3	35597.4	19632.9	40355.9	1805160.0	1205	3	1	0	0xd43f5e018b415631
stage52_reproduced	0	13	501618	32837.1	19213.7	140984	102464	44393.1	65955.2	35653.6	19646	40404.5	1806740.0	1198	3	1	0	0xd43f5e018b415631
stage52_reproduced	0	14	504721	32802.8	19439.9	140988	102601	45696.7	67491.9	35584.2	19727.8	40324.2	1808510.0	1214	1	1	0	0xd43f5e018b415631
stage52_reproduced	0	15	502249	32781.5	19324.5	141131	102618	44756.9	65874.4	35718.4	19612.2	40368.1	1807110.0	1191	6	1	0	0xd43f5e018b415631
