operation_index	kind	scope	name	mean_us	p95_us	samples	implementation	confidence
-1	add_silu	resident_core	/model.6/m.0/m/m.0/Add	203.883957	228.514500	70	stage54-selected-explicit-or-measured	70 complete profiled observations
-1	add_silu	resident_core	/model.6/m.0/m/m.1/Add	235.074114	259.606500	70	stage54-selected-explicit-or-measured	70 complete profiled observations
-1	add_silu	resident_core	/model.8/m.0/m/m.0/Add	96.874129	97.630200	70	stage54-selected-explicit-or-measured	70 complete profiled observations
-1	add_silu	resident_core	/model.8/m.0/m/m.1/Add	111.111671	143.997100	70	stage54-selected-explicit-or-measured	70 complete profiled observations
-1	add_silu	resident_core	/model.9/Add	378.551757	410.224950	70	stage54-selected-explicit-or-measured	70 complete profiled observations
-1	bridge	resident_bridge	resident_core_bridge_overhead	119.751600	137.937550	70	stage54-selected-explicit-or-measured	70 complete profiled observations
-1	head_decode	full_executor	final_head_decode	7945.390471	8019.048150	70	stage54-selected-explicit-or-measured	70 complete profiled observations
-1	lut	resident_core	/model.4/cv2/final_silu	393.483957	496.102800	70	stage54-selected-explicit-or-measured	70 complete profiled observations
-1	maxpool	resident_core	/model.9/m/MaxPool	469.481700	499.735950	70	stage54-selected-explicit-or-measured	70 complete profiled observations
-1	maxpool	resident_core	/model.9/m_1/MaxPool	465.583471	493.368850	70	stage54-selected-explicit-or-measured	70 complete profiled observations
-1	maxpool	resident_core	/model.9/m_2/MaxPool	468.007286	502.625500	70	stage54-selected-explicit-or-measured	70 complete profiled observations
0	input_quant	full_executor	images_QuantizeLinear	2276.104045	2451.105400	67	stage54-selected-explicit-or-measured	70 complete profiled observations
1	conv_dense	full_executor	/model.0/conv/Conv	9620.012429	9691.597000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
2	lut1	full_executor	/model.0/act/Mul_output_0_QuantizeLinear	913.913686	1015.825850	70	stage54-selected-explicit-or-measured	70 complete profiled observations
3	conv_dense	full_executor	/model.1/conv/Conv	4358.087471	4442.923700	70	stage54-selected-explicit-or-measured	70 complete profiled observations
4	lut1	fused_into_dense_conv	/model.1/act/Mul_output_0_QuantizeLinear	0.000000	0.000000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
5	conv_dense	full_executor	/model.2/cv1/conv/Conv	2607.275586	2675.897800	70	stage54-selected-explicit-or-measured	70 complete profiled observations
6	split	full_executor	/model.2/Split	198.075600	217.324550	70	stage54-selected-explicit-or-measured	70 complete profiled observations
7	conv_dense	full_executor	/model.2/m.0/cv1/conv/Conv	2362.384014	2427.423900	70	stage54-selected-explicit-or-measured	70 complete profiled observations
8	lut1	fused_into_dense_conv	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear	0.000000	0.000000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
9	conv_dense	full_executor	/model.2/m.0/cv2/conv/Conv	2014.477314	2065.060850	70	stage54-selected-explicit-or-measured	70 complete profiled observations
10	lut2	full_executor	/model.2/m.0/Add_output_0@/model.2/Concat_output_0_QuantizeLinear_Output	1523.521071	1629.421250	70	stage54-selected-explicit-or-measured	70 complete profiled observations
11	concat	full_executor	/model.2/Concat	598.770429	664.439150	70	stage54-selected-explicit-or-measured	70 complete profiled observations
12	conv_dense	full_executor	/model.2/cv2/conv/Conv	6857.800800	6971.942800	70	stage54-selected-explicit-or-measured	70 complete profiled observations
13	lut1	fused_into_dense_conv	/model.2/cv2/act/Mul_output_0_QuantizeLinear	0.000000	0.000000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
