arm	operation_index	kind	scope	name	samples	mean_us	median_us	p95_us	min_us	max_us
direct	-1	add_silu	resident_core	/model.6/m.0/m/m.0/Add	140	176.386829	174.941500	178.110650	169.693000	236.021000
direct	-1	add_silu	resident_core	/model.6/m.0/m/m.1/Add	140	212.076721	210.314000	214.190100	201.773000	325.513000
direct	-1	add_silu	resident_core	/model.8/m.0/m/m.0/Add	140	80.458679	79.910000	80.961400	78.618000	112.699000
direct	-1	add_silu	resident_core	/model.8/m.0/m/m.1/Add	140	99.296321	97.366000	101.350900	94.783000	146.486000
direct	-1	add_silu	resident_core	/model.9/Add	140	317.061507	313.805500	335.385650	303.639000	422.877000
direct	-1	bridge	resident_bridge	resident_core_bridge_overhead	140	122.263593	121.863500	128.785200	112.943000	151.196000
direct	-1	head_decode	full_executor	final_head_decode	140	7543.754329	7528.000500	7635.423850	7463.914000	8049.996000
direct	-1	lut	resident_core	/model.4/cv2/final_silu	140	414.940400	366.466500	557.148200	329.219000	1223.599000
direct	-1	maxpool	resident_core	/model.9/m/MaxPool	140	487.154057	480.831000	516.075550	475.789000	588.071000
direct	-1	maxpool	resident_core	/model.9/m_1/MaxPool	140	481.749471	475.561000	512.427450	471.790000	535.742000
direct	-1	maxpool	resident_core	/model.9/m_2/MaxPool	140	478.581629	474.310500	511.595900	471.917000	583.696000
direct	0	input_quant	full_executor	images_QuantizeLinear	134	11872.408910	11823.185500	12025.953300	11750.868000	14277.370000
direct	1	conv_dense	full_executor	/model.0/conv/Conv	140	9965.333436	9941.504000	10110.200250	9739.092000	12583.580000
direct	2	lut1	full_executor	/model.0/act/Mul_output_0_QuantizeLinear	140	798.542500	796.824500	844.294650	706.313000	966.831000
direct	3	conv_dense	full_executor	/model.1/conv/Conv	140	8221.952236	8213.285500	8322.943300	8124.004000	8436.002000
direct	4	lut1	full_executor	/model.1/act/Mul_output_0_QuantizeLinear	140	359.914164	349.010000	421.185550	322.928000	519.994000
direct	5	conv_dense	full_executor	/model.2/cv1/conv/Conv	140	5827.880186	5816.423500	5900.667300	5747.798000	6122.280000
direct	6	split	full_executor	/model.2/Split	140	197.398357	192.420500	225.660600	172.650000	362.967000
direct	7	conv_dense	full_executor	/model.2/m.0/cv1/conv/Conv	140	3100.571807	3092.198500	3126.935550	3017.817000	4553.656000
direct	8	lut1	full_executor	/model.2/m.0/cv1/act/Mul_output_0_QuantizeLinear	140	82.967736	82.326000	86.209300	77.577000	134.362000
direct	9	conv_dense	full_executor	/model.2/m.0/cv2/conv/Conv	140	3635.002521	3623.186000	3660.353050	3565.628000	4881.501000
direct	10	lut2	full_executor	/model.2/m.0/Add_output_0@/model.2/Concat_output_0_QuantizeLinear_Output	140	1618.636693	1607.683500	1646.695800	1592.939000	1704.595000
direct	11	concat	full_executor	/model.2/Concat	140	600.151121	599.529000	654.490850	521.911000	714.771000
direct	12	conv_dense	full_executor	/model.2/cv2/conv/Conv	140	12965.979136	12936.825000	13086.839950	12841.350000	15413.182000
direct	13	lut1	full_executor	/model.2/cv2/act/Mul_output_0_QuantizeLinear	140	872.918471	850.568500	998.884400	753.514000	1183.681000
