fold	role	shape_class	name	m	n	k	kernel	stride	measured_us
0	training	3x3|2x2|102400|16|27|3|16|320|320|0|4	/model.0/conv/Conv	102400	16	27	3x3	2x2	9620.012429
0	training	3x3|2x2|25600|32|144|16|32|160|160|0|4	/model.1/conv/Conv	25600	32	144	3x3	2x2	4358.087471
0	training	1x1|1x1|25600|32|32|32|32|160|160|0|4	/model.2/cv1/conv/Conv	25600	32	32	1x1	1x1	2607.275586
0	training	3x3|1x1|25600|16|72|8|16|160|160|0|4	/model.2/m.0/cv2/conv/Conv	25600	16	72	3x3	1x1	2014.477314
0	training	1x1|1x1|25600|64|48|48|64|160|160|0|4	/model.2/cv2/conv/Conv	25600	64	48	1x1	1x1	6857.8008
0	training	3x3|2x2|6400|64|576|64|64|80|80|0|4	/model.3/conv/Conv	6400	64	576	3x3	2x2	4499.0632
0	training	1x1|1x1|6400|64|64|64|64|80|80|0|4	/model.4/cv1/conv/Conv	6400	64	64	1x1	1x1	1773.214429
0	training	3x3|1x1|6400|16|288|32|16|80|80|0|4	/model.4/m.0/cv1/conv/Conv	6400	16	288	3x3	1x1	1273.9485
0	training	3x3|1x1|6400|32|144|16|32|80|80|0|4	/model.4/m.0/cv2/conv/Conv	6400	32	144	3x3	1x1	1082.2414
0	training	1x1|1x1|6400|128|96|96|128|80|80|0|4	/model.4/cv2/conv/Conv	6400	128	96	1x1	1x1	3540.388914
0	training	1x1|1x1|400|256|256|256|256|20|20|0|4	/model.10/cv1/conv/Conv	400	256	256	1x1	1x1	611.1573
0	training	1x1|1x1|400|256|128|128|256|20|20|0|4	/model.10/m/m.0/attn/qkv/conv/Conv	400	256	128	1x1	1x1	431.8052
0	training	1x1|1x1|400|128|128|128|128|20|20|0|4	/model.10/m/m.0/attn/proj/conv/Conv	400	128	128	1x1	1x1	211.921586
0	training	1x1|1x1|400|256|128|128|256|20|20|0|4	/model.10/m/m.0/ffn/ffn.0/conv/Conv	400	256	128	1x1	1x1	502.646771
0	training	1x1|1x1|400|256|256|256|256|20|20|0|4	/model.10/cv2/conv/Conv	400	256	256	1x1	1x1	605.536443
0	training	1x1|1x1|1600|128|384|384|128|40|40|0|4	/model.13/cv1/conv/Conv	1600	128	384	1x1	1x1	2055.464643
0	training	1x1|1x1|1600|32|64|64|32|40|40|0|4	/model.13/m.0/cv1/conv/Conv	1600	32	64	1x1	1x1	238.223671
0	training	1x1|1x1|1600|32|64|64|32|40|40|0|4	/model.13/m.0/cv2/conv/Conv	1600	32	64	1x1	1x1	195.549986
0	training	3x3|1x1|1600|32|288|32|32|40|40|0|4	/model.13/m.0/m/m.0/cv1/conv/Conv	1600	32	288	3x3	1x1	478.355614
0	training	3x3|1x1|1600|32|288|32|32|40|40|0|4	/model.13/m.0/m/m.0/cv2/conv/Conv	1600	32	288	3x3	1x1	400.820271
0	training	3x3|1x1|1600|32|288|32|32|40|40|0|4	/model.13/m.0/m/m.1/cv1/conv/Conv	1600	32	288	3x3	1x1	409.3912
0	training	3x3|1x1|1600|32|288|32|32|40|40|0|4	/model.13/m.0/m/m.1/cv2/conv/Conv	1600	32	288	3x3	1x1	405.010243
0	training	1x1|1x1|1600|64|64|64|64|40|40|0|4	/model.13/m.0/cv3/conv/Conv	1600	64	64	1x1	1x1	424.390814
0	training	1x1|1x1|6400|64|256|256|64|80|80|0|4	/model.16/cv1/conv/Conv	6400	64	256	1x1	1x1	3213.852614
0	training	1x1|1x1|6400|16|32|32|16|80|80|0|4	/model.16/m.0/cv1/conv/Conv	6400	16	32	1x1	1x1	308.151629
0	training	1x1|1x1|6400|16|32|32|16|80|80|0|4	/model.16/m.0/cv2/conv/Conv	6400	16	32	1x1	1x1	300.289071
0	training	1x1|1x1|6400|32|32|32|32|80|80|0|4	/model.16/m.0/cv3/conv/Conv	6400	32	32	1x1	1x1	603.226929
0	training	1x1|1x1|6400|64|96|96|64|80|80|0|4	/model.16/cv2/conv/Conv	6400	64	96	1x1	1x1	1936.558771
0	training	3x3|1x1|6400|16|576|64|16|80|80|0|4	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	6400	16	576	3x3	1x1	2324.779586
0	training	1x1|1x1|6400|80|64|64|80|80|80|0|4	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv	6400	80	64	1x1	1x1	2187.786071
0	training	1x1|1x1|1600|32|64|64|32|40|40|0|4	/model.19/m.0/cv1/conv/Conv	1600	32	64	1x1	1x1	268.226171
0	training	1x1|1x1|1600|32|64|64|32|40|40|0|4	/model.19/m.0/cv2/conv/Conv	1600	32	64	1x1	1x1	195.726186
0	training	3x3|1x1|1600|32|288|32|32|40|40|0|4	/model.19/m.0/m/m.0/cv1/conv/Conv	1600	32	288	3x3	1x1	466.082857
