run_id	phase	elapsed_ns
0	matmul_pack	5710374
0	matmul_compute	7032675
0	softmax_max_sum	1897963
0	softmax_normalize_transpose	23146374
1	matmul_pack	6021042
1	matmul_compute	7016800
1	softmax_max_sum	1907061
1	softmax_normalize_transpose	22755285
2	matmul_pack	6102835
2	matmul_compute	7074176
2	softmax_max_sum	1912959
2	softmax_normalize_transpose	22771331
3	matmul_pack	6041211
3	matmul_compute	6962507
3	softmax_max_sum	1891920
3	softmax_normalize_transpose	22693652
4	matmul_pack	6302127
4	matmul_compute	7103175
4	softmax_max_sum	1926643
4	softmax_normalize_transpose	22889413
5	matmul_pack	5970500
5	matmul_compute	7018635
5	softmax_max_sum	2143573
5	softmax_normalize_transpose	24771074
6	matmul_pack	5901375
6	matmul_compute	7020175
6	softmax_max_sum	1910725
6	softmax_normalize_transpose	22803990
7	matmul_pack	5879500
7	matmul_compute	6989717
7	softmax_max_sum	1974210
7	softmax_normalize_transpose	22732015
8	matmul_pack	5919835
8	matmul_compute	6990965
8	softmax_max_sum	1915582
8	softmax_normalize_transpose	22791185
9	matmul_pack	6292878
9	matmul_compute	7085718
9	softmax_max_sum	1933711
9	softmax_normalize_transpose	22928811
10	matmul_pack	6125169
10	matmul_compute	7062885
10	softmax_max_sum	1912834
10	softmax_normalize_transpose	22997806
11	matmul_pack	6073502
11	matmul_compute	7092800
11	softmax_max_sum	1947762
11	softmax_normalize_transpose	22843200
12	matmul_pack	5862709
12	matmul_compute	7087717
12	softmax_max_sum	1923657
12	softmax_normalize_transpose	22760219
13	matmul_pack	5813250
13	matmul_compute	7237719
13	softmax_max_sum	1909730
13	softmax_normalize_transpose	22747385
14	matmul_pack	5823960
14	matmul_compute	7012425
14	softmax_max_sum	1930445
14	softmax_normalize_transpose	22778339
15	matmul_pack	5817541
15	matmul_compute	7012384
15	softmax_max_sum	1901809
15	softmax_normalize_transpose	22744839
16	matmul_pack	5907083
16	matmul_compute	7014635
16	softmax_max_sum	1896899
16	softmax_normalize_transpose	22786903
17	matmul_pack	5968294
17	matmul_compute	7109842
17	softmax_max_sum	2070079
17	softmax_normalize_transpose	22846402
18	matmul_pack	6112502
18	matmul_compute	7056091
18	softmax_max_sum	1887538
18	softmax_normalize_transpose	22865182
19	matmul_pack	5850500
19	matmul_compute	7063510
19	softmax_max_sum	1932795
19	softmax_normalize_transpose	22919798
20	matmul_pack	6013584
20	matmul_compute	7019009
20	softmax_max_sum	1889080
20	softmax_normalize_transpose	22747678
21	matmul_pack	6034002
21	matmul_compute	7057216
21	softmax_max_sum	1932223
21	softmax_normalize_transpose	22823538
