block	cycle	arm	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
0	0	control	0	0	148385	2204.41	19472.9	70386.7	15222.2	19239.5	7438.4	3787.76	2432.08	8117.53	740138	0	4	1	0	0xd43f5e018b415631
0	0	control	0	1	150940	2159.07	19783.7	70503.3	15323.5	20970.5	7472.57	3865.47	2486.37	8282.87	740886	0	15	1	0	0xd43f5e018b415631
0	0	control	0	2	149050	2362.87	19529.2	70388.5	15426.5	19079.5	7332.4	4024.73	2518.28	8301.62	756692	0	5	1	0	0xd43f5e018b415631
0	0	control	0	3	150146	2168.41	19572.3	70952.9	15214.2	20509	7206.02	3783.84	2387.08	8267.53	741165	0	18	1	0	0xd43f5e018b415631
0	0	control	0	4	149000	2272.32	19753.3	70607.4	15273.2	19203.7	7429.98	3936.39	2439.54	8001.91	740436	0	9	1	0	0xd43f5e018b415631
0	0	control	0	5	150227	2190.99	19599.5	70387.4	15316.2	20390.4	7601.44	3931.1	2446.33	8277.87	758024	0	3	1	0	0xd43f5e018b415631
0	0	control	0	6	154926	2221.66	19642.3	70770.2	15406.9	24836.4	7414.44	3778.59	2392.45	8376.58	773090	0	303	1	0	0xd43f5e018b415631
0	0	control	0	7	149536	2165.41	19616.1	70666.3	15193.5	19982.5	7348.35	3775.43	2400.66	8300.58	740907	0	11	1	0	0xd43f5e018b415631
0	0	control	0	8	149192	2222.45	19717.5	70561.5	15269	19037.2	7526.74	3978.43	2488.66	8302.28	756834	0	7	1	0	0xd43f5e018b415631
0	0	control	0	9	150133	2154.61	19743.2	70814.3	15299.1	20283	7181.23	3883.6	2399.95	8287.29	741752	0	10	1	0	0xd43f5e018b415631
0	0	control	0	10	149501	2209.28	19726.3	70563.3	15364.5	19093.5	7650.78	4104.39	2433.08	8269.45	757056	0	7	1	0	0xd43f5e018b415631
0	0	control	0	11	150077	2157.95	19799.5	70744.7	15216.4	20139	7458.07	3733.8	2414.53	8321.58	741694	0	6	1	0	0xd43f5e018b415631
0	0	control	0	12	148890	2208.11	19631.9	70569.8	15272.1	19379.2	7293.69	3852.05	2519.12	8078.91	740597	0	5	1	0	0xd43f5e018b415631
0	0	control	0	13	150651	2184.74	20120.9	70762.6	15222.2	20233.3	7560.53	3777.93	2416.66	8285.95	757853	0	12	1	0	0xd43f5e018b415631
0	0	control	0	14	149335	2373.12	19712.9	70762.8	15324.8	19048.5	7357.19	3851.72	2499.12	8318.62	756916	0	7	1	0	0xd43f5e018b415631
0	0	control	0	15	150077	2160.78	19687.5	70476.8	15218.1	20417.9	7501.15	3791.35	2441.54	8295.99	741662	0	7	1	0	0xd43f5e018b415631
0	0	control	0	16	149053	2223.74	19573.4	70890.8	15204.3	19296.8	7333.73	4075.35	2446.12	7922.45	740454	0	13	1	0	0xd43f5e018b415631
0	0	control	0	17	150266	2178.32	19823.7	70331.1	15264.4	20462.7	7377.4	4007.81	2452.74	8281.28	757787	0	8	1	0	0xd43f5e018b415631
0	0	control	0	18	149170	2211.49	19668.6	70529.8	15322.4	19391.2	7537.9	3821.64	2403.66	8198.62	741024	0	3	1	0	0xd43f5e018b415631
0	0	control	0	19	149987	2203.86	19523.9	70597.6	15285.4	20421.7	7397.1	3740.1	2449.58	8285.29	757888	0	2	1	0	0xd43f5e018b415631
0	0	control	0	20	152837	2198.57	22446.3	70499.2	15251.3	20169.7	7573.06	3912.27	2407.33	8291.91	760682	0	3	1	0	0xd43f5e018b415631
0	0	control	0	21	148656	2210.66	19509.7	70435.1	15275.9	19337.8	7421.48	3797.93	2399.99	8184.66	740576	0	1	1	0	0xd43f5e018b415631
