block	cycle	arm	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
-1			0	0	149994	2177.82	19630.4	70432.3	15526.4	20149.6	7511.01	3753.05	2375.03	8360.06	741348	0	11	1	0	0xd43f5e018b415631
-1			0	1	148968	2311.65	19418.9	70653.4	15393.8	19256.3	7414.93	3836.5	2364.03	8237.73	740440	0	7	1	0	0xd43f5e018b415631
-1			0	2	149933	2195.82	19557.1	70392.4	15447.7	20289	7255.04	3899.5	2412.9	8406.77	757666	0	5	1	0	0xd43f5e018b415631
-1			0	3	159386	3474.08	19537.7	78681.5	15286.9	20300.1	7395.42	3929.46	2366.7	8335.6	792181	0	313	1	0	0xd43f5e018b415631
-1			0	4	149735	2172.86	19650.9	70416	15485.2	19644.5	7680.88	3704.88	2529.74	8365.18	741228	0	6	1	0	0xd43f5e018b415631
-1			0	5	150502	2293.95	19982.5	70553.8	15454.6	20300.3	7272	3740.63	2421.65	8402.1	757674	0	15	1	0	0xd43f5e018b415631
-1			0	6	149467	2196.23	19490.5	70777.2	15358.7	19524	7598.05	3756.67	2354.32	8329.81	740957	0	9	1	0	0xd43f5e018b415631
-1			0	7	150122	2183.19	19612.8	70583.3	15491.3	20263.5	7302.38	3802.92	2425.07	8375.89	757598	0	8	1	0	0xd43f5e018b415631
-1			0	8	149500	2209.86	19726.8	70479.2	15506.5	19413.4	7442.3	3930.84	2365.36	8345.77	741196	0	5	1	0	0xd43f5e018b415631
-1			0	9	149977	2188.53	19520.9	70142.1	15361.1	20317.7	7536.63	3962.63	2509.91	8359.56	757547	0	11	1	0	0xd43f5e018b415631
-1			0	10	149243	2322.28	19613.6	70258.6	15319.8	19621.2	7570.76	3719.59	2369.94	8364.31	740888	0	5	1	0	0xd43f5e018b415631
-1			0	11	150750	2213.53	20725.2	70023.8	15489.1	20240.1	7411.97	3781.05	2417.32	8368.85	757436	0	5	1	0	0xd43f5e018b415631
-1			0	12	149204	2213.4	19520.5	70617.1	15360.4	19548.1	7437.13	3717.55	2379.11	8328.52	740821	0	8	1	0	0xd43f5e018b415631
-1			0	13	150616	2207.4	19524.5	70160.9	15646.9	20850.6	7456.04	3933.67	2404.23	8349.93	757358	0	45	1	0	0xd43f5e018b415631
-1			0	14	148769	2203.65	19716.5	70250.5	15446.9	19281	7260.8	3846.42	2408.7	8277.06	740337	0	7	1	0	0xd43f5e018b415631
-1			0	15	149613	2189.57	19576.1	69960.8	15558.8	20192.3	7434.05	3779.75	2424.4	8415.18	757373	0	5	1	0	0xd43f5e018b415631
-1			0	16	149502	2174.61	19528.7	70584.3	15476.9	19730.1	7470.38	3744.13	2369.44	8345.89	741039	0	11	1	0	0xd43f5e018b415631
