block	cycle	arm	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
0	0	control	0	0	163306	2224.46	19640.1	83954.2	15315.1	20058	7398.28	3762.04	2402.3	8468.59	818849	0	6	1	0	0xd43f5e018b415631
0	0	control	0	1	163558	2235.46	19658.9	83948	15126.6	20126.2	7681.16	3858.21	2398.84	8439.97	819279	0	5	1	0	0xd43f5e018b415631
0	0	control	0	2	163324	2247.96	19717.7	84030	15089.7	20102.1	7357.28	3831.58	2429.63	8430.76	819205	0	2	1	0	0xd43f5e018b415631
0	0	control	0	3	163879	2231.25	19714.7	84237	15131.5	20306.8	7333.86	3845.62	2410.38	8577.26	819423	0	7	1	0	0xd43f5e018b415631
0	0	control	0	4	163645	2204.67	19682.5	84028.4	15174.6	20275.9	7479.78	3828.29	2417.8	8444.67	819441	0	8	1	0	0xd43f5e018b415631
0	0	control	0	5	163710	2217.34	19603.6	83761.9	15202.6	20313	7490.48	4147.38	2495.1	8393.13	819299	0	7	1	0	0xd43f5e018b415631
0	0	control	0	6	164336	2331.84	19626.2	84317.2	15163.6	20330.1	7386.78	4072.75	2400.84	8622.01	819927	0	8	1	0	0xd43f5e018b415631
0	0	control	0	7	165004	2250.84	19791.7	83866.2	16983.9	19802.1	7545.45	3883.04	2395.72	8399.22	820844	0	3	1	0	0xd43f5e018b415631
0	0	control	0	8	163353	2227.3	19795.7	84141.1	15345.4	19725.2	7365.74	3851.41	2405.76	8408.13	819062	0	5	1	0	0xd43f5e018b415631
0	0	control	0	9	163567	2305.34	19617.9	84328.3	15238.8	19979.6	7466.53	3771.04	2412.22	8360.84	819081	0	2	1	0	0xd43f5e018b415631
0	0	control	0	10	163388	2225.96	19822.7	84098.5	15147.9	20115.8	7339.11	3745.78	2410.05	8393.47	819076	0	9	1	0	0xd43f5e018b415631
0	0	control	0	11	163634	2305.63	19684.9	84193.8	15141.8	20200.5	7371.28	3826.2	2433.39	8385.47	819398	0	5	1	0	0xd43f5e018b415631
0	0	control	0	12	163474	2253.46	19638.5	83876.2	15131.4	20254.8	7473.07	3969.33	2426.8	8361.92	819348	0	2	1	0	0xd43f5e018b415631
0	0	control	0	13	163933	2230.63	19713.8	84158.8	15139	20327.6	7313.11	4109.46	2400.42	8453.51	819682	0	3	1	0	0xd43f5e018b415631
0	0	control	0	14	163723	2271.88	19580	84224.6	15126.9	20246.3	7447.19	3784.66	2398.34	8558.34	819660	0	1	1	0	0xd43f5e018b415631
0	0	control	0	15	163642	2217.71	19635.5	84118.6	15119.5	20278.5	7459.78	3822.37	2408.22	8493.3	819580	0	1	1	0	0xd43f5e018b415631
0	0	control	0	16	163673	2263.01	19660.4	84104.7	15178	20233.3	7398.7	3897.33	2445.09	8405.47	819565	0	2	1	0	0xd43f5e018b415631
0	0	control	0	17	164116	2350.51	19707.8	84241.6	15111.1	20236.6	7545.41	3870.29	2409.22	8558.26	819909	0	7	1	0	0xd43f5e018b415631
0	0	control	0	18	163800	2216.3	19832.3	84006.3	15388.3	20159.2	7281.9	3837.5	2399.59	8589.8	819520	0	7	1	0	0xd43f5e018b415631
0	0	control	0	19	165657	2234.8	19531.7	86951	15163.7	19674.2	7666.24	3829.91	2395.67	8120.46	821658	0	0	1	0	0xd43f5e018b415631
0	0	control	0	20	162639	2165.09	19698.2	83882.4	15221.6	19859.3	7164.4	3704.41	2437.63	8421.72	802470	0	3	1	0	0xd43f5e018b415631
0	0	control	0	21	163315	2267.05	19684.9	83947.8	15218.1	20129.6	7283.44	3910.58	2402.76	8381.59	819201	0	2	1	0	0xd43f5e018b415631
0	0	control	0	22	167244	2232.38	19576.4	87784.6	15175.8	20200.9	7468.82	3861.25	2434.38	8392.63	837640	0	42	1	0	0xd43f5e018b415631
0	0	control	0	23	164623	2250.42	19778.9	84757.8	15214.2	20337.3	7459.45	3863.79	2406.59	8469.05	819902	0	10	1	0	0xd43f5e018b415631
0	0	control	0	24	163488	2326.67	19694	83792.9	15149.7	20158.9	7438.57	4093.92	2388.51	8359.26	819151	0	5	1	0	0xd43f5e018b415631
0	0	control	0	25	163880	2363.76	19620.6	84361.9	15220.8	20149.2	7256.44	3952.16	2445.09	8424.13	819612	0	3	1	0	0xd43f5e018b415631
0	0	control	0	26	163517	2427.18	19563.1	83977.7	15151.1	20225.8	7486.95	3774.25	2441.51	8377.76	819510	0	0	1	0	0xd43f5e018b415631
0	0	control	0	27	163317	2237.96	19725.7	83795.5	15167.9	20293.1	7232.11	4000.79	2434.18	8341.75	819263	0	1	1	0	0xd43f5e018b415631
0	0	control	0	28	162931	2290.55	19531.9	84161.5	15220.3	19748.2	7324.69	3737.24	2445.76	8383.05	818872	0	1	1	0	0xd43f5e018b415631
0	0	control	0	29	162931	2179.42	19627.9	83966.6	15377.5	20002.8	7240.65	3812.79	2447.21	8191.09	802773	0	7	1	0	0xd43f5e018b415631
0	0	control	0	30	163133	2256.17	19576.7	84070.7	15550.8	19615.2	7453.66	3766.74	2391.05	8365.47	802701	0	9	1	0	0xd43f5e018b415631
0	0	control	0	31	163296	2255.3	19646.4	83974	15157	19968.6	7538.11	3886.21	2395.67	8389.09	819233	0	1	1	0	0xd43f5e018b415631
0	0	control	0	32	165589	2704.56	19608.8	86117.3	15175.5	19688.2	7384.23	3972.5	2467.09	8384.72	837521	0	1	1	0	0xd43f5e018b415631
0	0	control	0	33	162451	2192.96	19741.4	83812.1	15248.6	19527.3	7273.94	3769.54	2435.8	8365.59	802347	0	2	1	0	0xd43f5e018b415631
0	0	control	0	34	163237	2218.3	19826.7	84023.9	15126	20036.5	7374.24	3747.16	2393.84	8406.3	819222	0	0	1	0	0xd43f5e018b415631
