repeat	run	wall_us	process_cpu_us	input_wrap_us	ort_run_us	output_copy_us
0	0	459000.493000	1837234.576000	10.500000	458661.817000	282.216000
0	1	460594.284000	1840361.703000	9.417000	460266.400000	270.966000
0	2	454123.399000	1821758.492000	9.667000	453795.182000	275.716000
0	3	455412.390000	1821696.991000	9.667000	455085.172000	279.175000
0	4	455683.105000	1823179.243000	9.625000	455341.221000	294.674000
0	5	451596.865000	1807003.120000	10.125000	451181.687000	365.344000
0	6	459604.540000	1821006.699000	11.792000	459241.822000	301.800000
0	7	456953.506000	1833281.287000	10.792000	456614.538000	286.550000
0	8	454442.313000	1808111.327000	10.417000	454109.387000	277.966000
0	9	456548.325000	1823234.328000	9.000000	456218.274000	274.258000
0	10	456056.436000	1823091.285000	9.166000	455717.302000	283.132000
0	11	456278.606000	1834008.949000	10.542000	455874.553000	353.552000
0	12	455628.794000	1810127.076000	11.875000	455292.161000	278.257000
0	13	456794.032000	1835443.368000	9.834000	456459.190000	286.549000
0	14	455533.830000	1822096.495000	9.875000	455138.152000	347.718000
0	15	455731.084000	1811311.745000	10.417000	455399.741000	273.049000
0	16	451906.936000	1807300.532000	10.791000	451570.135000	278.924000
0	17	456059.131000	1823858.242000	10.042000	455721.288000	280.966000
0	18	452739.745000	1820379.996000	9.501000	452397.153000	294.758000
0	19	455207.062000	1810890.827000	9.875000	454876.511000	272.466000
0	20	455496.900000	1822735.328000	10.667000	455158.141000	281.507000
0	21	454728.878000	1822347.951000	8.958000	454402.953000	272.132000
0	22	456045.911000	1823363.450000	9.375000	455715.569000	276.258000
0	23	453787.140000	1808991.951000	9.167000	453422.838000	304.217000
0	24	455792.109000	1823491.952000	9.875000	455454.600000	280.841000
0	25	456254.869000	1823652.992000	9.376000	455931.360000	270.090000
0	26	455313.093000	1823087.410000	9.458000	454979.751000	275.674000
0	27	456257.823000	1823898.284000	9.917000	455925.730000	277.800000
0	28	456182.738000	1823744.077000	9.626000	455852.437000	272.674000
0	29	452645.472000	1819857.619000	8.792000	452229.043000	366.302000
0	30	453668.916000	1809236.451000	10.750000	453336.824000	277.424000
0	31	453529.867000	1808823.492000	9.417000	453185.608000	287.216000
0	32	458540.250000	1837743.285000	9.917000	458217.617000	266.507000
0	33	452926.097000	1808566.911000	10.292000	452589.838000	278.883000
0	34	454557.515000	1821935.119000	9.958000	454216.381000	288.507000
0	35	454146.002000	1809842.078000	10.125000	453809.701000	279.091000
0	36	454313.795000	1821868.574000	8.125000	453980.787000	280.382000
0	37	454494.966000	1822053.575000	9.875000	454151.499000	297.841000
0	38	455281.192000	1810850.328000	9.792000	454953.475000	273.174000
0	39	454158.746000	1821428.700000	8.751000	453819.027000	286.925000
0	40	452636.325000	1808005.453000	9.375000	452308.733000	271.132000
0	41	453191.924000	1808683.449000	8.459000	452862.372000	273.675000
0	42	455638.944000	1823401.201000	11.208000	455300.477000	281.966000
0	43	453514.970000	1820579.663000	9.292000	453160.252000	304.675000
0	44	454986.048000	1810660.827000	9.751000	454652.247000	275.966000
0	45	456272.331000	1835790.369000	9.292000	455861.945000	363.468000
0	46	459593.294000	1825622.031000	11.000000	459252.743000	285.800000
0	47	460830.657000	1847125.369000	10.459000	460479.106000	302.633000
0	48	460242.224000	1836163.907000	9.501000	459899.923000	292.716000
0	49	457784.655000	1823681.826000	10.041000	457453.271000	274.966000
0	50	454908.744000	1820477.324000	9.750000	454579.277000	278.008000
0	51	461747.924000	1839298.994000	10.167000	461423.581000	268.424000
0	52	459505.864000	1837307.867000	8.958000	459164.063000	283.633000
0	53	460982.733000	1838915.491000	10.167000	460654.307000	272.299000
0	54	456423.360000	1834122.534000	10.375000	456017.974000	356.260000
0	55	457838.104000	1824017.449000	12.667000	457494.970000	286.174000
0	56	456065.221000	1822464.365000	10.542000	455726.420000	285.591000
0	57	453194.268000	1807905.909000	10.084000	452859.008000	277.758000
0	58	453555.358000	1821157.033000	9.501000	453213.640000	294.841000
0	59	453875.199000	1808810.159000	9.042000	453541.315000	279.174000
0	60	453113.176000	1808853.367000	10.375000	452775.125000	279.799000
0	61	455782.913000	1823307.160000	9.709000	455457.488000	270.924000
0	62	454230.618000	1821470.286000	8.625000	453910.901000	268.341000
0	63	454036.363000	1809223.658000	9.000000	453708.604000	270.341000
0	64	454980.010000	1822776.617000	9.792000	454653.834000	269.174000
0	65	453672.266000	1821094.866000	10.459000	453326.590000	296.841000
0	66	455071.592000	1810286.909000	9.750000	454741.291000	271.757000
0	67	454125.441000	1821662.284000	9.875000	453795.140000	278.382000
0	68	453813.222000	1809358.825000	9.084000	453488.421000	269.340000
0	69	455982.069000	1823632.908000	10.208000	455648.436000	277.507000
0	70	452426.182000	1820002.285000	9.375000	452051.046000	272.633000
0	71	455527.845000	1811289.494000	11.375000	455195.377000	273.424000
0	72	452673.559000	1820059.995000	9.584000	452270.257000	356.135000
0	73	454803.862000	1810433.036000	9.959000	454472.895000	274.508000
0	74	458044.991000	1837852.450000	8.958000	457714.649000	281.424000
0	75	454448.641000	1809559.122000	10.876000	454124.507000	266.882000
0	76	453160.106000	1820639.451000	9.167000	452805.389000	308.341000
0	77	455573.252000	1823022.826000	9.750000	455172.699000	353.343000
0	78	452470.875000	1808162.699000	11.751000	452132.241000	287.174000
0	79	456361.020000	1823614.286000	10.792000	456025.968000	283.633000
0	80	454529.885000	1810309.908000	9.542000	454202.459000	272.424000
0	81	454757.015000	1822026.908000	9.208000	454430.006000	270.216000
0	82	453561.064000	1809291.745000	10.792000	453228.679000	276.591000
0	83	455904.458000	1823389.159000	8.792000	455570.242000	278.049000
0	84	452423.821000	1819540.246000	10.375000	452012.184000	361.093000
0	85	456687.851000	1824309.451000	12.042000	456351.717000	285.174000
0	86	454747.795000	1810343.075000	9.958000	454410.037000	280.674000
0	87	455823.990000	1822989.370000	9.042000	455492.065000	276.424000
0	88	454705.083000	1822079.532000	9.126000	454365.448000	282.925000
0	89	453495.674000	1809172.493000	10.250000	453160.832000	279.424000
0	90	455981.280000	1823107.119000	8.917000	455650.938000	274.716000
0	91	453963.099000	1821680.870000	9.209000	453634.340000	275.508000
0	92	454117.227000	1809303.452000	10.000000	453790.677000	271.049000
0	93	456575.624000	1835998.784000	10.125000	456195.697000	328.508000
0	94	456630.792000	1824212.619000	9.917000	456299.991000	281.174000
0	95	454347.685000	1809421.409000	10.126000	454014.342000	276.633000
0	96	455144.582000	1822663.034000	11.750000	454812.614000	274.633000
0	97	453407.948000	1808988.659000	9.126000	453067.522000	282.424000
0	98	452226.042000	1819947.408000	9.625000	451818.905000	359.760000
0	99	456670.615000	1824080.288000	11.834000	456336.398000	284.632000
1	0	454616.435000	1810292.160000	12.333000	454281.926000	277.007000
1	1	453950.372000	1821251.660000	9.751000	453620.697000	278.007000
1	2	452847.050000	1808395.118000	8.792000	452516.124000	275.924000
1	3	455292.114000	1822847.657000	9.626000	454955.188000	286.007000
1	4	456271.637000	1823621.579000	9.417000	455946.378000	274.507000
1	5	449826.257000	1793496.702000	10.000000	449487.331000	282.925000
1	6	456065.377000	1823763.783000	9.417000	455738.660000	270.799000
1	7	455328.566000	1822884.244000	9.167000	454990.015000	284.299000
1	8	452089.518000	1807588.698000	10.042000	451753.343000	277.549000
1	9	454517.041000	1822096.909000	9.625000	454195.949000	270.465000
1	10	454147.736000	1809254.785000	9.000000	453821.103000	271.007000
1	11	454667.749000	1821887.370000	9.125000	454341.032000	271.174000
1	12	453217.166000	1808772.161000	9.667000	452887.408000	271.716000
1	13	452044.175000	1807437.865000	9.250000	451716.500000	272.382000
1	14	456255.578000	1835435.702000	9.126000	455863.192000	344.593000
1	15	451116.230000	1794552.201000	10.958000	450783.347000	276.048000
1	16	453950.847000	1821560.576000	9.542000	453629.339000	272.507000
1	17	454711.655000	1810265.783000	11.209000	454374.937000	277.841000
1	18	455291.004000	1822874.742000	8.917000	454956.203000	279.133000
1	19	452834.143000	1819891.618000	9.792000	452458.508000	279.341000
1	20	453404.283000	1808939.409000	11.834000	453070.274000	280.424000
1	21	452952.893000	1808465.703000	9.875000	452613.802000	281.715000
1	22	453914.501000	1821359.081000	10.083000	453474.198000	389.010000
1	23	455109.531000	1810846.243000	10.959000	454767.855000	284.216000
1	24	456275.393000	1823874.947000	9.084000	455934.217000	282.841000
1	25	456790.780000	1835128.413000	10.375000	456427.187000	315.175000
1	26	454553.426000	1810190.868000	11.583000	454211.501000	283.758000
1	27	454132.957000	1821291.619000	9.292000	453790.281000	294.091000
1	28	455740.829000	1822824.574000	10.626000	455403.487000	287.215000
1	29	454930.308000	1810123.077000	10.917000	454576.882000	294.508000
1	30	455815.703000	1823606.327000	10.417000	455479.152000	279.674000
1	31	456125.752000	1823667.411000	10.292000	455796.243000	272.049000
1	32	456420.091000	1836066.452000	10.083000	456012.622000	358.510000
1	33	454864.256000	1809974.076000	11.209000	454521.205000	284.925000
1	34	455598.315000	1822794.536000	10.042000	455245.223000	293.716000
1	35	453958.771000	1821520.369000	10.042000	453611.011000	298.133000
1	36	455673.482000	1823164.745000	11.042000	455271.804000	352.426000
1	37	455389.262000	1810894.075000	10.375000	455055.254000	277.174000
1	38	452172.136000	1807522.324000	9.292000	451840.085000	274.508000
1	39	455431.343000	1823251.368000	10.792000	455096.834000	276.883000
1	40	456215.448000	1823648.661000	9.542000	455870.313000	287.299000
1	41	457278.680000	1837009.703000	9.792000	456936.713000	290.216000
1	42	454137.513000	1809418.286000	10.667000	453804.755000	275.007000
1	43	453881.796000	1821510.701000	9.500000	453543.037000	289.508000
1	44	454350.265000	1809710.284000	9.917000	454017.881000	277.507000
1	45	452321.460000	1807770.869000	10.375000	451988.451000	275.841000
1	46	456412.065000	1824105.701000	10.208000	456075.349000	278.591000
1	47	456317.687000	1835523.157000	8.792000	455913.677000	357.926000
1	48	454946.023000	1810771.619000	10.876000	454602.347000	285.966000
1	49	455840.088000	1822962.825000	10.208000	455500.288000	283.008000
1	50	452643.708000	1808448.159000	9.709000	452307.075000	280.340000
1	51	456112.634000	1823432.158000	10.709000	455780.792000	273.132000
1	52	454316.541000	1821975.658000	9.209000	453988.949000	275.299000
1	53	453976.657000	1821600.786000	8.959000	453592.563000	331.134000
1	54	454416.249000	1809721.495000	11.501000	454080.823000	275.466000
1	55	453664.270000	1821258.492000	9.834000	453271.842000	343.218000
1	56	456298.254000	1823673.121000	11.292000	455941.703000	308.217000
1	57	457100.898000	1824980.199000	10.042000	456763.640000	284.841000
1	58	455390.644000	1822808.203000	9.792000	455053.676000	288.550000
1	59	456358.708000	1824127.409000	9.791000	456031.033000	279.424000
1	60	457743.244000	1825187.199000	9.584000	457405.694000	281.632000
1	61	456325.787000	1823552.119000	9.584000	455991.819000	277.508000
1	62	455687.020000	1823011.449000	9.750000	455356.678000	274.091000
1	63	454034.806000	1821719.284000	9.500000	453704.923000	281.882000
1	64	453785.383000	1809237.619000	10.626000	453460.916000	266.715000
1	65	457921.322000	1837377.077000	9.834000	457585.147000	288.591000
1	66	453273.782000	1808865.828000	11.167000	452945.565000	275.257000
1	67	453690.166000	1809282.410000	9.084000	453352.824000	281.841000
1	68	452113.082000	1807889.951000	11.375000	451773.197000	280.841000
1	69	453170.941000	1820395.327000	9.334000	452839.933000	282.715000
1	70	454075.421000	1809869.826000	10.376000	453737.953000	280.924000
1	71	453258.607000	1820234.034000	10.375000	452908.098000	301.508000
1	72	453466.276000	1809047.408000	10.667000	453130.767000	282.299000
1	73	455645.208000	1823084.286000	9.542000	455321.450000	272.840000
1	74	455064.857000	1822750.035000	9.917000	454719.098000	295.924000
1	75	451288.340000	1794546.870000	9.667000	450948.248000	284.174000
1	76	452908.213000	1820311.370000	9.333000	452554.996000	304.466000
1	77	453192.303000	1808917.824000	10.376000	452863.794000	276.591000
1	78	457235.157000	1824555.742000	9.750000	456894.565000	285.466000
1	79	453565.851000	1821431.744000	10.250000	453223.342000	293.049000
1	80	455401.982000	1822324.534000	9.292000	454998.804000	355.884000
1	81	455334.185000	1810867.909000	10.125000	455001.510000	277.007000
1	82	453108.543000	1820780.451000	9.625000	452763.284000	300.217000
1	83	452352.145000	1807916.578000	9.875000	452022.303000	279.132000
1	84	454865.544000	1810026.412000	10.292000	454529.868000	277.383000
1	85	455665.728000	1823265.326000	10.125000	455338.095000	272.299000
1	86	454159.396000	1821714.827000	9.959000	453815.637000	288.925000
1	87	455352.800000	1822776.325000	9.292000	455006.833000	296.925000
1	88	455482.386000	1823298.702000	9.792000	455139.419000	295.799000
1	89	455363.923000	1810289.075000	10.667000	455027.539000	279.007000
1	90	455801.516000	1823440.118000	9.667000	455459.590000	285.424000
1	91	455381.170000	1822709.869000	9.625000	455040.037000	283.841000
1	92	453638.497000	1821278.619000	9.542000	453295.613000	294.383000
1	93	455252.497000	1810391.537000	10.042000	454925.155000	271.049000
1	94	454532.684000	1821769.493000	57.627000	454142.340000	284.841000
1	95	456577.237000	1824044.161000	9.250000	456248.437000	271.799000
1	96	456611.777000	1823916.033000	9.375000	456272.309000	281.757000
1	97	450395.696000	1806049.160000	9.167000	450071.438000	272.173000
1	98	453619.279000	1808771.454000	9.500000	453282.853000	280.174000
1	99	456679.941000	1836173.287000	8.375000	456334.057000	301.716000
2	0	455081.689000	1810655.661000	11.917000	454747.555000	276.715000
2	1	457232.744000	1836897.950000	9.625000	456900.901000	283.383000
2	2	456908.858000	1824502.078000	9.626000	456575.141000	280.758000
2	3	454066.115000	1809645.411000	10.250000	453728.106000	280.549000
2	4	455626.197000	1823058.620000	9.917000	455294.938000	273.091000
2	5	456310.545000	1823962.907000	9.792000	455989.828000	264.174000
2	6	456549.760000	1835951.159000	9.542000	456135.166000	366.384000
2	7	451874.425000	1807375.658000	10.084000	451461.623000	358.593000
2	8	457912.625000	1825417.702000	12.125000	457579.117000	276.465000
2	9	454912.377000	1822788.869000	9.501000	454551.451000	309.091000
2	10	453854.224000	1809653.327000	10.792000	453528.674000	268.840000
