operation_index	name	source_expression	expression_class	root_tensor_ids	root_names	root_scales	root_zero_points	output_scale	output_zero_point	table_sha256	tensor_bytes	active_full_executor	current_mean_us	current_p95_us
10	/model.2/m.0/Add_output_0@/model.2/Concat_output_0_QuantizeLinear_Output	add(x0,mul(x1,sigmoid(x1)))	add_mul_sigmoid_composite	6,9	/model.2/Split_output_1_QuantizeLinear_Output|/model.2/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	0.18348428606987|0.52768832445144653	2|179	0.32880854606628418	2	2c6576995440f9d4378e0e580118034c88df26f69106e79917cc324e9fac62bd	409600	1	1523.521071	1629.421250
21	/model.4/m.0/Add_output_0@/model.4/Concat_output_0_QuantizeLinear_Output	add(x0,mul(x1,sigmoid(x1)))	add_mul_sigmoid_composite	16,19	/model.4/Split_output_1_QuantizeLinear_Output|/model.4/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	0.022661056369543076|0.079003848135471344	12|152	0.03763701394200325	15	2b07728fe7e245839317c69f17b97a86dd2ed530b164a023e3c83be68898f002	204800	1	804.018129	853.395650
35	/model.6/m.0/m/m.0/Add_output_0_QuantizeLinear	add(x0,mul(x1,sigmoid(x1)))	add_mul_sigmoid_composite	29,32	/model.6/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output|/model.6/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	0.016115730628371239|0.044328935444355011	17|146	0.025938993319869041	21	6cf587155f4f972ce8be39b7ee949f131a17585c5a032397f167ba787ed50f11	51200	0
39	/model.6/m.0/m/m.1/Add_output_0@/model.6/m.0/Concat_output_0_QuantizeLinear_Output	add(x0,mul(x1,sigmoid(x1)))	add_mul_sigmoid_composite	33,36	/model.6/m.0/m/m.0/Add_output_0_QuantizeLinear_Output|/model.6/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	0.025938993319869041|0.076533496379852295	21|132	0.04803607240319252	17	95b6383552c0aad489346ac1e63c03ade76e7ccdaa3be993578e25b3c52be542	51200	0
55	/model.8/m.0/m/m.0/Add_output_0_QuantizeLinear	add(x0,mul(x1,sigmoid(x1)))	add_mul_sigmoid_composite	48,51	/model.8/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output|/model.8/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	0.032495331019163132|0.090949535369873047	9|115	0.054633613675832748	10	a923529ebcf1c82f5c513dd02ca5572bf7e41ed1cf51f91d53e7208fa21d8ab3	25600	0
59	/model.8/m.0/m/m.1/Add_output_0@/model.8/m.0/Concat_output_0_QuantizeLinear_Output	add(x0,mul(x1,sigmoid(x1)))	add_mul_sigmoid_composite	52,55	/model.8/m.0/m/m.0/Add_output_0_QuantizeLinear_Output|/model.8/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	0.054633613675832748|0.13001835346221924	10|132	0.089061781764030457	9	036577ccb04d8cc33d56c29cedcaafcdebe43843fabc21eb45d83c2c78bc025a	25600	0
68	/model.9/Add_output_0_QuantizeLinear	add(mul(x0,sigmoid(x0)),x1)	add_mul_sigmoid_composite	63,60	/model.9/cv2/conv/Conv_output_0_QuantizeLinear_Output|/model.8/cv2/act/Mul_output_0_QuantizeLinear_Output	0.094948738813400269|0.032615300267934799	147|9	0.054341588169336319	10	b1d5ccb3057c88f1a35ef56f3a6f6b4824dd6b30456549b5e0fcb1af65f4baeb	102400	0
80	/model.10/m/m.0/attn/Add_output_0_QuantizeLinear	add(x0,x1)	pure_add	75,73	/model.10/m/m.0/attn/MatMul_1_output_0_QuantizeLinear_Output|/model.10/m/m.0/attn/pe/conv/Conv_output_0_QuantizeLinear_Output	0.054226145148277283|0.052911285310983658	126|116	0.033318508416414261	129	96d6f3a683306fca59d146674e8645d250535028e720a3724a38b085ce09b736	51200	1	1501.517229	1553.470400
82	/model.10/m/m.0/Add_output_0_QuantizeLinear	add(x0,x1)	pure_add	66,77	/model.10/Split_output_1_QuantizeLinear_Output|/model.10/m/m.0/attn/proj/conv/Conv_output_0_QuantizeLinear_Output	0.042742777615785599|0.045027930289506912	7|126	0.058968964964151382	91	14145b9b40083e1184b68cc0c7dbb317c7a19682e6de3cca3afa9940f660354f	51200	1	209.988900	234.018300
86	/model.10/m/m.0/Add_1_output_0@/model.10/Concat_output_0_QuantizeLinear_Output	add(x0,x1)	pure_add	78,81	/model.10/m/m.0/Add_output_0_QuantizeLinear_Output|/model.10/m/m.0/ffn/ffn.1/conv/Conv_output_0_QuantizeLinear_Output	0.058968964964151382|0.051271319389343262	91|131	0.077799133956432343	97	3c9d4874bba01ff7dfa48d1ffaaff3b1e5801ff5704256c9ee84784918905e6e	51200	1	218.826457	246.933550
