block	cycle	arm	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
0	0	control	0	0	168075	2151.72	19758.5	83647.6	15257.5	21139.6	10951.9	3790.46	2421.26	8872.03	839679	0	9	1	0	0xd43f5e018b415631
0	0	control	0	1	175053	2143.38	19981.8	82901.7	22395.3	21456.6	10847.5	4128.72	2389.09	8720.32	873034	0	305	1	0	0xd43f5e018b415631
0	0	control	0	2	167735	2178.88	19710.2	83259.8	15257.4	21436.3	10956.2	3800.79	2387.18	8661.44	839196	0	3	1	0	0xd43f5e018b415631
0	0	control	0	3	168223	2155.47	19827.2	83212.2	15488.6	21329.6	11077.6	3778.55	2395.76	8872.49	839332	0	13	1	0	0xd43f5e018b415631
0	0	control	0	4	168030	2149.55	19853.5	83039.1	15267.2	21309.7	11080.3	3871.17	2513.64	8861.95	839810	0	5	1	0	0xd43f5e018b415631
0	0	control	0	5	168207	2168.13	19796	83336.5	15530.3	21124.6	11013.8	3746.09	2389.93	9012	839450	0	10	1	0	0xd43f5e018b415631
0	0	control	0	6	168048	2162.13	19961.7	83423.4	15366.2	20906.2	11035.1	3804.67	2383.01	8915.83	839437	0	13	1	0	0xd43f5e018b415631
0	0	control	0	7	167748	2155.59	19750.6	83330.9	15227.1	21120.5	10974.2	3844.25	2385.84	8873.78	839359	0	7	1	0	0xd43f5e018b415631
0	0	control	0	8	168950	2154.88	19877.1	83307.2	15389.7	21408.2	11226.5	4193.34	2404.26	8901.49	840652	0	4	1	0	0xd43f5e018b415631
0	0	control	0	9	168576	2186.92	19869.6	83329.3	15194.3	22036.4	10846.7	3855.25	2422.89	8751.86	839935	0	8	1	0	0xd43f5e018b415631
0	0	control	0	10	168600	2193.84	19750.9	83096.8	15277.5	21667.7	11271.6	3932.92	2458.85	8864.2	856366	0	3	1	0	0xd43f5e018b415631
0	0	control	0	11	167955	2143.22	19904.4	83122.9	15443.9	21501.8	11012.5	3730.83	2432.35	8575.32	839758	0	2	1	0	0xd43f5e018b415631
0	0	control	0	12	167882	2150.42	19725.9	83188.8	15284.5	21324.7	11107	3957.13	2602.44	8458.36	839589	0	8	1	0	0xd43f5e018b415631
0	0	control	0	13	175657	2146.38	26773.9	83362.7	15257.9	21721.3	10966.8	3950.55	2468.14	8925.41	873952	0	299	1	0	0xd43f5e018b415631
0	0	control	0	14	167829	2155.26	19725	83400	15355.7	21403	10934	3780.5	2420.09	8566.73	839209	0	5	1	0	0xd43f5e018b415631
0	0	control	0	15	167858	2167.8	19603.8	83512.5	15336.2	21399.4	10747.5	3803.13	2392.14	8812.16	839576	0	4	1	0	0xd43f5e018b415631
0	0	control	0	16	167784	2158.26	19731.7	83111.3	15302.4	21400.5	10924.7	3981.38	2384.51	8701.74	839723	0	1	1	0	0xd43f5e018b415631
0	0	control	0	17	174907	2171.63	20027.7	89120.3	15236.3	22022	11167	3809.34	2387.89	8879.58	858163	0	61	1	0	0xd43f5e018b415631
0	0	control	0	18	168515	2209.3	19669.9	83078.7	15247.4	21740.8	11096	4042.01	2445.68	8900.62	856219	0	8	1	0	0xd43f5e018b415631
0	0	control	0	19	167903	2149.34	19608.2	82933.8	15271.2	21599.2	11032.9	4046.3	2455.47	8721.36	839560	0	5	1	0	0xd43f5e018b415631
0	0	control	0	20	167813	2147.84	19691.1	82906	15322.1	21589.5	10829.1	3825.67	2492.68	8920.66	839687	0	2	1	0	0xd43f5e018b415631
0	0	control	0	21	168010	2163.47	20317.3	83028.6	15406.5	21325.5	10803.6	3748.12	2447.68	8685.15	839562	0	6	1	0	0xd43f5e018b415631
0	0	control	0	22	167771	2164.42	19785.2	83290.7	15339.2	21350.1	11030.5	3767.71	2386.8	8568.61	839645	0	2	1	0	0xd43f5e018b415631
0	0	control	0	23	167701	2151.67	19730.8	82968.3	15293	21568.3	10851.8	3809.09	2389.34	8853.49	839697	0	0	1	0	0xd43f5e018b415631
0	0	control	0	24	168043	2152.55	19971.9	83227.7	15324.8	21280	11035.1	3950.67	2413.77	8601.53	839705	0	8	1	0	0xd43f5e018b415631
0	0	control	0	25	171035	2150.47	22870	82802.6	15271.1	21864.4	10880	3864.38	2468.47	8779.78	842779	0	4	1	0	0xd43f5e018b415631
0	0	control	0	26	168239	2194.63	19734.8	82926.3	15268	21766.7	11009.7	4025.38	2424.85	8805.74	856127	0	3	1	0	0xd43f5e018b415631
0	0	control	0	27	167673	2340.8	19782.7	82793.5	15246.9	21554.7	10904.7	3753.37	2399.05	8812.28	839364	0	2	1	0	0xd43f5e018b415631
0	0	control	0	28	167748	2145.05	19745.8	82826.6	15271.1	21664.9	10814.8	3918.96	2473.93	8802.32	839600	0	3	1	0	0xd43f5e018b415631
0	0	control	0	29	168078	2160.92	19770.4	83178.2	15294.8	21446.2	11147.9	3835.71	2441.06	8714.11	839669	0	5	1	0	0xd43f5e018b415631
0	0	control	0	30	167878	2156.26	19888.9	83112.9	15348.4	21437.4	10913.8	3762.92	2492.3	8682.49	839547	0	9	1	0	0xd43f5e018b415631
0	0	control	0	31	167886	2152.76	19602.9	83141	15292.3	21495.9	11021.3	3955.63	2428.43	8712.36	839693	0	3	1	0	0xd43f5e018b415631
0	0	control	0	32	167804	2164.76	19752.4	83210.1	15319.4	21446	10982.5	3795.04	2399.93	8646.99	839584	0	3	1	0	0xd43f5e018b415631
0	0	control	0	33	167861	2147.17	19758.7	83198.4	15400	21390.4	11037.2	3859.04	2390.05	8591.82	839746	0	2	1	0	0xd43f5e018b415631
0	0	control	0	34	168145	2143.17	19615.3	83047.9	15245	21312.2	11369.6	4064.8	2411.43	8851.57	840075	0	1	1	0	0xd43f5e018b415631
0	0	control	0	35	167495	2155.92	19679.5	83206.1	15300.4	21294	10951	3822.08	2388.72	8613.4	839487	0	0	1	0	0xd43f5e018b415631
0	0	control	0	36	167744	2162.59	19605.5	83349.9	15363.7	21414.7	10891.2	3836.04	2398.81	8635.03	839112	0	9	1	0	0xd43f5e018b415631
0	0	control	0	37	171479	2151.05	20967.4	85025.1	15298.1	21794.1	11117.9	3776.3	2434.01	8832.99	859309	0	3	1	0	0xd43f5e018b415631
0	0	control	0	38	168019	2159.09	19634.9	82742.3	15338.6	21667.4	11080.1	4042.05	2491.76	8778.2	839436	0	5	1	0	0xd43f5e018b415631
0	0	control	0	39	168055	2323.01	19721.6	83171.7	15327.3	21414	11160.1	3799	2399.97	8655.94	839702	0	5	1	0	0xd43f5e018b415631
0	0	control	0	40	167698	2150.92	19607.8	83022.7	15335.8	21428.1	11039.7	4034.13	2388.93	8607.69	839633	0	1	1	0	0xd43f5e018b415631
0	0	control	0	41	167770	2158.76	19638.9	83368.9	15287.7	21226.6	11120.2	3869	2403.51	8609.44	839439	0	5	1	0	0xd43f5e018b415631
0	0	control	0	42	168133	2163.13	19707.6	83066.3	15300.7	21374.1	11005	4102.51	2414.72	8914.62	839769	0	9	1	0	0xd43f5e018b415631
0	0	control	0	43	167529	2152.63	19793.3	82775.8	15406.1	21385.7	10949.8	3893.13	2457.8	8629.61	839330	0	3	1	0	0xd43f5e018b415631
0	0	control	0	44	167674	2145.42	19662.2	83097.2	15338.8	21451.4	10994.1	3924.59	2401.18	8571.27	839459	0	3	1	0	0xd43f5e018b415631
0	0	control	0	45	167758	2157.97	19692.1	83042.1	15262.9	21538.4	10849.6	3954.13	2395.55	8780.78	839623	0	2	1	0	0xd43f5e018b415631
0	0	control	0	46	167871	2152.47	19699.3	83060.6	15258.3	21489.6	11040.3	3959.17	2405.05	8719.94	839743	0	2	1	0	0xd43f5e018b415631
0	0	control	0	47	167756	2146.76	19632.1	82969	15303.4	21510.9	10918.5	4023.59	2545.77	8621.48	839755	0	0	1	0	0xd43f5e018b415631
0	0	control	0	48	168073	2153.97	19779.4	83060.3	15524.4	21403.1	10871.2	4127.76	2382.3	8685.49	839643	0	10	1	0	0xd43f5e018b415631
0	0	control	0	49	171640	2157.51	19823.5	86602.4	15272.6	21429.1	11122.6	3890.25	2466.22	8789.03	858712	0	8	1	0	0xd43f5e018b415631
1	0	indexed	0	0	163934	2162.51	19699.1	82981.4	15333.6	21135	7454.83	3853.71	2381.22	8850.28	819869	0	1	1	0	0xd43f5e018b415631
1	0	indexed	0	1	163997	2149.76	19780.4	83062	15242.5	21597.6	7241.03	3856.88	2462.1	8519.11	819864	0	2	1	0	0xd43f5e018b415631
1	0	indexed	0	2	163860	2153.63	19755.5	82919	15243.7	21510.7	7306.7	3932.59	2399.09	8554.73	819797	0	1	1	0	0xd43f5e018b415631
1	0	indexed	0	3	167204	2152.3	19990.1	83174.1	15303.7	23955.7	7378.71	3783.21	2403.97	8976.45	822855	0	11	1	0	0xd43f5e018b415631
1	0	indexed	0	4	164137	2142.38	19616.5	83261.6	15377.8	21168.5	7570.09	3694.29	2393.47	8827.07	819486	0	5	1	0	0xd43f5e018b415631
1	0	indexed	0	5	163743	2146.97	19671.6	82897.4	15330.5	21127.2	7394.34	3818.58	2426.47	8846.78	819639	0	2	1	0	0xd43f5e018b415631
1	0	indexed	0	6	163937	2164.3	19641	83189.3	15320.7	21081.9	7494	3705	2431.68	8823.45	819947	0	1	1	0	0xd43f5e018b415631
1	0	indexed	0	7	163273	2131.26	19663.4	82690.6	15282	21206.1	7233.03	3732.46	2447.93	8801.86	802889	0	6	1	0	0xd43f5e018b415631
1	0	indexed	0	8	163776	2190.84	19846.5	82623.8	15231.3	21280.1	7420.12	3931.13	2376.93	8794.57	819778	0	0	1	0	0xd43f5e018b415631
1	0	indexed	0	9	164231	2310.59	19726.4	82940.8	15267.5	21248.5	7564.25	3736.79	2404.18	8947.12	835637	0	13	1	0	0xd43f5e018b415631
1	0	indexed	0	10	163894	2148.84	19708.9	82943.3	15299.8	21118.8	7697.17	3686.62	2395.68	8808.49	819720	0	3	1	0	0xd43f5e018b415631
1	0	indexed	0	11	163936	2148.67	19658.2	83420.2	15265.7	21049.3	7530.38	3689	2400.09	8689.24	819831	0	2	1	0	0xd43f5e018b415631
1	0	indexed	0	12	163640	2144.71	19588.7	82918.9	15268.7	21116.8	7416.75	3833.5	2422.3	8847.41	819518	0	2	1	0	0xd43f5e018b415631
1	0	indexed	0	13	163859	2157.05	19702.6	83018.7	15268.5	21086.6	7396.63	3852.71	2403.76	8890.2	819785	0	1	1	0	0xd43f5e018b415631
1	0	indexed	0	14	164742	2168.97	19775.1	83348.8	15289.3	21445.2	7577.34	3783.33	2374.76	8894.95	820686	0	1	1	0	0xd43f5e018b415631
1	0	indexed	0	15	163727	2147.01	19617.1	82905.6	15240.7	21482.6	7366.29	3732.75	2387.22	8762.82	819614	0	6	1	0	0xd43f5e018b415631
1	0	indexed	0	16	166795	2151.76	19679.3	85521.1	15361.2	21097.3	7545.63	4148.09	2367.43	8839.69	838623	0	3	1	0	0xd43f5e018b415631
1	0	indexed	0	17	163716	2143.96	19719.9	83013.6	15323.7	21109.5	7334.58	3726.66	2442.18	8815.99	803526	0	3	1	0	0xd43f5e018b415631
1	0	indexed	0	18	163601	2145.21	19599.2	82950.7	15311.3	21214.3	7287.41	3820.38	2392.1	8796.65	803599	0	0	1	0	0xd43f5e018b415631
1	0	indexed	0	19	164908	2151.96	19886.3	83470.2	15243.9	21586.7	7381.75	3888.13	2391.64	8821.03	836726	0	4	1	0	0xd43f5e018b415631
1	0	indexed	0	20	165452	2306.93	19654	83473.7	15288.4	22007.9	7330.41	3871.75	2488.22	8947.57	821208	0	4	1	0	0xd43f5e018b415631
1	0	indexed	0	21	164396	2192.8	19632	83006	15251.9	21662.2	7372	3961.21	2401.18	8834.24	820205	0	2	1	0	0xd43f5e018b415631
1	0	indexed	0	22	164771	2210.8	19657.1	83039.7	15281.9	21289.3	7576.13	4239.47	2400.93	8993.74	836377	0	8	1	0	0xd43f5e018b415631
1	0	indexed	0	23	163866	2160.92	19663.3	82849.7	15345.6	21083.9	7424.12	3924.84	2446.68	8883.66	819862	0	0	1	0	0xd43f5e018b415631
1	0	indexed	0	24	164567	2150.76	19645.7	83168.2	15221.3	21547.4	7518.04	3879.46	2417.8	8936.74	820563	0	0	1	0	0xd43f5e018b415631
1	0	indexed	0	25	164336	2149.09	19790.1	82892.5	15326.5	21396.6	7410.71	3905.67	2438.6	8945.36	820279	0	1	1	0	0xd43f5e018b415631
1	0	indexed	0	26	164802	2135.46	19698.8	82957.2	15286.1	21973.4	7242.49	3950	2487.47	8986.82	820804	0	0	1	0	0xd43f5e018b415631
1	0	indexed	0	27	164427	2193.38	19949.1	83158.9	15216.6	21586.3	7296.04	3771.04	2394.47	8776.74	820288	0	1	1	0	0xd43f5e018b415631
1	0	indexed	0	28	167558	2198.17	21617.1	83602.6	15271.3	21946.6	7240.53	4094.92	2683.31	8817.03	839111	0	10	1	0	0xd43f5e018b415631
1	0	indexed	0	29	164665	2210.84	19786.1	83667.6	15222.2	21220.5	7533.5	3726.92	2393.22	8819.07	819730	0	5	1	0	0xd43f5e018b415631
1	0	indexed	0	30	163873	2189.05	19656.2	83047.6	15265.4	21252.6	7401	3764.46	2400.18	8813.9	819872	0	0	1	0	0xd43f5e018b415631
1	0	indexed	0	31	163989	2188.22	19688.1	82971.7	15323.5	21154.7	7560.62	3757.83	2396.89	8863.86	823925	0	1	1	0	0xd43f5e018b415631
1	0	indexed	0	32	163983	2170.17	19789.9	82997	15322	21120.1	7491.41	3762.79	2450.05	8791.99	819706	0	4	1	0	0xd43f5e018b415631
1	0	indexed	0	33	164730	2154.05	20049.5	83082.3	15254	21579.8	7356.78	3789.87	2393.76	8987.61	820556	0	2	1	0	0xd43f5e018b415631
1	0	indexed	0	34	165315	2149.63	19809.9	83391.1	15263.5	22028.5	7306.08	3757.09	2476.22	9050.41	820962	0	9	1	0	0xd43f5e018b415631
1	0	indexed	0	35	164549	2178.88	19543.8	83103	15247.2	21660.5	7541.17	3841.04	2397.89	8948.32	820374	0	2	1	0	0xd43f5e018b415631
1	0	indexed	0	36	164436	2212.47	19693	83017.6	15289.8	21283.8	7673.21	3839.42	2399.55	8947.45	820132	0	4	1	0	0xd43f5e018b415631
1	0	indexed	0	37	164050	2148.01	19598.4	83190.6	15269	21101.4	7543.92	3709.08	2447.26	8956.36	819988	0	1	1	0	0xd43f5e018b415631
1	0	indexed	0	38	163707	2162.63	19617.4	82903.1	15300.3	21118.6	7409.49	3702.66	2445.14	8963.2	819701	0	0	1	0	0xd43f5e018b415631
1	0	indexed	0	39	164936	2147.17	20166	83149.1	15341	21459.7	7420.21	3937.84	2388.39	8842.28	820815	0	2	1	0	0xd43f5e018b415631
1	0	indexed	0	40	167633	2157.72	19975.1	85844.1	15225.9	21425.6	7535.16	4007.67	2523.72	8850.4	839368	0	8	1	0	0xd43f5e018b415631
1	0	indexed	0	41	165119	2136.92	19737.2	83092.3	15237.9	21971.6	7460.28	4041.01	2476.51	8883.78	820923	0	3	1	0	0xd43f5e018b415631
1	0	indexed	0	42	164569	2209.17	19714.7	82777.7	15221.8	21678.4	7797.8	3891.09	2381.09	8811.9	820571	0	0	1	0	0xd43f5e018b415631
1	0	indexed	0	43	164122	2202.09	19594.5	83040.7	15216.3	21419.3	7623.16	3752.46	2402.3	8786.24	820001	0	2	1	0	0xd43f5e018b415631
1	0	indexed	0	44	164364	2192.51	19659.5	82899	15342.2	21176.3	7552.5	3851.33	2717.97	8887.07	835990	0	5	1	0	0xd43f5e018b415631
1	0	indexed	0	45	164771	2144.46	19747.4	83317.5	15338.8	21545.6	7394.33	3762.54	2449.72	8966.7	820599	0	2	1	0	0xd43f5e018b415631
1	0	indexed	0	46	164103	2138.51	19738.6	82801	15355.2	21378.7	7435.75	3753.54	2534.72	8884.4	819967	0	2	1	0	0xd43f5e018b415631
1	0	indexed	0	47	164969	2137.8	19571.3	83199.7	15426.1	21982.6	7331.58	3868.09	2485.85	8883.99	820657	0	9	1	0	0xd43f5e018b415631
1	0	indexed	0	48	164685	2198.17	19798	83457.8	15214.5	21657.4	7164.41	3946.05	2383.68	8780.32	820242	0	3	1	0	0xd43f5e018b415631
1	0	indexed	0	49	164264	2191.67	19620.7	82971.7	15248.8	21357.8	7535.34	3975.08	2405.97	8850.61	820207	0	1	1	0	0xd43f5e018b415631
2	0	indexed	0	0	164479	2355.59	19701.2	83263.7	15292.6	21086.5	7569.12	3821.58	2398.63	8900.24	835956	0	6	1	0	0xd43f5e018b415631
2	0	indexed	0	1	164327	2151.13	19637.9	83172	15298.1	21493.8	7504.24	3715.71	2396.88	8866.49	820076	0	8	1	0	0xd43f5e018b415631
2	0	indexed	0	2	164261	2153.88	19712	83151.9	15345.6	21481.6	7253.91	3789.25	2385.43	8896.44	820064	0	3	1	0	0xd43f5e018b415631
2	0	indexed	0	3	164967	2140.92	19740.1	83071.3	15286.1	21988.4	7365.25	3906.09	2481.89	8901.03	820856	0	2	1	0	0xd43f5e018b415631
2	0	indexed	0	4	164718	2200.88	19692.3	83089.2	15219.2	21976.3	7389.45	3755.29	2413.68	8892.65	820661	0	1	1	0	0xd43f5e018b415631
2	0	indexed	0	5	164144	2195.26	19770.4	83226	15231.3	21303.2	7391.45	3772.87	2383.01	8782.53	820133	0	0	1	0	0xd43f5e018b415631
2	0	indexed	0	6	164000	2194.55	19657.7	83210	15229.8	21248.8	7284.62	3786.91	2391.97	8904.65	819760	0	5	1	0	0xd43f5e018b415631
2	0	indexed	0	7	167086	2150.3	19742.4	85570	15269.8	21332	7422.25	4306.38	2413.01	8792.4	839008	0	2	1	0	0xd43f5e018b415631
2	0	indexed	0	8	164181	2193.72	19822.4	83130.9	15240.9	21411.5	7291.16	3766.62	2389.39	8846.94	819911	0	8	1	0	0xd43f5e018b415631
2	0	indexed	0	9	164154	2199.8	19807.6	83013.6	15330.3	21201.8	7387.21	3865.54	2404.64	8856.99	820089	0	1	1	0	0xd43f5e018b415631
2	0	indexed	0	10	164088	2146.05	19676.6	83121.4	15307.5	21188.2	7465.66	3832.62	2396.88	8869.4	819813	0	5	1	0	0xd43f5e018b415631
