operation_index	resident_operation_index	kind	scope	name	samples	mean_us	median_us	p95_us	implementation	confidence
-1	-1	bridge	resident_bridge	resident_core_bridge_overhead	50	130.38004	128.6065	152.9849	stage55-selected-explicit-or-measured	50 complete profiled observations
-1	-1	head_decode	full_executor	final_head_decode	50	8807.23208	8808.6855	8914.51635	stage55-selected-explicit-or-measured	50 complete profiled observations
-1	0	lut	resident_core	/model.4/cv2/final_silu	50	494.05048000000005	501.55	565.8107499999999	stage55-selected-explicit-or-measured	50 complete profiled observations
-1	10	add_silu	resident_core	/model.6/m.0/m/m.1/Add	50	212.65268	202.7115	245.71489999999997	stage55-selected-explicit-or-measured	50 complete profiled observations
-1	21	add_silu	resident_core	/model.8/m.0/m/m.0/Add	50	78.07036	77.8135	78.42264999999999	stage55-selected-explicit-or-measured	50 complete profiled observations
-1	24	add_silu	resident_core	/model.8/m.0/m/m.1/Add	50	90.85986000000001	89.7515	93.1059	stage55-selected-explicit-or-measured	50 complete profiled observations
-1	30	maxpool	resident_core	/model.9/m/MaxPool	50	465.5193	462.8825	487.39304999999996	stage55-selected-explicit-or-measured	50 complete profiled observations
-1	31	maxpool	resident_core	/model.9/m_1/MaxPool	50	462.81756	462.0075	464.37195	stage55-selected-explicit-or-measured	50 complete profiled observations
-1	32	maxpool	resident_core	/model.9/m_2/MaxPool	50	462.84424	461.73699999999997	463.38665	stage55-selected-explicit-or-measured	50 complete profiled observations
-1	35	add_silu	resident_core	/model.9/Add	50	318.75266	316.6515	350.50515	stage55-selected-explicit-or-measured	50 complete profiled observations
-1	7	add_silu	resident_core	/model.6/m.0/m/m.0/Add	50	179.83966	176.6905	179.32595	stage55-selected-explicit-or-measured	50 complete profiled observations
0	-1	input_quant	full_executor	images_QuantizeLinear	47	2184.120595744681	2138.66	2241.5573999999997	stage55-selected-explicit-or-measured	50 complete profiled observations
10	-1	lut2	full_executor	/model.2/m.0/Add_output_0@/model.2/Concat_output_0_QuantizeLinear_Output	50	498.774	493.92449999999997	571.1510000000001	stage55-selected-explicit-or-measured	50 complete profiled observations
100	-1	lut1	fused_into_dense_conv	/model.13/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear	50	0.0	0.0	0.0	stage55-selected-explicit-or-measured	50 complete profiled observations
102	-1	lut2	full_executor	/model.13/m.0/m/m.1/Add_output_0@/model.13/m.0/Concat_output_0_QuantizeLinear_Output	50	58.22765999999999	56.4805	59.16945	stage55-selected-explicit-or-measured	50 complete profiled observations
103	-1	concat	full_executor	/model.13/m.0/Concat	50	52.42754	52.105000000000004	55.90304999999999	stage55-selected-explicit-or-measured	50 complete profiled observations
105	-1	concat	full_executor	/model.13/Concat	50	157.36758	156.544	162.0546	stage55-selected-explicit-or-measured	50 complete profiled observations
107	-1	concat	full_executor	/model.15/Concat	50	1158.74632	1094.9135	1311.48975	stage55-selected-explicit-or-measured	50 complete profiled observations
109	-1	split	full_executor	/model.16/Split	50	95.80905999999999	94.668	98.86785	stage55-selected-explicit-or-measured	50 complete profiled observations
11	-1	concat	full_executor	/model.2/Concat	50	573.93854	565.2180000000001	646.744	stage55-selected-explicit-or-measured	50 complete profiled observations
112	-1	lut1	full_executor	/model.16/m.0/cv1/act/Mul_output_0_QuantizeLinear	50	44.1699	42.730000000000004	44.0901	stage55-selected-explicit-or-measured	50 complete profiled observations
114	-1	lut1	fused_into_dense_conv	/model.16/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear	50	0.0	0.0	0.0	stage55-selected-explicit-or-measured	50 complete profiled observations
116	-1	lut2	full_executor	/model.16/m.0/m/m.0/Add_output_0_QuantizeLinear	50	188.10962	180.815	227.89309999999998	stage55-selected-explicit-or-measured	50 complete profiled observations
118	-1	lut1	fused_into_dense_conv	/model.16/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear	50	0.0	0.0	0.0	stage55-selected-explicit-or-measured	50 complete profiled observations
120	-1	lut2	full_executor	/model.16/m.0/m/m.1/Add_output_0@/model.16/m.0/Concat_output_0_QuantizeLinear_Output	50	136.26974	136.46050000000002	139.38995	stage55-selected-explicit-or-measured	50 complete profiled observations
121	-1	concat	full_executor	/model.16/m.0/Concat	50	99.63907999999999	99.1265	105.7433	stage55-selected-explicit-or-measured	50 complete profiled observations
123	-1	concat	full_executor	/model.16/Concat	50	365.38424	364.714	384.29974999999996	stage55-selected-explicit-or-measured	50 complete profiled observations
125	-1	lut1	full_executor	/model.16/cv2/act/Mul_output_0_QuantizeLinear	50	161.86588	159.2525	200.19279999999998	stage55-selected-explicit-or-measured	50 complete profiled observations
129	-1	lut1	full_executor	/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul_output_0_QuantizeLinear	50	66.78858	65.564	71.5113	stage55-selected-explicit-or-measured	50 complete profiled observations
13	-1	lut1	fused_into_dense_conv	/model.2/cv2/act/Mul_output_0_QuantizeLinear	50	0.0	0.0	0.0	stage55-selected-explicit-or-measured	50 complete profiled observations
130	-1	lut1	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul_output_0_QuantizeLinear	50	185.45808	183.565	201.99255	stage55-selected-explicit-or-measured	50 complete profiled observations
131	-1	concat	full_executor	/model.18/Concat	50	128.4821	127.9185	136.91684999999998	stage55-selected-explicit-or-measured	50 complete profiled observations
135	-1	lut1	full_executor	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul_output_0_QuantizeLinear	50	60.24358	53.251	99.65564999999998	stage55-selected-explicit-or-measured	50 complete profiled observations
136	-1	lut1	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul_output_0_QuantizeLinear	50	309.44921999999997	304.297	394.15819999999997	stage55-selected-explicit-or-measured	50 complete profiled observations
137	-1	split	full_executor	/model.19/Split	50	46.82418	46.938	48.527750000000005	stage55-selected-explicit-or-measured	50 complete profiled observations
142	-1	lut1	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul_output_0_QuantizeLinear	50	378.58366	391.9645	447.7365	stage55-selected-explicit-or-measured	50 complete profiled observations
143	-1	lut1	full_executor	/model.19/m.0/cv1/act/Mul_output_0_QuantizeLinear	50	31.5972	30.563000000000002	33.2173	stage55-selected-explicit-or-measured	50 complete profiled observations
