surface	collection	worker	tid	cpu	event	status	errno	event_id	iterations	value_u64	time_enabled	time_running
group_delta_model5	0	0	311693	0	cycles	available	0	762	1	18892639	11801917	11801917
group_delta_model5	0	0	311693	0	instructions	available	0	766	1	13057162	11801917	11801917
group_delta_model5	0	1	311694	1	cycles	available	0	759	1	20290140	12682041	12682041
group_delta_model5	0	1	311694	1	instructions	available	0	765	1	13415486	12682041	12682041
group_delta_model5	0	2	311695	2	cycles	available	0	761	1	20152287	12593958	12593958
group_delta_model5	0	2	311695	2	instructions	available	0	763	1	12929467	12593958	12593958
group_delta_model5	0	3	311696	3	cycles	available	0	760	1	20084016	12550833	12550833
group_delta_model5	0	3	311696	3	instructions	available	0	764	1	13168349	12550833	12550833
full_model_group_v3	0	0	311702	0	cycles	available	0	769	213	242557839	151992258	151992258
full_model_group_v3	0	0	311702	0	instructions	available	0	770	213	173540014	151992258	151992258
full_model_group_v3	0	1	311703	1	cycles	available	0	767	213	244082563	152967416	152967416
full_model_group_v3	0	1	311703	1	instructions	available	0	768	213	175598610	152967416	152967416
full_model_group_v3	0	2	311704	2	cycles	available	0	773	213	239441119	149942040	149942040
full_model_group_v3	0	2	311704	2	instructions	available	0	774	213	172439281	149942040	149942040
full_model_group_v3	0	3	311705	3	cycles	available	0	771	213	243056059	152311379	152311379
full_model_group_v3	0	3	311705	3	instructions	available	0	772	213	173927386	152311379	152311379
full_model_group_v3	1	0	311702	0	cycles	available	0	769	213	243338974	152407213	152407213
full_model_group_v3	1	0	311702	0	instructions	available	0	770	213	173558901	152407213	152407213
full_model_group_v3	1	1	311703	1	cycles	available	0	767	213	244454422	153157331	153157331
full_model_group_v3	1	1	311703	1	instructions	available	0	768	213	175608653	153157331	153157331
full_model_group_v3	1	2	311704	2	cycles	available	0	773	213	240618831	150712864	150712864
full_model_group_v3	1	2	311704	2	instructions	available	0	774	213	172472354	150712864	150712864
full_model_group_v3	1	3	311705	3	cycles	available	0	771	213	244435888	153164086	153164086
full_model_group_v3	1	3	311705	3	instructions	available	0	772	213	173946691	153164086	153164086
